Species,Latitude,Longitude
Quercus_acerifolia,34.208229,-94.06065
Quercus_acerifolia,35.026392,-93.727509
Quercus_acerifolia,35.097924,-93.640529
Quercus_acerifolia,36.031709,-94.217729
Quercus_acerifolia,36.031409,-94.217504
Quercus_acerifolia,36.0314,-94.2175
Quercus_acerifolia,36.031394,-94.217394
Quercus_acerifolia,36.0312,-94.217266
Quercus_acerifolia,35.167193,-93.666428
Quercus_acerifolia,35.073941,-94.372973
Quercus_acerifolia,35.16711,-93.66597
Quercus_acerifolia,34.38615,-94.06167
Quercus_acerifolia,35.16722,-93.66592
Quercus_acerifolia,35.1676,-93.66397
Quercus_acerifolia,35.07234,-94.37221
Quercus_acerifolia,35.194856,-86.039125
Quercus_acerifolia,35.039751,-86.18813
Quercus_acerifolia,35.01972,-93.733845
Quercus_acerifolia,35.079237,-93.796696
Quercus_acerifolia,35.10864,-93.693505
Quercus_acerifolia,35.08981,-93.765659
Quercus_acerifolia,35.066328,-86.054641
Quercus_acerifolia,34.73371,-92.8529
Quercus_acerifolia,35.0,-93.0
Quercus_acerifolia,35.167288,-93.644895
Quercus_acerifolia,35.16722,-93.64472
Quercus_acerifolia,35.167283,-93.644972
Quercus_acerifolia,35.166667,-93.65
