Species,Latitude,Longitude
Quercus_acutifolia,17.171254,-97.73964
Quercus_acutifolia,17.146268,-97.685888
Quercus_acutifolia,16.815301,-99.874522
Quercus_acutifolia,18.515754,-99.666634
Quercus_acutifolia,16.843243,-99.936037
Quercus_acutifolia,16.774078,-93.129615
Quercus_acutifolia,16.672646,-92.588057
Quercus_acutifolia,16.513564,-95.780286
Quercus_acutifolia,16.53918,-94.022185
Quercus_acutifolia,16.508078,-97.160024
Quercus_acutifolia,16.706476,-92.615832
Quercus_acutifolia,16.60401,-93.956108
Quercus_acutifolia,16.628629,-92.808252
Quercus_acutifolia,16.293345,-93.750418
Quercus_acutifolia,16.686932,-93.951656
Quercus_acutifolia,16.913147,-98.281712
Quercus_acutifolia,18.345509,-99.367602
Quercus_acutifolia,19.515472,-97.044444
Quercus_acutifolia,19.592083,-101.08375
Quercus_acutifolia,17.172917,-96.292361
Quercus_acutifolia,17.322333,-96.575389
Quercus_acutifolia,15.240806,-92.304555
Quercus_acutifolia,17.04425,-98.33388
Quercus_acutifolia,17.053194,-98.191777
Quercus_acutifolia,17.128028,-96.15275
Quercus_acutifolia,17.141,-96.137083
Quercus_acutifolia,17.341389,-96.611944
Quercus_acutifolia,17.553667,-99.979556
Quercus_acutifolia,17.545556,-97.533611
Quercus_acutifolia,18.040944,-96.890722
Quercus_acutifolia,16.265305,-97.012111
Quercus_acutifolia,15.103861,-92.132111
Quercus_acutifolia,15.102417,-92.134722
Quercus_acutifolia,15.10025,-92.174333
Quercus_acutifolia,17.532472,-96.581667
Quercus_acutifolia,16.588321,-92.453187
Quercus_acutifolia,16.511046,-92.550081
Quercus_acutifolia,17.281583,-96.301389
Quercus_acutifolia,16.662309,-92.584053
Quercus_acutifolia,17.306083,-96.239972
Quercus_acutifolia,17.04475,-96.032389
Quercus_acutifolia,16.971194,-96.049694
Quercus_acutifolia,19.9497,-97.567
Quercus_acutifolia,19.94969,-97.56703
Quercus_acutifolia,18.086222,-96.760639
Quercus_acutifolia,15.248472,-92.281167
Quercus_acutifolia,15.239667,-92.261222
Quercus_acutifolia,18.560433,-99.6544
Quercus_acutifolia,16.507967,-93.137881
Quercus_acutifolia,16.95175,-96.049083
Quercus_acutifolia,16.540722,-95.926083
Quercus_acutifolia,18.468361,-99.346694
Quercus_acutifolia,16.775972,-97.462527
Quercus_acutifolia,18.786944,-97.276667
Quercus_acutifolia,18.791667,-97.320278
Quercus_acutifolia,18.690556,-97.279722
Quercus_acutifolia,17.993611,-96.867555
