Species,Latitude,Longitude
Quercus_affinis,24.223742,-99.919312
Quercus_affinis,21.873611,-100.348333
Quercus_affinis,23.924561,-99.802976
Quercus_affinis,19.8442,-97.75545
Quercus_affinis,19.8442,-97.7554
Quercus_affinis,19.79585,-97.66202
Quercus_affinis,19.7959,-97.662
Quercus_affinis,18.064444,-96.758194
Quercus_affinis,18.212861,-96.970805
Quercus_affinis,19.7875,-97.6523
Quercus_affinis,19.78747,-97.65228
Quercus_affinis,19.366389,-100.286917
Quercus_affinis,20.945278,-99.344167
Quercus_affinis,20.75775,-99.208276
Quercus_affinis,20.084444,-98.185555
Quercus_affinis,20.174722,-98.169167
Quercus_affinis,20.219444,-98.220278
Quercus_affinis,20.168333,-98.255278
Quercus_affinis,20.101389,-98.184722
Quercus_affinis,20.649722,-98.630833
Quercus_affinis,20.790833,-98.818055
Quercus_affinis,20.158611,-98.6625
Quercus_affinis,21.003333,-98.650833
Quercus_affinis,20.735833,-98.644167
Quercus_affinis,20.648889,-98.589444
Quercus_affinis,20.318333,-98.218611
Quercus_affinis,20.166111,-98.565
Quercus_affinis,21.390027,-99.099166
Quercus_affinis,20.411667,-98.252444
Quercus_affinis,20.428611,-98.277778
Quercus_affinis,20.858611,-99.224722
Quercus_affinis,20.786389,-99.203611
Quercus_affinis,20.153056,-99.651667
Quercus_affinis,20.744167,-98.802778
Quercus_affinis,20.875556,-99.222222
Quercus_affinis,20.723056,-99.152778
Quercus_affinis,20.735278,-98.791667
Quercus_affinis,20.493056,-98.655555
Quercus_affinis,20.201389,-98.731944
Quercus_affinis,20.202778,-98.739722
Quercus_affinis,20.666389,-99.210833
Quercus_affinis,20.250833,-98.835
Quercus_affinis,20.888056,-98.965278
Quercus_affinis,21.396389,-100.146111
Quercus_affinis,20.208333,-98.233611
Quercus_affinis,19.676944,-96.848333
Quercus_affinis,19.684167,-96.850278
Quercus_affinis,20.231167,-98.216333
Quercus_affinis,20.210167,-98.231833
Quercus_affinis,19.679722,-96.849722
Quercus_affinis,20.864394,-99.231389
Quercus_affinis,20.865108,-99.231911
Quercus_affinis,21.414444,-99.746389
Quercus_affinis,23.228333,-99.222778
Quercus_affinis,20.634806,-98.600555
Quercus_affinis,20.885833,-98.675417
Quercus_affinis,20.360028,-98.393528
Quercus_affinis,20.304444,-98.266944
Quercus_affinis,20.378056,-98.255278
Quercus_affinis,20.656111,-98.651111
Quercus_affinis,20.17,-98.648611
Quercus_affinis,20.241528,-98.726278
Quercus_affinis,25.174167,-100.123611
Quercus_affinis,17.554639,-96.723417
Quercus_affinis,25.1875,-100.135278
Quercus_affinis,20.854889,-99.2285
Quercus_affinis,19.987865,-97.915225
Quercus_affinis,20.888889,-98.702222
Quercus_affinis,20.826667,-98.676111
Quercus_affinis,21.1225,-99.651111
Quercus_affinis,19.157778,-97.166667
Quercus_affinis,17.61,-99.865278
Quercus_affinis,19.033611,-98.957222
Quercus_affinis,18.15,-96.983333
Quercus_affinis,20.855833,-99.398333
Quercus_affinis,21.401778,-99.085028
Quercus_affinis,19.886667,-97.66
Quercus_affinis,19.786667,-97.600278
Quercus_affinis,20.755556,-98.695555
Quercus_affinis,20.755556,-98.695556
Quercus_affinis,21.181667,-99.32
Quercus_affinis,20.750278,-98.699167
Quercus_affinis,21.385801,-99.09894
Quercus_affinis,20.759444,-98.712778
Quercus_affinis,20.28306,-98.2725
Quercus_affinis,20.283056,-98.2725
Quercus_affinis,19.858333,-97.705556
Quercus_affinis,20.759167,-98.697222
Quercus_affinis,20.771944,-98.705556
Quercus_affinis,20.94525,-99.557805
Quercus_affinis,20.756667,-98.69
Quercus_affinis,20.741944,-98.706111
Quercus_affinis,22.59667,-100.45444
Quercus_affinis,20.739722,-98.706111
Quercus_affinis,21.291667,-99.129444
Quercus_affinis,23.513333,-100.831667
Quercus_affinis,23.683333,-100.883333
Quercus_affinis,20.3275,-98.210278
Quercus_affinis,20.761667,-98.688889
Quercus_affinis,20.753056,-98.77
Quercus_affinis,20.834444,-99.533333
Quercus_affinis,18.884167,-97.037778
Quercus_affinis,19.429167,-97.142778
Quercus_affinis,24.525,-98.958333
Quercus_affinis,20.91735,-99.566389
Quercus_affinis,20.328333,-98.222222
Quercus_affinis,20.714444,-99.035
Quercus_affinis,20.86,-99.19472
Quercus_affinis,20.321944,-98.201667
Quercus_affinis,20.985278,-99.305833
Quercus_affinis,20.958333,-98.658333
Quercus_affinis,19.804167,-97.293056
Quercus_affinis,19.727778,-96.924722
Quercus_affinis,20.626667,-98.621667
Quercus_affinis,18.635556,-99.76
Quercus_affinis,20.628611,-98.550833
Quercus_affinis,20.631944,-98.607555
Quercus_affinis,20.511111,-98.713889
Quercus_affinis,20.533611,-98.639167
Quercus_affinis,19.691667,-97.158333
Quercus_affinis,19.664167,-97.161667
Quercus_affinis,20.183333,-98.55
Quercus_affinis,19.93139,-97.96028
Quercus_affinis,20.031944,-97.900833
Quercus_affinis,19.9425,-97.959722
Quercus_affinis,19.716308,-98.160469
Quercus_affinis,21.188889,-99.547222
Quercus_affinis,20.638889,-98.656944
Quercus_affinis,20.641667,-98.658333
Quercus_affinis,19.529444,-96.958889
Quercus_affinis,21.0796,-99.51329
Quercus_affinis,19.776944,-96.793055
Quercus_affinis,23.983333,-99.466667
Quercus_affinis,23.975,-99.458333
Quercus_affinis,21.333333,-99.383333
Quercus_affinis,21.416,-99.31584
Quercus_affinis,24.868333,-100.231667
Quercus_affinis,21.156667,-99.658333
Quercus_affinis,21.141111,-99.684444
Quercus_affinis,21.163333,-99.66
Quercus_affinis,24.873889,-100.218333
Quercus_affinis,21.221667,-99.473333
Quercus_affinis,21.207778,-99.075556
Quercus_affinis,21.209983,-99.077019
Quercus_affinis,21.495678,-99.18253
Quercus_affinis,21.166667,-99.316667
Quercus_affinis,21.501667,-100.440278
Quercus_affinis,23.941667,-99.491667
Quercus_affinis,21.083333,-100.516667
Quercus_affinis,23.255278,-99.135
Quercus_affinis,23.816667,-99.353333
Quercus_affinis,23.033497,-99.276236
Quercus_affinis,23.264167,-99.137222
Quercus_affinis,21.134167,-99.625278
Quercus_affinis,23.164039,-99.302975
Quercus_affinis,23.182222,-99.256667
Quercus_affinis,23.187222,-99.253611
Quercus_affinis,23.391389,-99.2675
Quercus_affinis,23.166667,-99.3
Quercus_affinis,23.257222,-99.135
Quercus_affinis,23.805278,-99.351389
Quercus_affinis,23.256389,-99.134444
Quercus_affinis,23.159167,-99.274722
Quercus_affinis,26.508889,-99.331389
Quercus_affinis,19.358333,-96.571667
Quercus_affinis,21.241667,-99.631667
Quercus_affinis,19.668056,-97.153611
Quercus_affinis,23.128383,-99.212619
Quercus_affinis,23.054189,-99.257547
Quercus_affinis,23.041081,-99.274236
Quercus_affinis,23.126839,-99.236008
Quercus_affinis,23.047778,-99.240833
Quercus_affinis,23.147222,-99.487778
Quercus_affinis,22.956233,-98.432219
Quercus_affinis,19.783333,-96.783333
Quercus_affinis,23.063311,-99.278975
Quercus_affinis,23.628736,-99.535317
Quercus_affinis,19.770556,-96.821944
Quercus_affinis,21.206389,-99.188056
Quercus_affinis,21.24,-99.565
Quercus_affinis,21.21601,-99.224141
Quercus_affinis,21.264167,-99.574444
Quercus_affinis,19.766667,-96.816667
Quercus_affinis,20.25,-98.7
Quercus_affinis,21.231667,-99.141389
Quercus_affinis,19.768333,-96.801667
Quercus_affinis,21.2,-99.183333
Quercus_affinis,19.79083,-96.815
Quercus_affinis,19.75,-96.788333
Quercus_affinis,19.775,-96.825
Quercus_affinis,19.864722,-97.698056
Quercus_affinis,19.758333,-96.808333
Quercus_affinis,19.691667,-97.141667
Quercus_affinis,19.753889,-97.814167
Quercus_affinis,19.858056,-97.457222
Quercus_affinis,19.891111,-97.967778
Quercus_affinis,19.66667,-97.8
Quercus_affinis,19.701944,-97.103889
Quercus_affinis,19.752222,-96.789167
Quercus_affinis,19.746944,-96.816111
Quercus_affinis,23.1235,-99.232428
Quercus_affinis,19.791389,-96.8225
Quercus_affinis,23.048011,-99.237258
Quercus_affinis,23.123889,-99.488611
Quercus_affinis,23.04,-99.3025
Quercus_affinis,19.750833,-96.815
Quercus_affinis,18.25,-96.983333
Quercus_affinis,23.1075,-99.226111
Quercus_affinis,23.467619,-99.669294
Quercus_affinis,23.635,-99.534167
Quercus_affinis,23.039444,-99.238611
Quercus_affinis,23.142939,-99.209917
Quercus_affinis,23.11,-99.225
Quercus_affinis,20.641667,-98.725
Quercus_affinis,20.658333,-98.675
Quercus_affinis,20.915278,-99.564444
Quercus_affinis,20.016667,-97.833333
Quercus_affinis,17.5,-96.5
Quercus_affinis,17.133333,-96.483333
Quercus_affinis,19.75,-97.25
Quercus_affinis,17.166667,-96.583333
Quercus_affinis,17.75,-96.5
Quercus_affinis,17.15,-96.683333
Quercus_affinis,17.558333,-96.525
Quercus_affinis,17.550715043519755,-96.5167026858701
Quercus_affinis,21.108333,-99.741667
Quercus_affinis,16.799722,-92.711944
Quercus_affinis,20.675,-98.658333
Quercus_affinis,22.91239,-99.55261
Quercus_affinis,19.45,-103.2
Quercus_affinis,20.658333,-98.691667
Quercus_affinis,20.658333,-98.658333
Quercus_affinis,22.919506956137838,-99.5060602563241
Quercus_affinis,22.919237744124867,-99.5729808594545
Quercus_affinis,20.808333,-98.758333
Quercus_affinis,20.956157795462158,-97.83069496481546
Quercus_affinis,18.32,-94.83
Quercus_affinis,18.280278,-94.833611
Quercus_affinis,18.263056,-94.831944
Quercus_affinis,18.283333,-94.85
Quercus_affinis,19.833333,-97.75
Quercus_affinis,19.13,-97.077222
Quercus_affinis,19.138333,-97.103889
Quercus_affinis,23.520092404112418,-99.20229230477149
Quercus_affinis,23.541667,-99.208333
Quercus_affinis,19.433333,-97.13
Quercus_affinis,19.47,-97.019722
Quercus_affinis,19.506944,-97.0875
Quercus_affinis,19.5,-97.083333
Quercus_affinis,19.355,-97.118333
Quercus_affinis,19.475,-97.075
Quercus_affinis,24.348611,-99.665278
Quercus_affinis,23.991667,-99.491667
Quercus_affinis,20.54592,-98.519019
Quercus_affinis,20.533333,-98.5
Quercus_affinis,19.68,-100.903889
Quercus_affinis,19.758333,-96.791667
Quercus_affinis,19.745833,-97.029167
Quercus_affinis,19.7375,-96.781667
Quercus_affinis,19.925,-97.825
Quercus_affinis,19.908333,-97.908333
Quercus_affinis,19.788935336644396,-97.77701269980264
Quercus_affinis,20.258333,-98.191667
Quercus_affinis,18.725,-98.258333
Quercus_affinis,19.8,-97.8
Quercus_affinis,19.916598,-97.950377
Quercus_affinis,16.965833,-98.003889
Quercus_affinis,23.084086,-99.230692
Quercus_affinis,19.3333,-96.6667
Quercus_affinis,20.516667,-98.5
Quercus_affinis,20.505278,-98.514444
Quercus_affinis,19.844444,-97.579722
Quercus_affinis,19.817778,-97.581111
Quercus_affinis,19.826944,-97.546944
Quercus_affinis,20.249167,-98.523056
Quercus_affinis,19.875,-97.541667
Quercus_affinis,19.825,-97.791667
Quercus_affinis,19.858333,-97.625
Quercus_affinis,19.957818118427152,-97.58006858633011
Quercus_affinis,17.242624549734327,-98.4114493570056
Quercus_affinis,19.359722,-97.283889
Quercus_affinis,19.875684133189512,-97.50633555836903
Quercus_affinis,19.816163985089105,-97.80701350380217
Quercus_affinis,19.874167,-97.558056
Quercus_affinis,19.866667,-97.583333
Quercus_affinis,17.528611,-96.518333
Quercus_affinis,17.364167,-96.418056
Quercus_affinis,23.202222,-99.254444
Quercus_affinis,25.467,-100.85
Quercus_affinis,20.791667,-99.335556
Quercus_affinis,20.733333,-99.366667
Quercus_affinis,19.358333,-97.129722
Quercus_affinis,20.925,-99.591667
Quercus_affinis,25.358333,-100.358333
Quercus_affinis,18.35,-94.883333
Quercus_affinis,20.633333,-98.416667
Quercus_affinis,19.926667,-98.315
Quercus_affinis,18.316667,-94.883333
Quercus_affinis,23.973333,-99.771667
Quercus_affinis,20.948520944111852,-99.17101686422721
Quercus_affinis,20.889444,-99.111667
Quercus_affinis,20.606944,-98.466944
Quercus_affinis,17.3,-94.644444
Quercus_affinis,20.613194,-98.452193
Quercus_affinis,20.841111,-99.503889
Quercus_affinis,16.958333,-96.858333
Quercus_affinis,17.541944,-96.520555
Quercus_affinis,21.236667,-99.553056
Quercus_affinis,21.441667,-104.991667
Quercus_affinis,17.536944,-96.549722
Quercus_affinis,19.793056,-97.259722
Quercus_affinis,25.482778,-99.568889
Quercus_affinis,21.166667,-99.966667
Quercus_affinis,21.291667,-99.141667
Quercus_affinis,21.127778,-99.475
Quercus_affinis,21.283056,-99.165278
Quercus_affinis,20.517222,-98.493889
Quercus_affinis,19.575,-98.741667
Quercus_affinis,23.825,-99.691667
Quercus_affinis,23.944167,-99.839722
Quercus_affinis,29.60278,-107.86389
Quercus_affinis,20.268056,-98.128333
Quercus_affinis,19.589444,-96.980833
Quercus_affinis,19.601956,-97.024453
Quercus_affinis,23.128637664848764,-98.39205728725938
Quercus_affinis,23.678893393657564,-99.88976847608753
Quercus_affinis,23.156283639123828,-98.34481825354577
Quercus_affinis,23.10795292362649,-99.19428850564208
Quercus_affinis,22.937680747047125,-99.03178394666892
Quercus_affinis,23.108333,-99.275
Quercus_affinis,23.158333,-99.225
Quercus_affinis,20.348333,-98.355
Quercus_affinis,20.767775902452385,-99.24221890277825
Quercus_affinis,20.738056,-99.255
Quercus_affinis,20.043056,-98.310278
Quercus_affinis,21.047222,-99.320556
Quercus_affinis,20.455556,-98.498889
Quercus_affinis,20.765278,-99.246389
Quercus_affinis,15.321111,-92.335555
Quercus_affinis,19.918889,-97.608333
Quercus_affinis,20.442778,-98.526111
Quercus_affinis,20.535278,-98.479722
Quercus_affinis,19.622222,-96.954167
Quercus_affinis,19.590278,-96.946111
Quercus_affinis,19.790278,-97.155833
Quercus_affinis,20.533333,-98.478333
Quercus_affinis,21.39861,-99.32889
Quercus_affinis,21.524722,-99.166944
Quercus_affinis,20.73525,-98.71527
Quercus_affinis,20.701667,-98.685278
Quercus_affinis,20.64853,-98.65767
Quercus_affinis,20.656667,-98.656944
Quercus_affinis,20.292222,-98.143611
Quercus_affinis,20.886111,-98.6975
Quercus_affinis,24.853056,-100.2875
Quercus_affinis,24.866667,-100.216667
Quercus_affinis,19.79,-97.25
Quercus_affinis,19.752778,-97.242222
Quercus_affinis,19.800278,-97.298056
Quercus_affinis,19.7925,-97.259722
Quercus_affinis,19.774444,-97.510556
Quercus_affinis,18.266667,-94.883333
Quercus_affinis,20.815,-98.699444
Quercus_affinis,19.095833,-97.801111
Quercus_affinis,19.816944,-97.409722
Quercus_affinis,20.65056,-98.575
Quercus_affinis,20.7367,-99.38246
Quercus_affinis,20.76343,-99.14411
Quercus_affinis,20.7452,-98.81147
Quercus_affinis,19.653333,-96.873611
Quercus_affinis,20.903611,-99.225556
Quercus_affinis,20.98947,-98.65731
Quercus_affinis,20.3625,-98.365833
Quercus_affinis,20.594444,-98.575556
Quercus_affinis,20.885556,-99.206944
Quercus_affinis,20.786944,-98.676944
Quercus_affinis,19.790556,-97.342222
Quercus_affinis,19.610833,-97.027222
Quercus_affinis,18.699722,-97.338056
Quercus_affinis,19.758333,-95.858333
Quercus_affinis,19.783333,-96.75
Quercus_affinis,20.213889,-98.730556
Quercus_affinis,20.198889,-98.732778
Quercus_affinis,20.239167,-98.211667
Quercus_affinis,20.225,-98.191667
Quercus_affinis,20.241667,-98.225
Quercus_affinis,20.242778,-98.219444
Quercus_affinis,20.478889,-98.313056
Quercus_affinis,20.576667,-98.5025
Quercus_affinis,19.2025,-96.859444
Quercus_affinis,20.533333,-98.483333
Quercus_affinis,20.275,-97.958333
Quercus_affinis,20.586389,-98.471111
Quercus_affinis,20.569722,-98.507222
Quercus_affinis,20.675,-98.425
Quercus_affinis,20.575278,-98.485833
Quercus_affinis,20.586944,-98.538056
Quercus_affinis,19.978375998284843,-97.96840788541837
Quercus_affinis,19.891667,-97.791667
Quercus_affinis,19.925,-97.975
Quercus_affinis,20.68528145476506,-98.67120703897821
Quercus_affinis,20.137222,-98.182222
Quercus_affinis,22.198333,-99.448056
Quercus_affinis,21.352222,-99.090833
Quercus_affinis,23.514167,-100.831944
Quercus_affinis,22.499229332826573,-99.4388820254424
Quercus_affinis,22.050278,-100.655
Quercus_affinis,23.517222,-100.884444
Quercus_affinis,22.053333,-100.656111
Quercus_affinis,21.864444,-100.348056
Quercus_affinis,20.187778,-98.218611
Quercus_affinis,22.66286694813479,-100.41639202349725
Quercus_affinis,22.03014180859459,-100.64545398547057
Quercus_affinis,22.051111,-100.619444
Quercus_affinis,20.143056,-98.684444
Quercus_affinis,20.175,-98.641667
Quercus_affinis,22.294722,-99.468056
Quercus_affinis,20.629167,-98.551389
Quercus_affinis,20.611111,-98.647222
Quercus_affinis,19.872222,-97.587778
Quercus_affinis,20.460699,-98.720672
Quercus_affinis,20.175,-98.6875
Quercus_affinis,20.046944,-98.162778
Quercus_affinis,20.206667,-98.557222
Quercus_affinis,20.182778,-98.673056
Quercus_affinis,20.035,-98.142778
Quercus_affinis,20.169722,-98.647778
Quercus_affinis,18.891944,-98.5725
Quercus_affinis,20.683344,-98.399497
Quercus_affinis,20.626389,-98.831667
Quercus_affinis,19.8075,-98.009722
Quercus_affinis,20.626389,-98.8325
Quercus_affinis,20.635,-98.357222
Quercus_affinis,19.701111,-97.105555
Quercus_affinis,19.85,-97.283333
Quercus_affinis,20.141667,-98.670833
Quercus_affinis,20.141667,-98.675
Quercus_affinis,25.697222,-101.402778
Quercus_affinis,20.157222,-98.678889
Quercus_affinis,20.923611,-99.205
Quercus_affinis,23.99,-99.71
Quercus_affinis,25.72778,-100.08417
Quercus_affinis,24.0,-99.5
Quercus_affinis,20.18,-98.056944
Quercus_affinis,20.282222,-98.151944
Quercus_affinis,19.933333,-97.966667
Quercus_affinis,20.218056,-98.558889
Quercus_affinis,22.029167,-100.629167
Quercus_affinis,20.791667,-98.725
Quercus_affinis,20.661111,-98.673056
Quercus_affinis,23.82694,-100.42611
Quercus_affinis,24.504722,-99.809722
Quercus_affinis,24.82542,-100.07736
Quercus_affinis,24.87,-100.215556
Quercus_affinis,24.583889,-99.990278
Quercus_affinis,19.43261,-99.13321
Quercus_affinis,18.85,-97.083333
Quercus_affinis,19.2125,-96.88
Quercus_affinis,20.14367,-98.67381
Quercus_affinis,20.633333,-98.55
Quercus_affinis,20.645833,-98.65
Quercus_affinis,23.95056,-102.53278
Quercus_affinis,20.661389,-98.654722
Quercus_affinis,25.231389,-100.142778
Quercus_affinis,21.251389,-99.150278
Quercus_affinis,19.869719,-97.588058
Quercus_affinis,24.019722,-99.472778
Quercus_affinis,24.018056,-99.472222
Quercus_affinis,20.533608,-98.477778
Quercus_affinis,20.239169,-98.211669
Quercus_affinis,20.643889,-98.653058
Quercus_affinis,20.151389,-98.6625
Quercus_affinis,19.8,-97.283333
Quercus_affinis,20.635833,-98.650833
Quercus_affinis,18.849722,-97.103611
