Species,Latitude,Longitude
Quercus_agrifolia,32.728812,-116.474398
Quercus_agrifolia,33.106717,-116.863792
Quercus_agrifolia,37.304978,-121.76358
Quercus_agrifolia,37.292525,-121.769622
Quercus_agrifolia,37.410779,-122.261333
Quercus_agrifolia,35.050062,-120.512572
Quercus_agrifolia,32.844497,-117.195642
Quercus_agrifolia,35.18272,-120.523021
Quercus_agrifolia,38.474117,-122.726425
Quercus_agrifolia,35.170964,-120.599959
Quercus_agrifolia,34.288508,-118.593338
Quercus_agrifolia,38.42884,-122.6521
Quercus_agrifolia,37.291803,-121.767608
Quercus_agrifolia,37.892103,-122.276158
Quercus_agrifolia,37.197836,-121.974777
Quercus_agrifolia,34.09991,-118.190502
Quercus_agrifolia,37.834202,-122.486853
Quercus_agrifolia,37.907438,-122.605713
Quercus_agrifolia,31.956897,-116.602508
Quercus_agrifolia,34.403528,-119.739478
Quercus_agrifolia,37.206648,-121.97671
Quercus_agrifolia,34.100276,-118.189503
Quercus_agrifolia,37.293308,-121.7714
Quercus_agrifolia,33.62584,-117.814965
Quercus_agrifolia,37.170442,-121.785561
Quercus_agrifolia,37.796809,-122.146549
Quercus_agrifolia,34.170654,-118.10038
Quercus_agrifolia,32.839562,-117.041992
Quercus_agrifolia,31.960619,-116.598786
Quercus_agrifolia,33.583395,-117.761891
Quercus_agrifolia,34.111651,-118.750317
Quercus_agrifolia,33.542397,-117.551522
Quercus_agrifolia,33.054542,-117.122245
Quercus_agrifolia,37.290437,-121.76603
Quercus_agrifolia,37.907775,-122.511394
Quercus_agrifolia,34.295678,-118.600478
Quercus_agrifolia,37.768726,-122.44195
Quercus_agrifolia,32.916106,-116.553377
Quercus_agrifolia,38.408375,-122.486283
Quercus_agrifolia,37.854118,-122.204093
Quercus_agrifolia,36.485629,-121.154594
Quercus_agrifolia,33.255081,-117.202469
Quercus_agrifolia,37.913392,-122.3835
Quercus_agrifolia,33.215382,-116.588406
Quercus_agrifolia,37.669581,-121.842919
Quercus_agrifolia,37.476155,-122.259926
Quercus_agrifolia,33.591708,-117.042588
Quercus_agrifolia,37.963135,-122.423998
Quercus_agrifolia,37.91042,-122.524703
Quercus_agrifolia,37.887969,-122.233716
Quercus_agrifolia,37.997622,-122.523888
Quercus_agrifolia,37.281329,-121.812956
Quercus_agrifolia,37.886053,-122.094784
Quercus_agrifolia,37.578517,-122.475358
Quercus_agrifolia,33.972502,-118.420683
Quercus_agrifolia,33.561708,-117.546711
Quercus_agrifolia,36.498294,-121.193136
Quercus_agrifolia,33.219908,-116.747728
Quercus_agrifolia,35.302474,-120.697395
Quercus_agrifolia,37.984376,-122.329822
Quercus_agrifolia,35.069048,-120.719142
Quercus_agrifolia,34.209925,-118.123727
Quercus_agrifolia,37.337467,-121.712862
Quercus_agrifolia,37.924895,-122.700899
Quercus_agrifolia,37.280813,-121.81285
Quercus_agrifolia,38.119958,-122.562972
Quercus_agrifolia,33.973395,-118.435477
Quercus_agrifolia,33.263517,-116.807756
Quercus_agrifolia,37.280811,-121.810793
Quercus_agrifolia,38.407577,-122.486391
Quercus_agrifolia,38.54169,-121.47993
Quercus_agrifolia,32.969609,-117.185968
Quercus_agrifolia,32.830278,-116.855242
Quercus_agrifolia,35.302617,-120.69127
Quercus_agrifolia,36.480132,-121.158974
Quercus_agrifolia,37.549089,-122.322613
Quercus_agrifolia,37.394593,-122.243571
Quercus_agrifolia,33.751167,-117.571153
Quercus_agrifolia,37.282683,-121.814087
Quercus_agrifolia,38.008937,-122.495187
Quercus_agrifolia,34.127011,-118.932083
Quercus_agrifolia,33.018363,-117.224212
Quercus_agrifolia,37.337845,-121.713088
Quercus_agrifolia,37.012367,-122.19223
Quercus_agrifolia,37.237471,-122.070293
Quercus_agrifolia,32.832767,-116.890306
Quercus_agrifolia,38.440525,-122.694761
Quercus_agrifolia,33.760354,-117.619687
Quercus_agrifolia,38.001992,-122.505295
Quercus_agrifolia,37.952159,-122.260267
Quercus_agrifolia,38.547559,-122.530436
Quercus_agrifolia,38.522836,-122.613765
Quercus_agrifolia,35.324623,-120.827632
Quercus_agrifolia,37.503583,-122.30262
Quercus_agrifolia,38.039037,-122.550588
Quercus_agrifolia,38.485788,-122.718878
Quercus_agrifolia,36.823795,-121.741447
Quercus_agrifolia,37.906695,-121.954616
Quercus_agrifolia,33.648403,-117.674522
Quercus_agrifolia,33.462766,-116.971758
Quercus_agrifolia,35.345472,-120.819984
Quercus_agrifolia,37.073971,-121.529107
Quercus_agrifolia,37.280442,-121.809022
Quercus_agrifolia,34.533303,-120.059258
Quercus_agrifolia,37.953086,-122.293939
Quercus_agrifolia,38.403971,-122.848967
Quercus_agrifolia,37.851245,-121.934696
Quercus_agrifolia,36.841672,-119.705618
Quercus_agrifolia,37.337197,-121.715225
Quercus_agrifolia,38.417596,-122.696485
Quercus_agrifolia,33.508458,-117.369933
Quercus_agrifolia,38.464643,-122.707161
Quercus_agrifolia,39.019449,-122.664066
Quercus_agrifolia,32.984089,-117.158273
Quercus_agrifolia,37.840396,-122.12472
Quercus_agrifolia,32.75147,-117.22933
Quercus_agrifolia,35.345518,-120.820167
Quercus_agrifolia,37.280079,-121.813081
