Species,Latitude,Longitude
Quercus_ajoensis,33.360935,-114.09811
Quercus_ajoensis,33.61181,-112.539612
Quercus_ajoensis,32.47704,-116.13267
Quercus_ajoensis,29.040583,-107.252111
Quercus_ajoensis,29.33333,-114.06667
Quercus_ajoensis,27.01672,-112.31758
Quercus_ajoensis,27.01818,-112.31716
Quercus_ajoensis,27.016717,-112.31758
Quercus_ajoensis,27.483333,-112.6
Quercus_ajoensis,27.5,-112.6
Quercus_ajoensis,27.48333,-112.6
Quercus_ajoensis,27.4833,-112.6
Quercus_ajoensis,27.4769,-112.5872
Quercus_ajoensis,27.5048,-112.5796
Quercus_ajoensis,33.6331,-112.55316
Quercus_ajoensis,32.028105,-112.689066
Quercus_ajoensis,32.0664,-112.7161
Quercus_ajoensis,34.8697,-111.831
Quercus_ajoensis,27.47,-112.58
Quercus_ajoensis,27.52,-113.0
Quercus_ajoensis,27.475,-112.591667
Quercus_ajoensis,27.525,-113.008333
Quercus_ajoensis,27.508333,-112.608333
Quercus_ajoensis,27.46731,-112.58274
Quercus_ajoensis,27.5062,-112.5811
Quercus_ajoensis,27.50023,-112.9696
Quercus_ajoensis,37.17328,-108.51666
Quercus_ajoensis,32.06667,-112.70083
Quercus_ajoensis,32.08776,-112.90588
Quercus_ajoensis,32.704167,-111.543333
