Species,Latitude,Longitude
Quercus_alba,40.874403,-73.964855
Quercus_alba,42.441357,-78.882676
Quercus_alba,40.596591,-74.904199
Quercus_alba,43.355295,-79.859137
Quercus_alba,42.631838,-72.115375
Quercus_alba,40.890239,-74.007854
Quercus_alba,40.890904,-74.007522
Quercus_alba,40.939138,-73.964927
Quercus_alba,39.600603,-76.652759
Quercus_alba,43.168889,-77.5375
Quercus_alba,40.92226,-73.943169
Quercus_alba,42.710782,-78.835497
Quercus_alba,39.508721,-76.625344
Quercus_alba,42.62007,-72.462155
Quercus_alba,40.887401,-74.032268
Quercus_alba,41.710461,-87.909814
Quercus_alba,42.439931,-83.745851
Quercus_alba,40.716961,-73.458139
Quercus_alba,41.699779,-87.868451
Quercus_alba,45.223018,-76.371078
Quercus_alba,39.629078,-79.863778
Quercus_alba,42.371019,-73.602794
Quercus_alba,40.063182,-88.56331
Quercus_alba,42.493905,-71.686638
Quercus_alba,39.489495,-76.613835
Quercus_alba,40.524856,-74.400942
Quercus_alba,42.629422,-72.12131
Quercus_alba,40.997409,-74.47857
Quercus_alba,43.261891,-89.965032
Quercus_alba,40.890931,-74.005671
Quercus_alba,39.11325,-77.104844
Quercus_alba,43.677649,-79.293078
Quercus_alba,41.485665,-87.530889
Quercus_alba,41.71056,-87.910833
Quercus_alba,40.194658,-87.728258
Quercus_alba,34.017883,-81.373189
Quercus_alba,41.676493,-87.895791
Quercus_alba,43.327463,-80.293122
Quercus_alba,39.745789,-75.147445
Quercus_alba,42.715163,-78.968253
Quercus_alba,41.709211,-87.876795
Quercus_alba,40.422371,-74.467865
Quercus_alba,42.44541,-71.549763
Quercus_alba,38.579118,-90.67842
Quercus_alba,34.744675,-79.477706
Quercus_alba,34.606192,-81.664003
Quercus_alba,41.608302,-70.550519
Quercus_alba,40.58254,-74.551115
Quercus_alba,44.300728,-76.484933
Quercus_alba,43.099717,-79.288947
Quercus_alba,44.460498,-73.176727
Quercus_alba,39.340729,-82.008631
Quercus_alba,40.682287,-74.386595
Quercus_alba,36.068061,-78.921178
Quercus_alba,40.987953,-73.90638
Quercus_alba,40.925222,-73.943154
Quercus_alba,41.679293,-87.847027
Quercus_alba,40.71565,-73.457594
Quercus_alba,40.0937,-88.217502
Quercus_alba,40.610292,-74.536823
Quercus_alba,39.640613,-76.754333
Quercus_alba,43.65381,-79.485232
Quercus_alba,40.958657,-73.992041
Quercus_alba,42.577148,-71.970215
Quercus_alba,42.644917,-71.593964
Quercus_alba,43.686274,-72.327855
Quercus_alba,40.062928,-88.56246
Quercus_alba,41.004289,-74.126489
Quercus_alba,40.098349,-75.612625
Quercus_alba,40.076854,-77.293671
Quercus_alba,39.489629,-76.604403
Quercus_alba,41.479147,-87.532373
Quercus_alba,42.051613,-88.198896
Quercus_alba,37.673361,-77.548453
Quercus_alba,32.77505,-80.161438
Quercus_alba,42.745406,-71.055967
Quercus_alba,42.447548,-71.107057
Quercus_alba,40.7314,-73.469489
Quercus_alba,43.856292,-70.221558
Quercus_alba,40.899522,-74.030989
Quercus_alba,41.291157,-88.494465
Quercus_alba,38.862144,-78.305239
Quercus_alba,40.751611,-73.471414
Quercus_alba,40.744439,-73.471992
Quercus_alba,42.437255,-71.123365
Quercus_alba,39.744697,-75.159797
Quercus_alba,42.37118,-73.602875
Quercus_alba,42.298575,-72.333703
Quercus_alba,40.739078,-73.469422
Quercus_alba,40.133611,-77.113186
Quercus_alba,39.016107,-76.446444
Quercus_alba,41.997482,-87.784695
Quercus_alba,42.852342,-72.588386
Quercus_alba,39.426985,-82.147842
Quercus_alba,43.812922,-79.156944
Quercus_alba,40.716989,-73.458167
Quercus_alba,39.089925,-76.132233
Quercus_alba,40.690003,-81.960883
Quercus_alba,42.927623,-70.990165
Quercus_alba,39.014059,-76.870457
Quercus_alba,35.880083,-79.018435
Quercus_alba,43.678813,-79.304062
Quercus_alba,42.29805,-72.333267
Quercus_alba,41.680339,-87.908333
Quercus_alba,39.421929,-84.509817
Quercus_alba,40.891461,-74.007084
Quercus_alba,44.786383,-93.148378
Quercus_alba,42.342157,-72.487183
Quercus_alba,39.447313,-81.911155
Quercus_alba,40.004518,-77.369223
Quercus_alba,39.323147,-77.741425
Quercus_alba,40.868983,-72.941978
Quercus_alba,41.848575,-73.459964
Quercus_alba,38.124301,-78.460812
Quercus_alba,38.65998,-75.187217
Quercus_alba,36.068284,-78.923349
Quercus_alba,40.18601,-74.992908
Quercus_alba,40.75405,-73.466622
Quercus_alba,40.761697,-74.715255
Quercus_alba,39.101857,-88.804839
Quercus_alba,37.922414,-78.303714
Quercus_alba,40.716094,-73.4579
Quercus_alba,39.264046,-77.284552
Quercus_alba,41.720045,-81.1732
Quercus_alba,40.715942,-73.457825
Quercus_alba,40.591108,-77.280269
Quercus_alba,40.728038,-81.953688
Quercus_alba,45.055188,-79.347039
Quercus_alba,43.256431,-80.331547
