Species,Latitude,Longitude
Quercus_aristata,23.402943,-105.881914
Quercus_aristata,21.20796,-104.95807
Quercus_aristata,22.116139,-104.928278
Quercus_aristata,23.28267,-105.59433
Quercus_aristata,23.46105,-105.70183
Quercus_aristata,19.892222,-104.546389
Quercus_aristata,20.120805,-104.847222
Quercus_aristata,22.754625,-104.96202
Quercus_aristata,19.802777,-105.312222
Quercus_aristata,22.367278,-105.028861
Quercus_aristata,22.347778,-105.374722
Quercus_aristata,20.364722,-105.218056
Quercus_aristata,21.730972,-102.699328
Quercus_aristata,23.066667,-105.516667
Quercus_aristata,23.05,-105.65
Quercus_aristata,23.433333,-105.866667
Quercus_aristata,23.42361,-105.8675
Quercus_aristata,23.43333,-105.86667
Quercus_aristata,19.74080576680301,-104.95796293957052
Quercus_aristata,20.919157044444862,-100.16707739334228
Quercus_aristata,23.40222,-105.88611
Quercus_aristata,22.043331,-104.939719
Quercus_aristata,21.600278,-104.950278
Quercus_aristata,21.504722,-105.064444
Quercus_aristata,20.351667,-105.313611
Quercus_aristata,20.391667,-105.25
Quercus_aristata,20.416667,-104.797222
Quercus_aristata,20.216667,-104.766667
Quercus_aristata,20.224181,-105.398105
Quercus_aristata,20.380556,-105.402778
Quercus_aristata,20.301667,-102.628333
Quercus_aristata,21.221667,-104.75
Quercus_aristata,21.2,-104.766667
Quercus_aristata,21.166667,-105.016667
Quercus_aristata,21.366667,-104.883333
Quercus_aristata,21.443333,-104.901667
Quercus_aristata,21.583333,-104.9
Quercus_aristata,21.433333,-105.166667
Quercus_aristata,21.433889,-105.154167
Quercus_aristata,20.516667,-104.783333
Quercus_aristata,21.433333,-104.766667
Quercus_aristata,21.516667,-104.895
Quercus_aristata,21.566667,-104.433333
Quercus_aristata,21.625,-104.375
Quercus_aristata,23.416667,-105.916667
Quercus_aristata,22.063333,-104.808333
Quercus_aristata,22.016667,-104.616667
Quercus_aristata,22.01667,-104.61667
Quercus_aristata,23.391667,-105.925
Quercus_aristata,20.375,-105.325
Quercus_aristata,20.362778,-105.315278
Quercus_aristata,23.37697451678514,-105.95112192994847
Quercus_aristata,20.31984,-105.32658
