Species,Latitude,Longitude
Quercus_arizonica,31.896889,-109.164503
Quercus_arizonica,31.346244,-110.253728
Quercus_arizonica,34.203537,-110.981099
Quercus_arizonica,28.198162,-108.212299
Quercus_arizonica,31.854448,-109.328698
Quercus_arizonica,31.709967,-110.799097
Quercus_arizonica,31.933131,-109.263278
Quercus_arizonica,34.326343,-111.838482
Quercus_arizonica,34.466538,-112.431167
Quercus_arizonica,31.84908,-109.325372
Quercus_arizonica,25.539514,-100.527236
Quercus_arizonica,23.82529,-105.253674
Quercus_arizonica,32.126166,-110.484108
Quercus_arizonica,23.917988,-104.97005
Quercus_arizonica,31.699462,-110.882125
Quercus_arizonica,34.950835,-111.837848
Quercus_arizonica,31.883617,-109.178192
Quercus_arizonica,32.345277,-110.718309
Quercus_arizonica,31.448017,-110.276833
Quercus_arizonica,31.345399,-110.254277
Quercus_arizonica,31.739105,-110.884971
Quercus_arizonica,31.448747,-110.306252
Quercus_arizonica,31.878692,-109.178025
Quercus_arizonica,32.383405,-106.5576
Quercus_arizonica,31.960817,-111.599433
Quercus_arizonica,31.44663,-110.308997
Quercus_arizonica,31.16083,-110.55417
Quercus_arizonica,31.72857,-110.881123
Quercus_arizonica,34.060188,-109.807999
Quercus_arizonica,31.877741,-109.236244
Quercus_arizonica,32.348286,-110.723053
Quercus_arizonica,31.936894,-109.960189
Quercus_arizonica,30.884984,-110.119218
Quercus_arizonica,33.921392,-111.414025
Quercus_arizonica,35.109322,-112.283519
Quercus_arizonica,30.240835,-110.487198
Quercus_arizonica,34.925541,-111.737061
Quercus_arizonica,26.978975,-108.980286
Quercus_arizonica,23.249405,-104.955344
Quercus_arizonica,32.00569,-109.356188
Quercus_arizonica,32.36827,-106.559871
Quercus_arizonica,31.89821,-109.95669
Quercus_arizonica,32.47382,-110.72669
Quercus_arizonica,30.33289,-109.612793
Quercus_arizonica,32.384609,-106.591032
Quercus_arizonica,32.373358,-110.691825
Quercus_arizonica,31.73638,-110.88378
Quercus_arizonica,31.326953,-108.833485
Quercus_arizonica,32.008647,-109.373208
Quercus_arizonica,32.005456,-109.356072
Quercus_arizonica,29.090606,-110.23925
Quercus_arizonica,32.339289,-106.580106
Quercus_arizonica,31.891331,-109.210828
Quercus_arizonica,31.439062,-110.280051
Quercus_arizonica,29.24326,-103.29992
Quercus_arizonica,29.24168,-103.29715
Quercus_arizonica,29.25193,-103.27448
Quercus_arizonica,31.420996,-110.272061
Quercus_arizonica,31.400262,-110.273292
Quercus_arizonica,32.180308,-110.648292
Quercus_arizonica,35.168483,-112.22747
Quercus_arizonica,31.920311,-106.041081
Quercus_arizonica,32.3704,-110.70987
Quercus_arizonica,31.741307,-110.894794
Quercus_arizonica,32.667617,-109.797128
Quercus_arizonica,34.273136,-111.317017
Quercus_arizonica,31.446178,-110.31077
Quercus_arizonica,31.478038,-110.343788
Quercus_arizonica,34.4265,-111.261618
Quercus_arizonica,34.50689,-112.471986
Quercus_arizonica,31.445838,-110.311813
Quercus_arizonica,31.447262,-110.30787
Quercus_arizonica,31.446488,-110.310013
Quercus_arizonica,31.539162,-110.376678
Quercus_arizonica,31.380692,-110.253022
Quercus_arizonica,31.349572,-110.228317
Quercus_arizonica,32.212395,-110.563645
Quercus_arizonica,31.402967,-110.258667
Quercus_arizonica,31.387205,-110.74008
Quercus_arizonica,32.377053,-110.685805
Quercus_arizonica,31.362912,-110.300641
Quercus_arizonica,31.971025,-109.330793
Quercus_arizonica,31.400147,-111.088793
Quercus_arizonica,33.315425,-110.873612
