Species,Latitude,Longitude
Quercus_arkansana,33.629791,-93.120403
Quercus_arkansana,31.00855,-94.064064
Quercus_arkansana,31.735905,-85.995294
Quercus_arkansana,33.777064,-93.073556
Quercus_arkansana,32.24464,-85.227934
Quercus_arkansana,30.554008,-86.577277
Quercus_arkansana,31.604953,-85.970855
Quercus_arkansana,33.787134,-93.898724
Quercus_arkansana,31.78992,-85.893178
Quercus_arkansana,31.78984,-85.892499
Quercus_arkansana,32.31952,-84.658768
Quercus_arkansana,31.78972,-85.893059
Quercus_arkansana,32.39557,-84.768703
Quercus_arkansana,32.32639,-84.677543
Quercus_arkansana,31.46826,-84.948841
Quercus_arkansana,31.78998,-85.893035
Quercus_arkansana,31.19063,-85.086455
Quercus_arkansana,31.78948,-85.892872
Quercus_arkansana,32.32601,-84.677037
Quercus_arkansana,31.78962,-85.896136
Quercus_arkansana,30.59179,-86.467166
Quercus_arkansana,30.59098,-86.467372
Quercus_arkansana,33.05253,-87.497771
Quercus_arkansana,30.55422,-86.492189
Quercus_arkansana,32.50834,-88.029988
Quercus_arkansana,30.55487,-86.49066
Quercus_arkansana,30.55409,-86.491632
Quercus_arkansana,30.59128,-86.467282
Quercus_arkansana,30.54397,-86.395722
Quercus_arkansana,30.54398,-86.395729
Quercus_arkansana,33.05267,-87.497459
Quercus_arkansana,33.05205,-87.497735
Quercus_arkansana,30.54407,-86.395383
Quercus_arkansana,33.05244,-87.497459
Quercus_arkansana,30.55454,-86.492201
Quercus_arkansana,30.59116,-86.467383
Quercus_arkansana,30.54407,-86.395847
Quercus_arkansana,30.55424,-86.492157
Quercus_arkansana,30.55415,-86.492272
Quercus_arkansana,30.59139,-86.467071
Quercus_arkansana,33.05207,-87.497714
Quercus_arkansana,32.655,-81.790555
Quercus_arkansana,30.497535,-86.425007
Quercus_arkansana,30.516311,-86.499302
Quercus_arkansana,31.15949,-94.186396
Quercus_arkansana,30.57522,-86.406755
Quercus_arkansana,30.567512,-86.513116
Quercus_arkansana,33.700436,-92.933512
Quercus_arkansana,32.879671,-92.507292
Quercus_arkansana,32.922395,-92.498719
Quercus_arkansana,32.457596,-88.125918
Quercus_arkansana,33.608793,-93.035637
Quercus_arkansana,32.991,-94.018
Quercus_arkansana,32.58667,-88.05806
Quercus_arkansana,32.99944,-87.48861
Quercus_arkansana,32.65,-87.3
Quercus_arkansana,32.646667,-86.771667
Quercus_arkansana,32.346231,-84.67155
Quercus_arkansana,31.672944,-84.88909
Quercus_arkansana,30.279317,-84.9852
Quercus_arkansana,31.471562,-84.92548
Quercus_arkansana,32.59222,-88.05695
Quercus_arkansana,32.60861,-86.85361
Quercus_arkansana,30.5675,-86.546667
Quercus_arkansana,31.00444,-85.30361
Quercus_arkansana,30.565556,-86.536667
Quercus_arkansana,33.707967,-93.133176
Quercus_arkansana,32.305427,-84.772703
Quercus_arkansana,31.771183,-84.943013
Quercus_arkansana,30.561389,-86.537778
Quercus_arkansana,32.97361,-87.47111
Quercus_arkansana,32.966667,-87.466667
Quercus_arkansana,32.966,-87.466003
Quercus_arkansana,32.96667,-87.46667
Quercus_arkansana,32.968593,-92.560956
Quercus_arkansana,32.95,-92.566667
Quercus_arkansana,30.716667,-86.116667
Quercus_arkansana,30.5,-86.433333
Quercus_arkansana,33.11555,-87.42834
Quercus_arkansana,33.04722,-87.49028
Quercus_arkansana,32.6875,-86.7925
Quercus_arkansana,32.52389,-86.54611
Quercus_arkansana,33.70222,-93.02028
Quercus_arkansana,33.68678,-93.86993
Quercus_arkansana,33.0,-87.6
Quercus_arkansana,33.016667,-87.6
Quercus_arkansana,33.735305,-93.668443
Quercus_arkansana,33.6608,-93.8325
Quercus_arkansana,30.750479,-86.582009
Quercus_arkansana,33.614565,-93.813516
Quercus_arkansana,33.6119,-93.8144
Quercus_arkansana,31.78611,-85.90334
Quercus_arkansana,33.61444,-93.81333
Quercus_arkansana,30.503623,-86.427276
