Species,Latitude,Longitude
Quercus_austrina,29.71208,-82.457717
Quercus_austrina,29.734005,-82.440705
Quercus_austrina,29.718555,-82.456403
Quercus_austrina,29.644957,-82.345556
Quercus_austrina,32.258532,-90.175299
Quercus_austrina,29.870602,-82.507469
Quercus_austrina,32.521472,-88.187758
Quercus_austrina,29.95667,-82.772972
Quercus_austrina,32.170308,-89.264105
Quercus_austrina,32.721555,-88.114565
Quercus_austrina,29.453038,-82.307067
Quercus_austrina,30.426552,-84.171348
Quercus_austrina,32.202122,-89.260864
Quercus_austrina,32.39516,-89.406514
Quercus_austrina,29.471678,-82.288413
Quercus_austrina,32.147462,-89.425019
Quercus_austrina,33.514587,-88.731828
Quercus_austrina,29.676683,-81.26835
Quercus_austrina,30.628537,-87.915917
Quercus_austrina,29.624456,-82.414413
Quercus_austrina,32.231667,-87.543611
Quercus_austrina,29.730306,-82.452492
Quercus_austrina,30.5525,-87.2153
Quercus_austrina,32.714293,-88.080548
Quercus_austrina,29.2189,-82.0414
Quercus_austrina,29.6453,-82.3442
Quercus_austrina,29.202817,-82.033417
Quercus_austrina,32.55194,-88.87695
Quercus_austrina,29.3278,-81.0797
Quercus_austrina,29.6126,-82.40825
Quercus_austrina,32.098509,-82.898477
Quercus_austrina,31.55333,-85.15028
Quercus_austrina,31.466682,-84.929532
Quercus_austrina,31.467569,-84.929202
Quercus_austrina,31.473417,-84.94378
Quercus_austrina,31.467707,-84.930133
Quercus_austrina,31.466829,-84.92936
Quercus_austrina,31.46673,-84.929342
Quercus_austrina,33.02417,-87.02028
Quercus_austrina,31.213746,-84.473294
Quercus_austrina,30.234722,-84.298889
Quercus_austrina,32.886826,-81.955671
Quercus_austrina,32.879326,-81.958171
Quercus_austrina,32.27235,-89.044796
Quercus_austrina,32.595379,-88.305688
Quercus_austrina,31.077407,-86.903205
Quercus_austrina,32.206252,-87.013876
Quercus_austrina,33.308087,-88.31695
Quercus_austrina,30.890717,-83.609859
Quercus_austrina,31.239002,-89.840369
Quercus_austrina,33.118498,-81.963867
Quercus_austrina,30.841019,-87.90194
Quercus_austrina,30.858675,-83.595445
Quercus_austrina,31.371377,-87.75778
Quercus_austrina,31.7721,-84.11455
Quercus_austrina,31.773782,-84.132963
Quercus_austrina,31.036849,-85.308822
Quercus_austrina,32.082467,-82.900699
Quercus_austrina,30.315753,-89.247543
Quercus_austrina,32.577117,-81.71511
Quercus_austrina,29.651634,-82.324826
Quercus_austrina,31.483806,-81.375566
Quercus_austrina,32.179316,-90.245367
Quercus_austrina,32.407359,-87.021101
Quercus_austrina,32.36431,-88.703656
Quercus_austrina,30.9038,-84.57547
Quercus_austrina,33.034616,-88.214412
Quercus_austrina,32.201129,-80.919782
Quercus_austrina,32.496802,-87.71612
Quercus_austrina,31.466975,-84.930133
