Species,Latitude,Longitude
Quercus_benthamii,14.40947,-89.36311
Quercus_benthamii,14.40003,-89.36031
Quercus_benthamii,15.105389,-92.160305
Quercus_benthamii,16.770035,-92.528319
Quercus_benthamii,15.240806,-92.304555
Quercus_benthamii,9.023611,-82.956111
Quercus_benthamii,15.095694,-92.098167
Quercus_benthamii,15.103861,-92.132111
Quercus_benthamii,15.102417,-92.134722
Quercus_benthamii,15.108028,-92.108
Quercus_benthamii,15.103667,-92.101528
Quercus_benthamii,17.117806,-93.186122
Quercus_benthamii,15.105667,-92.107361
Quercus_benthamii,15.097917,-92.084778
Quercus_benthamii,15.145333,-92.140833
Quercus_benthamii,15.138333,-92.139444
Quercus_benthamii,15.141806,-92.13775
Quercus_benthamii,15.088861,-92.097639
Quercus_benthamii,13.749722,-89.256944
Quercus_benthamii,13.74994,-89.25694
Quercus_benthamii,15.674424,-92.810006
Quercus_benthamii,17.047567,-93.136
Quercus_benthamii,16.968117,-92.976867
Quercus_benthamii,16.968056,-92.976944
Quercus_benthamii,14.57786,-87.843162
Quercus_benthamii,9.3863,-83.2077
Quercus_benthamii,9.38617,-83.21145
Quercus_benthamii,9.54941,-83.79952
Quercus_benthamii,9.538917,-83.818861
Quercus_benthamii,9.538917,-83.81886
Quercus_benthamii,9.269444,-83.230556
Quercus_benthamii,9.269444,-83.23056
Quercus_benthamii,9.55,-83.7875
Quercus_benthamii,9.373223,-83.309817
Quercus_benthamii,9.784722,-84.451111
Quercus_benthamii,15.7,-92.936111
Quercus_benthamii,9.704167,-84.154167
Quercus_benthamii,9.704167,-84.15417
Quercus_benthamii,9.58,-83.84
Quercus_benthamii,9.58222,-83.845
Quercus_benthamii,9.709722,-84.226389
Quercus_benthamii,9.709722,-84.22639
Quercus_benthamii,13.55,-85.733333
Quercus_benthamii,9.7097,-84.2264
Quercus_benthamii,9.739971,-83.7829
Quercus_benthamii,9.031997,-82.964502
Quercus_benthamii,9.031945,-82.964444
Quercus_benthamii,9.580556,-84.183333
Quercus_benthamii,9.558333,-83.8625
Quercus_benthamii,17.188889,-92.9
Quercus_benthamii,17.188333,-92.899444
Quercus_benthamii,9.58,-84.06
Quercus_benthamii,9.71,-84.27
Quercus_benthamii,9.713333,-84.275833
Quercus_benthamii,17.237778,-92.932778
Quercus_benthamii,17.238333,-92.931944
Quercus_benthamii,17.2375,-92.930556
Quercus_benthamii,9.46,-83.55
Quercus_benthamii,9.465278,-83.559722
Quercus_benthamii,17.237778,-92.924722
Quercus_benthamii,17.238333,-92.921667
Quercus_benthamii,17.238889,-92.924722
Quercus_benthamii,8.916768,-82.782874
Quercus_benthamii,8.91,-82.78
Quercus_benthamii,9.56,-84.05
Quercus_benthamii,8.897719,-82.758371
Quercus_benthamii,8.89,-82.75
Quercus_benthamii,9.46,-83.79
Quercus_benthamii,17.187222,-92.898611
Quercus_benthamii,17.188056,-92.9
Quercus_benthamii,17.188333,-92.899722
Quercus_benthamii,17.188333,-92.897222
Quercus_benthamii,17.187222,-92.896667
Quercus_benthamii,17.187222,-92.897222
Quercus_benthamii,9.78,-83.75
Quercus_benthamii,9.463889,-83.561111
Quercus_benthamii,9.033333,-82.95
Quercus_benthamii,9.03,-82.95
Quercus_benthamii,9.02,-82.96
Quercus_benthamii,9.025,-82.961111
Quercus_benthamii,9.528056,-83.588056
Quercus_benthamii,9.528056,-83.588055
Quercus_benthamii,9.01,-82.95
Quercus_benthamii,9.7125,-84.075
Quercus_benthamii,9.71,-84.07
Quercus_benthamii,9.71,-84.18
Quercus_benthamii,9.06,-83.05
Quercus_benthamii,9.625,-83.952778
Quercus_benthamii,9.708889,-84.182778
Quercus_benthamii,9.718333,-84.181111
Quercus_benthamii,9.7,-84.18
Quercus_benthamii,9.71,-84.21
Quercus_benthamii,9.711111,-84.216111
Quercus_benthamii,9.713889,-84.111667
Quercus_benthamii,15.599380647278265,-92.8239458645985
Quercus_benthamii,9.676667,-83.916944
Quercus_benthamii,9.71,-84.28
Quercus_benthamii,9.718056,-84.281944
Quercus_benthamii,9.39,-83.2
Quercus_benthamii,9.394444,-83.208333
Quercus_benthamii,8.51,-83.47
Quercus_benthamii,8.513889,-83.472222
Quercus_benthamii,9.87,-84.09
Quercus_benthamii,9.870833,-84.097778
Quercus_benthamii,9.870833,-84.097222
Quercus_benthamii,9.393056,-83.097222
Quercus_benthamii,9.430556,-83.055556
Quercus_benthamii,9.396944,-83.081944
Quercus_benthamii,8.94583,-82.8375
Quercus_benthamii,8.96,-83.83
Quercus_benthamii,8.966667,-82.833333
Quercus_benthamii,8.79,-82.95
Quercus_benthamii,8.95,-82.833333
Quercus_benthamii,8.911111,-82.788611
Quercus_benthamii,8.52,-83.46
Quercus_benthamii,10.0,-84.8333
Quercus_benthamii,8.516667,-83.466667
Quercus_benthamii,8.525,-83.4667
Quercus_benthamii,8.783333,-82.966667
Quercus_benthamii,14.55,-88.683333
Quercus_benthamii,8.45,-83.55
Quercus_benthamii,17.80583,-92.09972
Quercus_benthamii,17.15523,-93.1463
Quercus_benthamii,8.504541,-83.471399
Quercus_benthamii,16.108333,-91.676111
Quercus_benthamii,15.325,-92.295833
Quercus_benthamii,16.097222,-91.666667
Quercus_benthamii,17.151389,-93.156944
Quercus_benthamii,15.291667,-92.285
Quercus_benthamii,15.556944,-92.3225
Quercus_benthamii,17.130556,-93.158333
Quercus_benthamii,17.177292,-93.149369
Quercus_benthamii,15.518061,-92.305561
Quercus_benthamii,16.783333,-92.513889
Quercus_benthamii,17.184722,-93.147222
Quercus_benthamii,17.18740276088808,-93.11827014050762
Quercus_benthamii,17.183333,-92.898611
Quercus_benthamii,15.333333,-92.25
Quercus_benthamii,16.797222,-92.591667
Quercus_benthamii,10.16,-84.26
Quercus_benthamii,14.733056,-91.523333
Quercus_benthamii,15.000278,-91.900833
Quercus_benthamii,15.22,-92.3
Quercus_benthamii,15.326667,-92.287778
Quercus_benthamii,15.243056,-92.319444
Quercus_benthamii,15.325,-92.291667
Quercus_benthamii,15.358333,-92.304167
Quercus_benthamii,15.275,-92.258333
Quercus_benthamii,8.8,-82.5
Quercus_benthamii,16.455278,-91.805
Quercus_benthamii,16.491667,-91.806944
Quercus_benthamii,13.33333,-86.6
Quercus_benthamii,16.772222,-92.45
Quercus_benthamii,17.2,-92.95
Quercus_benthamii,8.8,-82.566667
Quercus_benthamii,15.4,-92.3
Quercus_benthamii,15.558889,-92.311667
Quercus_benthamii,15.459722,-92.318056
Quercus_benthamii,15.544444,-92.319444
Quercus_benthamii,15.451389,-92.247222
Quercus_benthamii,15.413889,-92.334722
Quercus_benthamii,15.488399929631036,-92.11882591215785
Quercus_benthamii,15.502778,-92.927222
Quercus_benthamii,15.234722,-92.245833
Quercus_benthamii,16.094444,-91.666667
Quercus_benthamii,16.091667,-91.675
Quercus_benthamii,9.7,-83.95
Quercus_benthamii,15.183611,-90.204444
Quercus_benthamii,9.79,-83.9
Quercus_benthamii,15.5525,-92.309722
Quercus_benthamii,16.19,-93.61
Quercus_benthamii,16.193056,-93.609722
Quercus_benthamii,15.380658,-92.331239
Quercus_benthamii,9.81,-83.94
Quercus_benthamii,17.190278,-93.002778
Quercus_benthamii,17.18,-92.9
Quercus_benthamii,9.81,-83.78
Quercus_benthamii,16.210278,-93.595555
Quercus_benthamii,16.183333,-93.586111
Quercus_benthamii,17.179167,-92.905556
Quercus_benthamii,16.166667,-93.583333
Quercus_benthamii,15.466389,-92.261667
Quercus_benthamii,9.45,-83.51
Quercus_benthamii,8.85,-82.56666
Quercus_benthamii,17.5,-92.666667
Quercus_benthamii,17.186111,-92.902778
Quercus_benthamii,15.43,-92.335278
Quercus_benthamii,15.425,-92.344444
Quercus_benthamii,17.194444,-92.916667
Quercus_benthamii,8.833333,-82.716667
Quercus_benthamii,9.65,-84.03
Quercus_benthamii,16.822222,-92.55
Quercus_benthamii,8.814722,-82.580833
Quercus_benthamii,17.163889,-92.895833
Quercus_benthamii,15.655556,-92.808333
Quercus_benthamii,17.158333,-92.893056
Quercus_benthamii,15.361111,-92.2125
Quercus_benthamii,15.323611,-92.233333
Quercus_benthamii,13.848333,-86.945555
Quercus_benthamii,8.74,-82.94
Quercus_benthamii,14.221111,-87.066944
