Species,Latitude,Longitude
Quercus_berberidifolia,33.555922,-117.546225
Quercus_berberidifolia,33.555692,-117.546028
Quercus_berberidifolia,33.623078,-117.594117
Quercus_berberidifolia,37.282153,-121.814072
Quercus_berberidifolia,33.456621,-116.971241
Quercus_berberidifolia,33.626431,-117.478103
Quercus_berberidifolia,33.086358,-117.139758
Quercus_berberidifolia,38.486972,-122.70225
Quercus_berberidifolia,35.205492,-120.781784
Quercus_berberidifolia,33.624935,-117.652212
Quercus_berberidifolia,38.891809,-122.322847
Quercus_berberidifolia,37.973409,-122.638421
Quercus_berberidifolia,37.889408,-121.931733
Quercus_berberidifolia,38.441204,-122.522865
Quercus_berberidifolia,38.525087,-122.363442
Quercus_berberidifolia,33.715337,-117.602742
Quercus_berberidifolia,35.205642,-120.364834
Quercus_berberidifolia,33.58857,-117.443055
Quercus_berberidifolia,33.61073,-117.754687
Quercus_berberidifolia,33.747426,-117.583364
Quercus_berberidifolia,34.185021,-118.094996
Quercus_berberidifolia,33.005233,-117.161125
Quercus_berberidifolia,37.149183,-121.77987
Quercus_berberidifolia,33.005244,-117.161378
Quercus_berberidifolia,37.911348,-121.916109
Quercus_berberidifolia,33.004381,-117.163653
Quercus_berberidifolia,33.005156,-117.162437
Quercus_berberidifolia,33.005231,-117.161444
Quercus_berberidifolia,33.00526,-117.161458
Quercus_berberidifolia,32.704138,-116.917887
Quercus_berberidifolia,34.34369,-118.362636
Quercus_berberidifolia,34.137744,-118.186633
Quercus_berberidifolia,33.660806,-117.427331
Quercus_berberidifolia,35.432292,-120.536622
Quercus_berberidifolia,35.288289,-120.474228
Quercus_berberidifolia,34.17577,-118.097167
Quercus_berberidifolia,33.665797,-117.539256
Quercus_berberidifolia,33.64836,-117.45876
Quercus_berberidifolia,33.550952,-117.572079
Quercus_berberidifolia,37.348688,-122.17802
Quercus_berberidifolia,34.487628,-119.644975
Quercus_berberidifolia,39.801277,-121.721518
Quercus_berberidifolia,36.005956,-121.392686
Quercus_berberidifolia,37.195106,-121.983856
Quercus_berberidifolia,37.184933,-121.829364
Quercus_berberidifolia,35.419507,-120.739791
Quercus_berberidifolia,34.119453,-118.40802
Quercus_berberidifolia,33.666014,-117.440167
Quercus_berberidifolia,35.434008,-120.52665
Quercus_berberidifolia,33.678762,-117.646858
Quercus_berberidifolia,34.449978,-119.663286
Quercus_berberidifolia,34.560356,-119.164526
Quercus_berberidifolia,39.366111,-122.634722
Quercus_berberidifolia,34.748547,-119.966355
Quercus_berberidifolia,33.667991,-117.502613
Quercus_berberidifolia,34.531753,-119.838141
Quercus_berberidifolia,34.095293,-118.653316
Quercus_berberidifolia,34.0553,-118.527749
Quercus_berberidifolia,33.665502,-117.532277
Quercus_berberidifolia,34.533689,-119.242678
Quercus_berberidifolia,35.452872,-120.691422
Quercus_berberidifolia,33.005117,-117.006492
Quercus_berberidifolia,33.6512,-117.4663
Quercus_berberidifolia,38.459042,-122.552497
Quercus_berberidifolia,33.842326,-117.734051
Quercus_berberidifolia,39.80643,-121.719437
Quercus_berberidifolia,34.498861,-119.693261
Quercus_berberidifolia,34.542068,-119.284056
Quercus_berberidifolia,34.537973,-119.308745
Quercus_berberidifolia,33.6095,-117.5152
Quercus_berberidifolia,33.63876,-117.4727
Quercus_berberidifolia,33.329822,-118.327905
Quercus_berberidifolia,33.546531,-117.568919
Quercus_berberidifolia,33.552767,-117.565572
Quercus_berberidifolia,33.587759,-117.533544
Quercus_berberidifolia,38.065064,-122.195153
Quercus_berberidifolia,37.198628,-121.980983
Quercus_berberidifolia,33.602512,-117.774822
Quercus_berberidifolia,38.430579,-122.658028
Quercus_berberidifolia,33.588056,-117.515556
Quercus_berberidifolia,34.197727,-118.209103
Quercus_berberidifolia,32.802467,-117.174255
Quercus_berberidifolia,33.61034,-117.768231
Quercus_berberidifolia,33.5924,-117.512575
Quercus_berberidifolia,33.666611,-117.592196
Quercus_berberidifolia,33.666337,-117.593321
Quercus_berberidifolia,33.666939,-117.591922
Quercus_berberidifolia,34.211332,-118.901729
Quercus_berberidifolia,34.077336,-118.69748
Quercus_berberidifolia,34.094932,-118.597041
Quercus_berberidifolia,34.192156,-118.088904
