Species,Latitude,Longitude
Quercus_bicolor,42.763911,-70.893561
Quercus_bicolor,40.878656,-73.967079
Quercus_bicolor,43.228989,-79.964074
Quercus_bicolor,39.740812,-75.145294
Quercus_bicolor,42.47992,-81.726455
Quercus_bicolor,43.37297,-79.893782
Quercus_bicolor,41.54477,-73.93602
Quercus_bicolor,43.342699,-79.823849
Quercus_bicolor,40.653668,-74.500503
Quercus_bicolor,44.810508,-93.109289
Quercus_bicolor,40.553599,-74.588029
Quercus_bicolor,41.708699,-87.87781
Quercus_bicolor,41.201399,-81.420054
Quercus_bicolor,40.597266,-74.572814
Quercus_bicolor,37.509949,-89.056886
Quercus_bicolor,38.85173,-77.103675
Quercus_bicolor,41.479644,-87.534775
Quercus_bicolor,41.98201,-87.741293
Quercus_bicolor,37.766311,-89.465118
Quercus_bicolor,41.708372,-87.878527
Quercus_bicolor,41.7086,-87.877584
Quercus_bicolor,41.994901,-87.771027
Quercus_bicolor,37.947086,-89.186724
Quercus_bicolor,43.203648,-79.778465
Quercus_bicolor,43.223003,-79.713395
Quercus_bicolor,43.615622,-84.172503
Quercus_bicolor,41.980002,-87.742324
Quercus_bicolor,42.169137,-82.814688
Quercus_bicolor,42.212693,-82.789573
Quercus_bicolor,42.438377,-72.464831
Quercus_bicolor,42.751964,-84.432111
Quercus_bicolor,42.403027,-71.18763
Quercus_bicolor,44.926212,-93.347017
Quercus_bicolor,42.338112,-72.493208
Quercus_bicolor,43.03474,-76.136617
Quercus_bicolor,42.453151,-71.09115
Quercus_bicolor,42.270287,-72.593086
Quercus_bicolor,41.181721,-81.646945
Quercus_bicolor,44.908582,-93.191496
Quercus_bicolor,44.724572,-92.849092
Quercus_bicolor,42.467598,-87.939756
Quercus_bicolor,42.454149,-71.091804
Quercus_bicolor,42.263275,-82.98053
Quercus_bicolor,39.714936,-89.699997
Quercus_bicolor,41.249428,-81.514826
Quercus_bicolor,40.691445,-74.520066
Quercus_bicolor,42.033044,-82.777101
Quercus_bicolor,43.552925,-79.663506
Quercus_bicolor,42.458498,-71.648848
Quercus_bicolor,42.03394,-82.82612
