Species,Latitude,Longitude
Quercus_boissieri,33.239329,35.680589
Quercus_boissieri,32.58,35.06
Quercus_boissieri,33.182081,35.540887
Quercus_boissieri,33.07614,35.220265
Quercus_boissieri,33.095059,35.268472
Quercus_boissieri,32.953439,35.341095
Quercus_boissieri,33.050143,35.846587
Quercus_boissieri,32.976023,35.29406
Quercus_boissieri,33.239085,35.740671
Quercus_boissieri,32.975125,35.28978
Quercus_boissieri,31.699996,35.080787
Quercus_boissieri,33.23394,35.675195
Quercus_boissieri,32.014776,35.13223
Quercus_boissieri,33.247544,35.653807
Quercus_boissieri,33.037559,35.839002
Quercus_boissieri,33.041155,35.841169
Quercus_boissieri,33.047488,35.836932
Quercus_boissieri,31.690068,35.072363
Quercus_boissieri,32.474679,35.124418
Quercus_boissieri,32.844362,35.314223
Quercus_boissieri,32.474685,35.135056
Quercus_boissieri,32.998423,35.412856
Quercus_boissieri,33.04084,35.388333
Quercus_boissieri,32.264047,34.832741
Quercus_boissieri,31.699971,35.056526
Quercus_boissieri,32.951533,35.414884
Quercus_boissieri,33.191272,35.746814
Quercus_boissieri,32.990328,35.401067
Quercus_boissieri,32.994001,35.352927
Quercus_boissieri,33.03719,35.416158
Quercus_boissieri,32.950644,35.407396
Quercus_boissieri,32.991239,35.39465
Quercus_boissieri,32.950723,35.350716
Quercus_boissieri,32.960555,35.411697
Quercus_boissieri,32.997556,35.391453
Quercus_boissieri,32.999332,35.408578
Quercus_boissieri,33.042642,35.389407
Quercus_boissieri,32.965947,35.422406
Quercus_boissieri,33.084254,35.182779
Quercus_boissieri,32.983121,35.396772
Quercus_boissieri,33.09504,35.298465
Quercus_boissieri,32.966945,35.35716
Quercus_boissieri,32.947039,35.406319
Quercus_boissieri,33.038991,35.417233
Quercus_boissieri,32.99662,35.412851
Quercus_boissieri,31.73,35.08
Quercus_boissieri,31.794645,35.040536
Quercus_boissieri,33.084253,35.180637
Quercus_boissieri,33.001219,35.348659
Quercus_boissieri,32.55,35.13
Quercus_boissieri,33.053739,35.848754
Quercus_boissieri,32.966923,35.374274
Quercus_boissieri,32.954134,35.469435
Quercus_boissieri,33.132474,35.789317
Quercus_boissieri,32.995765,35.38289
Quercus_boissieri,32.999329,35.410718
Quercus_boissieri,32.999336,35.406438
Quercus_boissieri,33.001184,35.37648
Quercus_boissieri,32.990482,35.21276
Quercus_boissieri,33.052843,35.847677
Quercus_boissieri,32.979634,35.288715
Quercus_boissieri,32.974952,35.428847
Quercus_boissieri,33.002144,35.327259
Quercus_boissieri,33.290386,35.761383
Quercus_boissieri,33.302048,35.774341
Quercus_boissieri,32.978735,35.284435
Quercus_boissieri,33.052837,35.848747
Quercus_boissieri,33.006538,35.412875
Quercus_boissieri,32.884039,35.311066
Quercus_boissieri,33.059187,35.841298
Quercus_boissieri,32.991384,35.21276
Quercus_boissieri,33.030933,35.38082
Quercus_boissieri,32.907444,35.349575
Quercus_boissieri,32.988487,35.423531
Quercus_boissieri,33.030925,35.386172
Quercus_boissieri,33.039891,35.418306
Quercus_boissieri,32.965954,35.418128
Quercus_boissieri,33.107254,35.783794
Quercus_boissieri,32.889257,35.447867
Quercus_boissieri,32.979637,35.284436
Quercus_boissieri,33.057957,35.398005
Quercus_boissieri,33.050171,35.841234
Quercus_boissieri,33.000232,35.40965
Quercus_boissieri,33.030766,35.473945
Quercus_boissieri,32.981283,35.418164
Quercus_boissieri,33.059745,35.407646
Quercus_boissieri,33.043592,35.35301
Quercus_boissieri,33.108161,35.782728
Quercus_boissieri,33.054651,35.846619
Quercus_boissieri,33.048323,35.849785
Quercus_boissieri,33.033652,35.37012
Quercus_boissieri,33.032579,35.469669
Quercus_boissieri,32.939743,35.452283
Quercus_boissieri,33.218568,35.686912
Quercus_boissieri,33.045394,35.354084
Quercus_boissieri,33.21365,35.536717
Quercus_boissieri,33.057952,35.401218
