Species,Latitude,Longitude
Quercus_brachystachys,15.577889,-91.480439
Quercus_brachystachys,14.7528,-91.2756
Quercus_brachystachys,14.5875,-90.5525
Quercus_brachystachys,14.69555,-90.84194
Quercus_brachystachys,14.61527,-90.61777
Quercus_brachystachys,14.783333,-91.016667
Quercus_brachystachys,20.586944,-98.5
Quercus_brachystachys,20.465833,-98.48
Quercus_brachystachys,17.152778,-91.889167
Quercus_brachystachys,15.550833,-92.570278
Quercus_brachystachys,15.004167,-91.698056
Quercus_brachystachys,15.430542,-92.238542
Quercus_brachystachys,16.0875,-89.078333
