Species,Latitude,Longitude
Quercus_buckleyi,30.287465,-97.877511
Quercus_buckleyi,31.062531,-97.398239
Quercus_buckleyi,31.062525,-97.398156
Quercus_buckleyi,30.287506,-97.877533
Quercus_buckleyi,30.062733,-99.46135
Quercus_buckleyi,30.061797,-98.077313
Quercus_buckleyi,29.640264,-98.628049
Quercus_buckleyi,29.637044,-98.629128
Quercus_buckleyi,30.326666,-97.911667
Quercus_buckleyi,29.623465,-98.62709
Quercus_buckleyi,30.181077,-97.722416
Quercus_buckleyi,30.310335,-97.823534
Quercus_buckleyi,32.696656,-95.567744
Quercus_buckleyi,31.634641,-98.248142
Quercus_buckleyi,32.324078,-96.628091
Quercus_buckleyi,30.029568,-98.331603
Quercus_buckleyi,31.199761,-97.478522
Quercus_buckleyi,31.200294,-97.479325
Quercus_buckleyi,30.036428,-98.381937
Quercus_buckleyi,33.158403,-96.815768
Quercus_buckleyi,30.413479,-97.716551
Quercus_buckleyi,30.203514,-97.911086
Quercus_buckleyi,29.753116,-98.492836
Quercus_buckleyi,30.327795,-97.747283
Quercus_buckleyi,32.743603,-97.810352
Quercus_buckleyi,30.506349,-97.982527
Quercus_buckleyi,30.417972,-97.758536
Quercus_buckleyi,30.45415,-97.914575
Quercus_buckleyi,30.029654,-98.331695
Quercus_buckleyi,29.591759,-98.640369
Quercus_buckleyi,32.663733,-97.221345
Quercus_buckleyi,30.400309,-97.686205
Quercus_buckleyi,29.880554,-98.614214
Quercus_buckleyi,30.620447,-98.073216
Quercus_buckleyi,29.808578,-98.763
Quercus_buckleyi,29.865617,-98.639733
Quercus_buckleyi,30.395054,-97.778804
Quercus_buckleyi,30.027767,-98.334569
Quercus_buckleyi,31.29765,-97.480714
Quercus_buckleyi,31.296983,-97.481811
Quercus_buckleyi,31.298172,-97.479133
Quercus_buckleyi,31.113386,-97.468553
Quercus_buckleyi,31.113492,-97.468383
Quercus_buckleyi,31.113456,-97.468339
Quercus_buckleyi,29.622595,-98.579681
Quercus_buckleyi,29.856498,-99.649122
Quercus_buckleyi,30.105872,-99.410042
Quercus_buckleyi,30.300162,-98.04805
Quercus_buckleyi,29.648251,-99.210067
Quercus_buckleyi,30.795787,-98.018364
Quercus_buckleyi,30.569507,-98.051783
Quercus_buckleyi,32.250669,-97.810572
Quercus_buckleyi,30.302533,-98.250061
Quercus_buckleyi,30.301006,-98.250603
Quercus_buckleyi,29.894657,-98.646314
Quercus_buckleyi,29.650556,-100.069442
Quercus_buckleyi,31.319878,-99.213208
Quercus_buckleyi,30.413622,-97.716819
Quercus_buckleyi,30.3123,-97.77161
Quercus_buckleyi,29.771898,-98.485675
Quercus_buckleyi,30.184922,-97.868575
Quercus_buckleyi,29.824295,-99.566697
Quercus_buckleyi,32.753053,-97.258022
Quercus_buckleyi,29.332739,-98.458889
Quercus_buckleyi,32.746253,-97.269205
Quercus_buckleyi,29.828099,-99.593286
Quercus_buckleyi,30.025835,-99.133888
Quercus_buckleyi,30.44596,-99.795954
Quercus_buckleyi,30.422928,-99.799994
Quercus_buckleyi,30.378887,-97.781513
Quercus_buckleyi,29.624095,-99.201089
Quercus_buckleyi,29.816157,-98.544752
Quercus_buckleyi,29.816938,-98.543911
Quercus_buckleyi,29.617275,-98.630521
Quercus_buckleyi,33.15754,-96.813363
Quercus_buckleyi,32.848961,-97.486907
Quercus_buckleyi,33.161356,-96.615467
Quercus_buckleyi,29.822895,-99.574714
Quercus_buckleyi,33.16133,-96.615543
Quercus_buckleyi,33.161022,-96.61515
Quercus_buckleyi,33.157867,-96.814613
Quercus_buckleyi,33.061543,-96.977252
Quercus_buckleyi,30.621288,-98.091964
Quercus_buckleyi,33.15763,-96.815972
Quercus_buckleyi,29.86846,-98.584185
Quercus_buckleyi,31.895256,-97.693839
Quercus_buckleyi,32.819263,-96.781132
Quercus_buckleyi,29.604135,-98.547752
Quercus_buckleyi,29.644943,-99.440994
Quercus_buckleyi,32.846088,-97.474427
Quercus_buckleyi,30.40435,-97.790658
Quercus_buckleyi,29.621457,-99.175057
Quercus_buckleyi,32.669638,-97.432983
Quercus_buckleyi,29.626207,-99.19085
Quercus_buckleyi,29.626813,-99.191765
Quercus_buckleyi,30.199409,-97.885735
Quercus_buckleyi,29.621961,-99.175631
Quercus_buckleyi,29.689896,-98.537209
Quercus_buckleyi,30.399546,-97.686006
Quercus_buckleyi,29.971205,-98.186848
