Species,Latitude,Longitude
Quercus_calophylla,19.197176,-96.979225
Quercus_calophylla,17.328044,-96.453342
Quercus_calophylla,16.733451,-92.644832
Quercus_calophylla,17.140306,-93.158704
Quercus_calophylla,16.126025,-91.729102
Quercus_calophylla,23.592645,-105.871545
Quercus_calophylla,20.810055,-103.860755
Quercus_calophylla,16.516111,-97.041389
Quercus_calophylla,16.76737,-93.988598
Quercus_calophylla,16.766978,-93.988861
Quercus_calophylla,16.766792,-93.989
Quercus_calophylla,17.158697,-96.713977
Quercus_calophylla,16.510642,-92.525895
Quercus_calophylla,16.064323,-93.441554
Quercus_calophylla,16.706443,-93.747159
Quercus_calophylla,18.988628,-99.036131
Quercus_calophylla,16.788678,-92.814333
Quercus_calophylla,16.753939,-92.682425
Quercus_calophylla,16.766272,-93.986402
Quercus_calophylla,16.24768,-93.60282
Quercus_calophylla,16.765877,-93.987083
Quercus_calophylla,16.776072,-94.018143
Quercus_calophylla,19.9403,-97.69945
Quercus_calophylla,19.9403,-97.6994
Quercus_calophylla,19.9419,-97.719
Quercus_calophylla,19.9419,-97.71902
Quercus_calophylla,16.514902,-92.490669
Quercus_calophylla,16.864307,-92.462951
Quercus_calophylla,16.145424,-93.596842
Quercus_calophylla,16.755985,-92.681973
Quercus_calophylla,18.816389,-97.050833
Quercus_calophylla,18.849722,-97.103611
Quercus_calophylla,19.511111,-101.558611
Quercus_calophylla,20.203889,-98.574167
Quercus_calophylla,19.568889,-96.948056
