Species,Latitude,Longitude
Quercus_canariensis,37.940936,-4.929273
Quercus_canariensis,36.430833,-5.493734
Quercus_canariensis,36.438936,-5.489726
Quercus_canariensis,36.225017,-5.58148
Quercus_canariensis,36.430414,-5.494243
Quercus_canariensis,36.233295,-5.580928
Quercus_canariensis,36.224943,-5.58167
Quercus_canariensis,36.428393,-5.462242
Quercus_canariensis,36.224776,-5.582446
Quercus_canariensis,37.320966,-8.548824
Quercus_canariensis,36.426559,-5.47105
Quercus_canariensis,36.431241,-5.493663
Quercus_canariensis,36.428106,-5.467535
Quercus_canariensis,36.437559,-5.487164
Quercus_canariensis,36.436878,-5.490117
Quercus_canariensis,36.4386,-5.489701
Quercus_canariensis,36.436989,-5.490139
Quercus_canariensis,36.225045,-5.581489
Quercus_canariensis,36.439117,-5.485893
Quercus_canariensis,36.428043,-5.465726
Quercus_canariensis,36.427998,-5.46596
Quercus_canariensis,36.227597,-5.598127
Quercus_canariensis,36.228974,-5.602674
Quercus_canariensis,36.227767,-5.60919
Quercus_canariensis,36.224852,-5.581331
Quercus_canariensis,36.431222,-5.493712
Quercus_canariensis,36.427481,-5.468609
Quercus_canariensis,36.4272,-5.469731
Quercus_canariensis,36.227362,-5.609906
Quercus_canariensis,36.376378,-5.453531
Quercus_canariensis,36.22806,-5.614403
Quercus_canariensis,37.896954,-6.703984
Quercus_canariensis,37.895403,-6.704711
Quercus_canariensis,37.306568,-8.553233
Quercus_canariensis,36.111904,-5.497414
Quercus_canariensis,40.621798,-3.719147
Quercus_canariensis,36.112843,-5.493919
Quercus_canariensis,36.518841,-5.637924
Quercus_canariensis,36.521508,-5.649274
Quercus_canariensis,36.520241,-5.634068
Quercus_canariensis,36.519602,-5.634295
Quercus_canariensis,36.518826,-5.637739
Quercus_canariensis,36.521576,-5.649395
Quercus_canariensis,37.875778,-6.712426
Quercus_canariensis,36.519949,-5.633999
Quercus_canariensis,36.229721,-5.599444
Quercus_canariensis,40.77248,-3.659268
Quercus_canariensis,33.418381,-5.188932
Quercus_canariensis,37.31,-8.56
Quercus_canariensis,37.3,-8.55
Quercus_canariensis,36.52111,-5.64833
Quercus_canariensis,36.69376,4.77688
Quercus_canariensis,37.316879,-8.543732
Quercus_canariensis,37.315159,-8.596029
Quercus_canariensis,36.53167,-5.58639
Quercus_canariensis,37.89,-6.7
Quercus_canariensis,37.89,-6.66
Quercus_canariensis,35.793464,-5.864459
Quercus_canariensis,37.36063,-8.49184
Quercus_canariensis,37.27092,-8.60523
Quercus_canariensis,38.16,-8.6
Quercus_canariensis,37.1766,-7.92983
Quercus_canariensis,36.1664,-5.5794
Quercus_canariensis,37.31,-8.54
Quercus_canariensis,37.3,-8.66
Quercus_canariensis,36.526,-5.216
Quercus_canariensis,37.72,-8.77
Quercus_canariensis,33.89,-4.42
Quercus_canariensis,34.04,-4.55
Quercus_canariensis,35.0,-4.89
Quercus_canariensis,34.96,-4.65
Quercus_canariensis,33.41,-5.19
Quercus_canariensis,33.41,-5.17
Quercus_canariensis,36.09,-5.56
Quercus_canariensis,38.75,-9.15
Quercus_canariensis,36.11639,-5.48361
Quercus_canariensis,36.52028,-5.63417
Quercus_canariensis,38.85,-6.66
Quercus_canariensis,34.9917,-4.8237
Quercus_canariensis,37.594654,-6.557592
Quercus_canariensis,37.584974,-6.579773
Quercus_canariensis,37.584286,-6.60238
Quercus_canariensis,37.509178,-6.700544
Quercus_canariensis,37.494673,-6.586761
Quercus_canariensis,37.517818,-6.712281
Quercus_canariensis,36.737013,-5.577132
Quercus_canariensis,36.739234,-5.570413
Quercus_canariensis,36.597701,-5.156798
Quercus_canariensis,36.536414,-5.246569
Quercus_canariensis,36.534039,-5.369355
Quercus_canariensis,36.592115,-5.158764
Quercus_canariensis,36.57337,-5.43128
Quercus_canariensis,36.316971,-5.407316
Quercus_canariensis,36.573895,-5.169432
Quercus_canariensis,36.134536,-5.51284
Quercus_canariensis,36.197117,-5.537079
Quercus_canariensis,36.544325,-4.777632
Quercus_canariensis,36.253468,-5.427621
Quercus_canariensis,36.5286,-5.5869
Quercus_canariensis,37.669532,-6.141805
Quercus_canariensis,36.525253,-5.35792
Quercus_canariensis,32.5102,-6.0013
Quercus_canariensis,38.33,-6.76
Quercus_canariensis,40.02,-0.65
Quercus_canariensis,36.59,-5.163
Quercus_canariensis,36.476387,-5.077429
Quercus_canariensis,36.48559,-5.066512
Quercus_canariensis,36.475002,-5.155515
Quercus_canariensis,36.465993,-5.155265
Quercus_canariensis,37.900911,-6.845142
Quercus_canariensis,37.27049,-8.49244
Quercus_canariensis,36.58,-5.174
Quercus_canariensis,38.42,-6.76
Quercus_canariensis,36.446334,-5.24397
Quercus_canariensis,36.417602,-5.332358
Quercus_canariensis,36.408811,-5.320945
Quercus_canariensis,36.427685,-5.276894
Quercus_canariensis,36.436693,-5.277157
Quercus_canariensis,36.428734,-5.221157
Quercus_canariensis,36.472724,-5.27821
Quercus_canariensis,36.454708,-5.277683
Quercus_canariensis,36.445913,-5.26627
Quercus_canariensis,36.522581,-5.011658
Quercus_canariensis,36.485396,-5.077669
Quercus_canariensis,36.533,-5.284
Quercus_canariensis,36.534,-5.217
Quercus_canariensis,36.535315,-4.777426
Quercus_canariensis,40.49,0.39
Quercus_canariensis,40.1,0.03
Quercus_canariensis,36.16,-5.5
