Species,Latitude,Longitude
Quercus_canbyi,25.729939,-100.398046
Quercus_canbyi,23.629478,-99.205155
Quercus_canbyi,23.648299,-99.016065
Quercus_canbyi,25.62735,-100.212578
Quercus_canbyi,25.616281,-100.360976
Quercus_canbyi,23.606078,-99.205444
Quercus_canbyi,25.851917,-100.247353
Quercus_canbyi,25.66279,-100.255692
Quercus_canbyi,25.632826,-100.206314
Quercus_canbyi,25.602218,-100.351103
Quercus_canbyi,25.602352,-100.351817
Quercus_canbyi,29.392263,-103.317956
Quercus_canbyi,25.096216,-99.987839
Quercus_canbyi,25.076452,-100.008141
Quercus_canbyi,25.609973,-100.3547
Quercus_canbyi,25.666638,-100.257121
Quercus_canbyi,25.715279,-100.415913
Quercus_canbyi,25.630327,-100.210083
Quercus_canbyi,29.096229,-103.331247
Quercus_canbyi,25.601208,-100.344437
Quercus_canbyi,25.599455,-100.342361
Quercus_canbyi,25.618261,-100.361195
Quercus_canbyi,25.342934,-100.181999
Quercus_canbyi,25.405797,-100.147669
Quercus_canbyi,25.668911,-100.250809
Quercus_canbyi,25.39501,-100.248807
Quercus_canbyi,25.411914,-100.262775
Quercus_canbyi,25.666861,-100.251411
Quercus_canbyi,25.666723,-100.257303
Quercus_canbyi,24.708614,-99.862426
Quercus_canbyi,24.708675,-99.862289
Quercus_canbyi,25.536091,-100.27565
Quercus_canbyi,25.548063,-100.271112
Quercus_canbyi,25.63217,-100.206879
Quercus_canbyi,29.23271,-103.3207
Quercus_canbyi,29.24788,-103.29403
Quercus_canbyi,29.23272,-103.321
Quercus_canbyi,29.23283,-103.32163
Quercus_canbyi,29.22944,-103.32172
Quercus_canbyi,29.23273,-103.32078
Quercus_canbyi,29.23287,-103.32129
Quercus_canbyi,29.23305,-103.32233
Quercus_canbyi,29.23295,-103.32209
Quercus_canbyi,29.23271,-103.32089
Quercus_canbyi,29.23304,-103.32246
Quercus_canbyi,23.947224,-99.765046
Quercus_canbyi,25.606816,-100.354536
Quercus_canbyi,25.661202,-100.256273
Quercus_canbyi,25.618062,-100.360156
Quercus_canbyi,25.382029,-100.241735
Quercus_canbyi,24.706369,-99.87834
Quercus_canbyi,24.53588,-99.93194
Quercus_canbyi,24.442222,-99.728611
Quercus_canbyi,25.585298,-100.46598
Quercus_canbyi,25.631324,-100.207608
Quercus_canbyi,26.401888,-100.492
Quercus_canbyi,23.577777,-99.593055
Quercus_canbyi,30.313333,-97.731667
Quercus_canbyi,30.313888,-97.731112
Quercus_canbyi,29.333277,-103.200612
Quercus_canbyi,24.70547,-99.87756
Quercus_canbyi,29.225791,-103.235851
Quercus_canbyi,25.581,-100.225
Quercus_canbyi,24.71056,-99.78056
Quercus_canbyi,25.606389,-100.3525
Quercus_canbyi,25.60639,-100.3525
Quercus_canbyi,25.61528,-100.35167
Quercus_canbyi,25.642416,-100.245523
Quercus_canbyi,25.381944,-100.24
Quercus_canbyi,25.35,-100.18
Quercus_canbyi,25.368889,-100.310556
Quercus_canbyi,24.85,-99.98
Quercus_canbyi,25.096389,-99.987222
Quercus_canbyi,25.358889,-100.163889
Quercus_canbyi,25.115476,-99.946867
Quercus_canbyi,25.0425,-100.002778
Quercus_canbyi,26.63333,-100.28333
Quercus_canbyi,26.641667,-100.291667
Quercus_canbyi,25.6575,-100.632222
Quercus_canbyi,26.654892,-100.328936
Quercus_canbyi,23.591667,-100.325
Quercus_canbyi,25.613333,-100.356111
Quercus_canbyi,25.583333,-100.316667
Quercus_canbyi,25.58333,-100.31667
Quercus_canbyi,27.0303,-99.8458
Quercus_canbyi,25.65024,-100.632585
Quercus_canbyi,25.650833,-100.6325
Quercus_canbyi,24.55917,-99.615
Quercus_canbyi,24.61,-99.88
Quercus_canbyi,24.715,-100.01722
Quercus_canbyi,24.572758,-100.269211
Quercus_canbyi,24.916394,-100.074931
Quercus_canbyi,25.017778,-100.071944
Quercus_canbyi,23.7025,-100.141944
Quercus_canbyi,23.966667,-99.733333
Quercus_canbyi,23.992817,-99.715
Quercus_canbyi,24.818056,-100.06
Quercus_canbyi,24.55,-99.91
Quercus_canbyi,24.582331,-99.803705
