Species,Latitude,Longitude
Quercus_castanea,19.633056,-101.224444
Quercus_castanea,16.706927,-92.852302
Quercus_castanea,16.748897,-92.835817
Quercus_castanea,19.456058,-98.462892
Quercus_castanea,21.129141,-99.50442
Quercus_castanea,19.659071,-101.124247
Quercus_castanea,19.657297,-101.122437
Quercus_castanea,19.647898,-101.158259
Quercus_castanea,23.103362,-104.736686
Quercus_castanea,19.424486,-102.071454
Quercus_castanea,19.001353,-98.47144
Quercus_castanea,18.910426,-98.31963
Quercus_castanea,23.562193,-105.832635
Quercus_castanea,19.618095,-101.325577
Quercus_castanea,19.630075,-101.224586
Quercus_castanea,19.635605,-101.231064
Quercus_castanea,19.623515,-101.220536
Quercus_castanea,17.139925,-93.174248
Quercus_castanea,20.536288,-103.740466
Quercus_castanea,19.648127,-101.157692
Quercus_castanea,19.637797,-101.154005
Quercus_castanea,19.631848,-101.218253
Quercus_castanea,19.674336,-101.399739
Quercus_castanea,20.747806,-103.513983
Quercus_castanea,18.881699,-98.201122
Quercus_castanea,19.014154,-98.431771
Quercus_castanea,23.835025,-105.32339
Quercus_castanea,16.5475,-97.081389
Quercus_castanea,19.302933,-99.208053
Quercus_castanea,20.359833,-103.033707
Quercus_castanea,19.433611,-101.302222
Quercus_castanea,19.478518,-101.361583
Quercus_castanea,21.898056,-100.354444
Quercus_castanea,21.870833,-100.347444
Quercus_castanea,22.20097,-100.547783
Quercus_castanea,21.911867,-100.35897
Quercus_castanea,21.977062,-100.579042
Quercus_castanea,21.705483,-100.323629
Quercus_castanea,19.642583,-101.104361
Quercus_castanea,16.219861,-93.657653
Quercus_castanea,19.6475,-101.105028
Quercus_castanea,17.137944,-96.212028
Quercus_castanea,20.970216,-100.508788
Quercus_castanea,16.872861,-96.333583
Quercus_castanea,17.055056,-96.373778
Quercus_castanea,20.6098,-98.63444
Quercus_castanea,20.23286,-100.66158
Quercus_castanea,17.189111,-97.684388
Quercus_castanea,19.677403,-101.153806
Quercus_castanea,15.162167,-92.145861
Quercus_castanea,18.032389,-96.755667
Quercus_castanea,19.966945,-100.103444
Quercus_castanea,16.965361,-96.377139
Quercus_castanea,17.387889,-96.657778
Quercus_castanea,15.441569,-92.294288
Quercus_castanea,17.286139,-96.448528
Quercus_castanea,17.257222,-96.254833
Quercus_castanea,17.304,-96.419472
Quercus_castanea,19.951417,-100.145333
Quercus_castanea,19.462083,-100.290194
Quercus_castanea,19.52225,-100.366583
Quercus_castanea,17.052667,-96.017333
Quercus_castanea,20.411944,-99.521944
Quercus_castanea,20.411944,-99.519167
Quercus_castanea,20.9575,-99.336944
Quercus_castanea,20.036667,-98.418611
Quercus_castanea,17.917166,-97.418282
Quercus_castanea,20.790833,-98.818055
Quercus_castanea,21.228361,-103.794
Quercus_castanea,20.192778,-98.5725
Quercus_castanea,20.151944,-98.551944
Quercus_castanea,20.209167,-98.552222
Quercus_castanea,21.363611,-103.604777
Quercus_castanea,16.960611,-96.283416
Quercus_castanea,16.145424,-93.596842
Quercus_castanea,17.026361,-96.843888
Quercus_castanea,17.135694,-96.20925
Quercus_castanea,17.112056,-96.215555
Quercus_castanea,17.43722,-96.96972
Quercus_castanea,17.329751,-96.472209
Quercus_castanea,17.104917,-96.234111
Quercus_castanea,20.041666,-99.847833
Quercus_castanea,13.12139,-89.72113
Quercus_castanea,19.292371,-99.206676
Quercus_castanea,18.593889,-99.608055
Quercus_castanea,20.185,-99.651667
Quercus_castanea,20.181667,-99.548333
Quercus_castanea,20.186667,-99.4725
Quercus_castanea,19.830833,-99.361389
Quercus_castanea,19.8275,-99.359444
Quercus_castanea,20.170278,-99.47
Quercus_castanea,20.423611,-99.504444
Quercus_castanea,20.744167,-98.802778
Quercus_castanea,20.960278,-99.203889
Quercus_castanea,20.907222,-99.320278
Quercus_castanea,20.92,-99.338333
Quercus_castanea,15.36974,-92.329926
Quercus_castanea,17.999306,-101.258694
Quercus_castanea,18.939611,-99.806528
Quercus_castanea,18.652194,-97.0085
Quercus_castanea,18.652333,-97.006778
Quercus_castanea,20.207222,-98.559722
Quercus_castanea,18.938297,-99.798922
Quercus_castanea,19.628611,-101.392222
Quercus_castanea,19.608333,-101.425
Quercus_castanea,20.266222,-100.22475
Quercus_castanea,19.636944,-101.224444
Quercus_castanea,19.716667,-100.863055
Quercus_castanea,15.481944,-92.4
Quercus_castanea,16.968117,-92.976867
Quercus_castanea,16.968056,-92.976944
Quercus_castanea,17.255556,-96.491389
Quercus_castanea,19.632778,-101.340278
Quercus_castanea,18.982561,-99.487544
Quercus_castanea,19.016389,-99.136783
Quercus_castanea,20.178056,-98.2525
Quercus_castanea,17.908333,-96.926051
Quercus_castanea,17.908604,-96.926925
Quercus_castanea,17.905513,-96.926773
Quercus_castanea,17.906409,-96.925186
Quercus_castanea,17.906397,-96.924083
Quercus_castanea,17.906421,-96.924639
Quercus_castanea,19.652778,-101.366667
Quercus_castanea,19.601944,-101.383333
Quercus_castanea,19.649722,-101.366111
Quercus_castanea,19.633889,-101.325
Quercus_castanea,18.458889,-99.306914
Quercus_castanea,20.81835,-100.75305
Quercus_castanea,20.818333,-100.751944
Quercus_castanea,17.808722,-96.900361
Quercus_castanea,19.657222,-101.365556
Quercus_castanea,19.657222,-101.365555
Quercus_castanea,19.646111,-101.366667
Quercus_castanea,16.743278,-97.592778
Quercus_castanea,19.631667,-101.396944
Quercus_castanea,16.7433,-97.5928
Quercus_castanea,19.604167,-101.387222
Quercus_castanea,19.635278,-101.338333
Quercus_castanea,19.633889,-101.259167
Quercus_castanea,19.6417,-101.422
Quercus_castanea,20.94525,-99.340805
Quercus_castanea,19.869094,-98.401389
Quercus_castanea,20.3315,-100.239067
Quercus_castanea,16.90286,-97.57983
Quercus_castanea,15.509722,-91.640278
Quercus_castanea,16.918972,-97.613694
Quercus_castanea,16.92,-97.591667
Quercus_castanea,21.414433,-99.746444
Quercus_castanea,21.414444,-99.746389
Quercus_castanea,19.702831,-101.510864
Quercus_castanea,19.993056,-100.1275
Quercus_castanea,15.805917,-93.050805
Quercus_castanea,20.216389,-104.487778
