Species,Latitude,Longitude
Quercus_cedrosensis,31.807528,-116.778378
Quercus_cedrosensis,31.821506,-116.555401
Quercus_cedrosensis,31.891401,-116.406378
Quercus_cedrosensis,31.847528,-116.478886
Quercus_cedrosensis,31.811999,-116.470113
Quercus_cedrosensis,32.46984,-116.903104
Quercus_cedrosensis,34.174779,-118.494859
Quercus_cedrosensis,31.810922,-116.704946
Quercus_cedrosensis,28.35179,-115.21652
Quercus_cedrosensis,31.291944,-116.343333
Quercus_cedrosensis,28.3518,-115.217
Quercus_cedrosensis,32.534573,-116.824893
Quercus_cedrosensis,31.64385,-116.465808
Quercus_cedrosensis,31.33469,-116.407
Quercus_cedrosensis,31.33472,-116.40694
Quercus_cedrosensis,31.3347,-116.407
Quercus_cedrosensis,30.17965,-115.56094
Quercus_cedrosensis,31.2956,-116.3328
Quercus_cedrosensis,32.745833,-116.811667
Quercus_cedrosensis,32.54611,-116.85444
Quercus_cedrosensis,32.546111,-116.854444
Quercus_cedrosensis,32.53333,-116.85
Quercus_cedrosensis,32.9333,-116.9833
Quercus_cedrosensis,32.55833,-116.8525
Quercus_cedrosensis,32.56222,-116.80417
Quercus_cedrosensis,32.56083,-116.82917
Quercus_cedrosensis,32.55831,-116.8525
Quercus_cedrosensis,32.560833,-116.829167
Quercus_cedrosensis,32.56023,-116.84138
Quercus_cedrosensis,32.572222,-116.727778
Quercus_cedrosensis,32.57222,-116.72778
Quercus_cedrosensis,32.48333,-116.61667
Quercus_cedrosensis,32.571667,-116.725556
Quercus_cedrosensis,32.57667,-116.71417
Quercus_cedrosensis,32.57167,-116.72556
Quercus_cedrosensis,32.566667,-116.716667
Quercus_cedrosensis,32.57231,-116.72682
Quercus_cedrosensis,28.85,-113.783333
Quercus_cedrosensis,28.85,-113.78333
Quercus_cedrosensis,32.55847,-116.85872
Quercus_cedrosensis,32.556221,-116.859396
Quercus_cedrosensis,32.564,-116.798
Quercus_cedrosensis,32.56426,-116.7976
Quercus_cedrosensis,32.564255,-116.797598
Quercus_cedrosensis,28.225,-115.258333
Quercus_cedrosensis,28.2167,-115.25
