Species,Latitude,Longitude
Quercus_chapmanii,28.696632,-80.716631
Quercus_chapmanii,27.511377,-82.362091
Quercus_chapmanii,29.308308,-81.772172
Quercus_chapmanii,29.171389,-81.1625
Quercus_chapmanii,29.171667,-81.162222
Quercus_chapmanii,28.734355,-81.483546
Quercus_chapmanii,26.435447,-81.821844
Quercus_chapmanii,27.780485,-81.45961
Quercus_chapmanii,26.991418,-81.965715
Quercus_chapmanii,29.233488,-81.189683
Quercus_chapmanii,28.155873,-81.558554
Quercus_chapmanii,29.682114,-82.001396
Quercus_chapmanii,26.296925,-81.81599
Quercus_chapmanii,26.297016,-81.815857
Quercus_chapmanii,29.603355,-81.371842
Quercus_chapmanii,27.031592,-82.41647
Quercus_chapmanii,27.298063,-81.420429
Quercus_chapmanii,29.193219,-81.355378
Quercus_chapmanii,28.447668,-81.536389
Quercus_chapmanii,27.159339,-81.332078
Quercus_chapmanii,27.182021,-81.350506
Quercus_chapmanii,28.240873,-82.626837
Quercus_chapmanii,27.828495,-81.461053
Quercus_chapmanii,29.831389,-81.323625
Quercus_chapmanii,27.399428,-80.398295
Quercus_chapmanii,26.739585,-81.685219
Quercus_chapmanii,27.505462,-81.497345
Quercus_chapmanii,26.018092,-81.708691
Quercus_chapmanii,29.670324,-81.25181
Quercus_chapmanii,30.196468,-82.510387
Quercus_chapmanii,27.506245,-81.497872
Quercus_chapmanii,27.184003,-81.350692
Quercus_chapmanii,27.379368,-81.409963
Quercus_chapmanii,27.183816,-81.350773
Quercus_chapmanii,26.973749,-81.890898
Quercus_chapmanii,28.042929,-81.778239
Quercus_chapmanii,27.173732,-82.459417
Quercus_chapmanii,27.219668,-81.381526
Quercus_chapmanii,28.533236,-80.802459
Quercus_chapmanii,29.257345,-81.681267
Quercus_chapmanii,29.891861,-81.499069
Quercus_chapmanii,29.245518,-81.730419
Quercus_chapmanii,30.225753,-82.352837
Quercus_chapmanii,27.709488,-81.444387
Quercus_chapmanii,28.626628,-81.52709
Quercus_chapmanii,27.138394,-80.174744
Quercus_chapmanii,29.672195,-85.184022
Quercus_chapmanii,29.459828,-82.280783
Quercus_chapmanii,27.433025,-81.378607
Quercus_chapmanii,27.023964,-82.412069
Quercus_chapmanii,30.386094,-86.449724
Quercus_chapmanii,27.808667,-81.4916
Quercus_chapmanii,27.808645,-81.49163
Quercus_chapmanii,27.83011,-81.59914
Quercus_chapmanii,26.392755,-80.119278
Quercus_chapmanii,26.892307,-82.313441
Quercus_chapmanii,26.921406,-82.31787
Quercus_chapmanii,30.307924,-86.077063
Quercus_chapmanii,30.0894,-84.157771
Quercus_chapmanii,28.524246,-82.572094
Quercus_chapmanii,29.791213,-84.767287
Quercus_chapmanii,27.175588,-82.46537
Quercus_chapmanii,26.441982,-81.839221
Quercus_chapmanii,26.442621,-81.839456
Quercus_chapmanii,29.144139,-83.041953
Quercus_chapmanii,27.181623,-81.354144
Quercus_chapmanii,28.1022,-81.515369
Quercus_chapmanii,28.447506,-81.537205
Quercus_chapmanii,29.374105,-83.044564
Quercus_chapmanii,28.396257,-80.767641
Quercus_chapmanii,28.354021,-81.195803
Quercus_chapmanii,27.216099,-81.383842
Quercus_chapmanii,27.118713,-81.359587
Quercus_chapmanii,27.128319,-81.327178
Quercus_chapmanii,27.323888,-81.420812
Quercus_chapmanii,27.431656,-81.463138
Quercus_chapmanii,27.683018,-81.498218
Quercus_chapmanii,27.859446,-81.447508
Quercus_chapmanii,28.554305,-80.814914
Quercus_chapmanii,29.523465,-81.263634
Quercus_chapmanii,29.640044,-81.293144
Quercus_chapmanii,26.70113,-81.658492
Quercus_chapmanii,29.725122,-84.988192
Quercus_chapmanii,30.283383,-86.016975
Quercus_chapmanii,26.871353,-82.299928
Quercus_chapmanii,27.178296,-82.460323
Quercus_chapmanii,27.332919,-82.262045
Quercus_chapmanii,29.660472,-81.254958
Quercus_chapmanii,27.689094,-81.425379
Quercus_chapmanii,27.297743,-81.420361
Quercus_chapmanii,27.182841,-81.35208
Quercus_chapmanii,27.107643,-80.168861
Quercus_chapmanii,30.471856,-81.49215
Quercus_chapmanii,27.219135,-81.380919
Quercus_chapmanii,28.922303,-81.285481
Quercus_chapmanii,28.921067,-81.284986
Quercus_chapmanii,27.687383,-81.432717
Quercus_chapmanii,27.657667,-81.569162
Quercus_chapmanii,30.113578,-81.907822
Quercus_chapmanii,26.44758,-81.821495
Quercus_chapmanii,26.441581,-81.839536
Quercus_chapmanii,26.441536,-81.839605
Quercus_chapmanii,27.9633,-81.7432
Quercus_chapmanii,27.5219,-81.4163
Quercus_chapmanii,26.441925,-81.839288
Quercus_chapmanii,26.707244,-81.661421
Quercus_chapmanii,29.33405,-81.545456
Quercus_chapmanii,28.890556,-81.417778
Quercus_chapmanii,27.534744,-81.504606
Quercus_chapmanii,27.742846,-81.622205
Quercus_chapmanii,29.751944,-81.836667
Quercus_chapmanii,28.610037,-80.715436
Quercus_chapmanii,28.608116,-81.172833
Quercus_chapmanii,28.671881,-81.125447
Quercus_chapmanii,28.294137,-80.707262
Quercus_chapmanii,28.949182,-81.335505
Quercus_chapmanii,26.993988,-82.185433
Quercus_chapmanii,29.372692,-83.044421
Quercus_chapmanii,28.535313,-81.194439
Quercus_chapmanii,28.930089,-81.225661
Quercus_chapmanii,29.674215,-85.177597
Quercus_chapmanii,28.769795,-80.786542
Quercus_chapmanii,29.194177,-83.018627
Quercus_chapmanii,28.0967,-81.418579
Quercus_chapmanii,28.351999,-81.736368
Quercus_chapmanii,28.929822,-81.225595
Quercus_chapmanii,27.18694,-81.336841
Quercus_chapmanii,27.183629,-81.3521
Quercus_chapmanii,29.24368,-81.738092
Quercus_chapmanii,28.520019,-82.595319
Quercus_chapmanii,28.489106,-81.481903
Quercus_chapmanii,29.670169,-81.259567
Quercus_chapmanii,27.983333,-81.494167
Quercus_chapmanii,27.815278,-81.484167
Quercus_chapmanii,28.0455,-81.7816
Quercus_chapmanii,27.183515,-81.351187
Quercus_chapmanii,29.177265,-81.82975
Quercus_chapmanii,27.546305,-81.512695
Quercus_chapmanii,27.546353,-81.512643
Quercus_chapmanii,27.6975,-81.5386
Quercus_chapmanii,29.376111,-83.0375
Quercus_chapmanii,26.916435,-80.074507
Quercus_chapmanii,28.491653,-81.48029
