Species,Latitude,Longitude
Quercus_chihuahuensis,22.596641,-101.663042
Quercus_chihuahuensis,28.595336,-106.055189
Quercus_chihuahuensis,21.919022,-101.896588
Quercus_chihuahuensis,28.595826,-106.056961
Quercus_chihuahuensis,23.641023,-100.790718
Quercus_chihuahuensis,29.100963,-110.180231
Quercus_chihuahuensis,20.72529,-103.290284
Quercus_chihuahuensis,26.987745,-108.976036
Quercus_chihuahuensis,28.708785,-106.158678
Quercus_chihuahuensis,30.9213,-105.09561
Quercus_chihuahuensis,30.92159,-105.09539
Quercus_chihuahuensis,24.038308,-104.735813
Quercus_chihuahuensis,30.284363,-109.570528
Quercus_chihuahuensis,22.450055,-103.911169
Quercus_chihuahuensis,26.626219,-106.191688
Quercus_chihuahuensis,27.480827,-106.422775
Quercus_chihuahuensis,29.109082,-109.000806
Quercus_chihuahuensis,30.594888,-109.084444
Quercus_chihuahuensis,29.526917,-108.717917
Quercus_chihuahuensis,29.565805,-108.868028
Quercus_chihuahuensis,26.247527,-108.090778
Quercus_chihuahuensis,28.59713,-109.33113
Quercus_chihuahuensis,27.060943,-108.129555
Quercus_chihuahuensis,29.294056,-108.962833
Quercus_chihuahuensis,23.150583,-105.392444
Quercus_chihuahuensis,29.134008,-110.171826
Quercus_chihuahuensis,30.079444,-109.521416
Quercus_chihuahuensis,30.081916,-110.406666
Quercus_chihuahuensis,27.060083,-105.818083
Quercus_chihuahuensis,28.527854,-106.416937
Quercus_chihuahuensis,27.179694,-108.590555
Quercus_chihuahuensis,28.873305,-108.113888
Quercus_chihuahuensis,29.068305,-108.895
Quercus_chihuahuensis,30.34185,-110.306861
Quercus_chihuahuensis,30.352528,-110.324083
Quercus_chihuahuensis,30.333889,-110.358722
Quercus_chihuahuensis,30.35254,-110.32408
Quercus_chihuahuensis,29.691333,-110.276889
Quercus_chihuahuensis,29.681111,-110.277111
Quercus_chihuahuensis,30.381389,-109.454444
Quercus_chihuahuensis,30.338333,-110.686944
Quercus_chihuahuensis,21.326944,-101.617222
Quercus_chihuahuensis,21.875278,-102.652778
Quercus_chihuahuensis,28.5315,-106.263802
Quercus_chihuahuensis,24.675,-104.825
Quercus_chihuahuensis,21.897778,-100.58575
Quercus_chihuahuensis,28.557928,-106.287514
Quercus_chihuahuensis,29.93361,-109.22861
Quercus_chihuahuensis,23.461111,-103.09
Quercus_chihuahuensis,29.4734,-109.200367
Quercus_chihuahuensis,29.1067,-110.155
Quercus_chihuahuensis,26.991389,-107.752778
Quercus_chihuahuensis,21.776667,-102.640278
Quercus_chihuahuensis,27.143167,-107.572056
Quercus_chihuahuensis,24.930278,-104.767778
Quercus_chihuahuensis,21.925556,-100.543611
Quercus_chihuahuensis,21.9,-100.533333
Quercus_chihuahuensis,25.525,-107.356111
Quercus_chihuahuensis,28.117311,-107.519244
Quercus_chihuahuensis,28.40306,-109.15889
Quercus_chihuahuensis,22.128506,-102.512088
Quercus_chihuahuensis,27.131944,-107.565278
Quercus_chihuahuensis,28.4583,-109.0
Quercus_chihuahuensis,28.37583,-108.94
Quercus_chihuahuensis,25.659722,-107.530556
Quercus_chihuahuensis,28.614722,-109.754444
Quercus_chihuahuensis,28.367222,-108.646389
Quercus_chihuahuensis,28.48692364078616,-109.36298025034819
Quercus_chihuahuensis,28.36722,-108.64639
Quercus_chihuahuensis,28.48583,-109.35889
