Species,Latitude,Longitude
Quercus_chrysolepis,37.327666,-122.177512
Quercus_chrysolepis,41.286258,-122.328392
Quercus_chrysolepis,37.421224,-122.299981
Quercus_chrysolepis,41.239892,-123.657172
Quercus_chrysolepis,38.715294,-120.573156
Quercus_chrysolepis,38.678944,-121.149238
Quercus_chrysolepis,37.327802,-122.180129
Quercus_chrysolepis,38.257885,-122.731306
Quercus_chrysolepis,37.325322,-122.180375
Quercus_chrysolepis,34.463855,-118.891425
Quercus_chrysolepis,34.133531,-116.983067
Quercus_chrysolepis,41.225519,-122.279435
Quercus_chrysolepis,38.251285,-122.688076
Quercus_chrysolepis,39.191833,-120.824425
Quercus_chrysolepis,39.205905,-121.04515
Quercus_chrysolepis,34.261489,-118.203457
Quercus_chrysolepis,39.221197,-120.002788
Quercus_chrysolepis,38.863756,-121.067164
Quercus_chrysolepis,31.886156,-115.955978
Quercus_chrysolepis,34.196758,-118.101856
Quercus_chrysolepis,31.944675,-116.033875
Quercus_chrysolepis,36.349432,-120.833671
Quercus_chrysolepis,36.348872,-120.834372
Quercus_chrysolepis,38.880277,-121.065852
Quercus_chrysolepis,37.839886,-122.189369
Quercus_chrysolepis,39.214438,-120.994325
Quercus_chrysolepis,34.723342,-119.922097
Quercus_chrysolepis,36.44647,-118.096078
Quercus_chrysolepis,37.839878,-122.189298
Quercus_chrysolepis,34.725095,-119.949478
Quercus_chrysolepis,33.344154,-116.901325
Quercus_chrysolepis,39.069268,-120.946701
Quercus_chrysolepis,33.339838,-116.908172
Quercus_chrysolepis,32.958929,-116.576924
Quercus_chrysolepis,39.069286,-120.946403
Quercus_chrysolepis,38.652547,-121.343445
Quercus_chrysolepis,36.349503,-120.835647
Quercus_chrysolepis,36.371617,-121.560937
Quercus_chrysolepis,39.330272,-121.034164
Quercus_chrysolepis,40.435947,-121.860397
Quercus_chrysolepis,37.314005,-122.186942
Quercus_chrysolepis,35.831845,-121.307703
Quercus_chrysolepis,40.745006,-123.869509
Quercus_chrysolepis,37.159894,-121.871006
Quercus_chrysolepis,39.607891,-121.454572
Quercus_chrysolepis,37.056638,-122.145512
Quercus_chrysolepis,36.715387,-118.273797
Quercus_chrysolepis,37.376188,-122.278555
Quercus_chrysolepis,37.818133,-122.063884
Quercus_chrysolepis,37.817022,-122.067947
