Species,Latitude,Longitude
Quercus_coccinea,39.744392,-75.160644
Quercus_coccinea,39.488742,-76.598197
Quercus_coccinea,42.646586,-71.595056
Quercus_coccinea,39.604704,-75.166234
Quercus_coccinea,35.780103,-79.147819
Quercus_coccinea,35.660155,-79.064654
Quercus_coccinea,41.70805,-70.275689
Quercus_coccinea,35.660275,-79.064612
Quercus_coccinea,35.735701,-79.119303
Quercus_coccinea,35.692232,-79.024997
Quercus_coccinea,38.866475,-76.961197
Quercus_coccinea,35.631165,-79.097936
Quercus_coccinea,35.695077,-79.034038
Quercus_coccinea,40.421039,-77.118344
Quercus_coccinea,35.606146,-78.756794
Quercus_coccinea,42.588847,-72.586717
Quercus_coccinea,37.821425,-83.695816
Quercus_coccinea,42.283006,-72.302069
Quercus_coccinea,38.096664,-83.308581
Quercus_coccinea,39.622292,-76.708542
Quercus_coccinea,42.316081,-72.499024
Quercus_coccinea,42.296357,-72.457035
Quercus_coccinea,44.505875,-73.255795
Quercus_coccinea,42.126801,-72.487093
Quercus_coccinea,42.276091,-72.592527
Quercus_coccinea,41.306765,-81.560438
Quercus_coccinea,42.273811,-72.631985
Quercus_coccinea,39.460742,-79.44569
Quercus_coccinea,42.126614,-72.486732
Quercus_coccinea,41.016981,-73.910745
Quercus_coccinea,39.2261,-76.867937
Quercus_coccinea,37.413896,-77.588972
Quercus_coccinea,39.62693,-76.70697
Quercus_coccinea,39.625583,-76.712167
Quercus_coccinea,42.193399,-72.467344
Quercus_coccinea,35.772094,-83.953303
Quercus_coccinea,42.306543,-72.234853
Quercus_coccinea,40.973062,-72.359262
Quercus_coccinea,36.1688,-78.96218
Quercus_coccinea,42.58443,-72.506712
Quercus_coccinea,35.137793,-85.304094
Quercus_coccinea,42.029655,-70.890928
Quercus_coccinea,33.839374,-84.26833
Quercus_coccinea,38.996794,-76.867277
Quercus_coccinea,35.829467,-79.057412
Quercus_coccinea,38.848331,-77.239538
Quercus_coccinea,35.539424,-82.642189
Quercus_coccinea,38.848417,-77.239749
Quercus_coccinea,42.568833,-72.536035
Quercus_coccinea,42.174842,-71.071206
Quercus_coccinea,33.757008,-84.316505
Quercus_coccinea,42.513735,-72.436948
Quercus_coccinea,42.10532,-72.698085
Quercus_coccinea,42.545873,-72.449418
Quercus_coccinea,33.769847,-84.307358
Quercus_coccinea,38.879364,-77.093522
Quercus_coccinea,31.55955,-90.235144
Quercus_coccinea,42.324857,-72.432034
Quercus_coccinea,42.60798,-71.514128
Quercus_coccinea,38.840129,-77.238786
Quercus_coccinea,33.641697,-84.156158
Quercus_coccinea,38.844364,-77.23533
Quercus_coccinea,39.012127,-76.620832
Quercus_coccinea,38.73769,-91.216342
Quercus_coccinea,35.827168,-83.50702
Quercus_coccinea,41.773499,-71.476148
Quercus_coccinea,36.428221,-81.009084
Quercus_coccinea,34.93335,-85.063919
Quercus_coccinea,35.413724,-79.054286
Quercus_coccinea,35.864501,-86.368115
Quercus_coccinea,40.790817,-74.769883
Quercus_coccinea,35.5503,-79.138096
Quercus_coccinea,35.817422,-81.180358
Quercus_coccinea,45.583725,-73.550299
Quercus_coccinea,36.060621,-79.117108
Quercus_coccinea,38.828654,-77.305602
Quercus_coccinea,41.216884,-74.079416
Quercus_coccinea,39.647994,-76.767409
Quercus_coccinea,41.582842,-70.502747
Quercus_coccinea,39.64763,-76.773117
Quercus_coccinea,37.305197,-78.419351
Quercus_coccinea,36.142233,-78.912378
Quercus_coccinea,42.505948,-72.436183
Quercus_coccinea,40.769129,-73.978216
Quercus_coccinea,41.126745,-78.751908
Quercus_coccinea,41.575068,-71.535148
Quercus_coccinea,42.60041,-72.477773
Quercus_coccinea,41.211792,-81.530083
Quercus_coccinea,45.670153,-73.516601
Quercus_coccinea,40.936688,-75.660782
Quercus_coccinea,38.809525,-77.585167
Quercus_coccinea,42.945144,-89.933321
Quercus_coccinea,42.533698,-72.273752
Quercus_coccinea,37.541992,-89.349533
Quercus_coccinea,37.483825,-89.343887
Quercus_coccinea,42.490145,-72.264823
Quercus_coccinea,37.089236,-80.551947
Quercus_coccinea,41.742895,-74.081392
Quercus_coccinea,36.214992,-81.686614
Quercus_coccinea,41.293036,-72.746078
Quercus_coccinea,42.502862,-72.277537
Quercus_coccinea,40.378959,-74.221979
Quercus_coccinea,43.295038,-79.87813
Quercus_coccinea,39.395378,-76.78026
Quercus_coccinea,41.380681,-71.586983
Quercus_coccinea,39.319417,-82.115098
Quercus_coccinea,42.77214,-71.603305
Quercus_coccinea,42.522208,-72.289063
Quercus_coccinea,39.412635,-81.425603
Quercus_coccinea,42.518367,-72.292712
Quercus_coccinea,42.49746,-72.274782
Quercus_coccinea,42.500003,-72.277532
Quercus_coccinea,42.498943,-72.276213
Quercus_coccinea,41.780232,-87.579766
Quercus_coccinea,36.08401,-79.795022
Quercus_coccinea,42.64337,-72.417875
Quercus_coccinea,42.497897,-72.322667
Quercus_coccinea,42.487968,-72.30925
Quercus_coccinea,42.721373,-71.468699
Quercus_coccinea,42.306312,-72.376662
Quercus_coccinea,42.207589,-71.22887
Quercus_coccinea,42.750359,-71.622776
Quercus_coccinea,42.376214,-72.240174
Quercus_coccinea,38.230692,-78.175323
Quercus_coccinea,42.504956,-72.286552
Quercus_coccinea,41.382878,-71.553719
Quercus_coccinea,41.450084,-71.449503
Quercus_coccinea,42.795624,-71.593519
Quercus_coccinea,40.952248,-80.170136
Quercus_coccinea,42.718125,-73.86252
Quercus_coccinea,40.33427,-74.648665
Quercus_coccinea,38.976646,-77.375208
Quercus_coccinea,42.378913,-71.461616
Quercus_coccinea,41.4753,-71.447853
Quercus_coccinea,39.318612,-82.113897
Quercus_coccinea,42.390766,-71.488606
Quercus_coccinea,42.437893,-72.472203
Quercus_coccinea,42.706934,-73.892367
Quercus_coccinea,38.303772,-85.504612
Quercus_coccinea,42.441578,-72.475145
Quercus_coccinea,35.6132,-79.158722
Quercus_coccinea,36.205763,-81.983788
Quercus_coccinea,38.056156,-76.646677
Quercus_coccinea,42.496197,-72.497112
Quercus_coccinea,42.451676,-72.22376
Quercus_coccinea,42.075656,-71.171981
Quercus_coccinea,41.054482,-80.58905
Quercus_coccinea,41.153524,-80.069853
Quercus_coccinea,42.303543,-72.339122
Quercus_coccinea,42.303517,-72.340028
Quercus_coccinea,38.285988,-85.652547
Quercus_coccinea,40.390531,-77.626148
Quercus_coccinea,42.56941,-72.518099
Quercus_coccinea,42.295948,-72.30725
Quercus_coccinea,42.218922,-72.672822
Quercus_coccinea,35.035717,-80.914746
Quercus_coccinea,35.10024,-81.020447
Quercus_coccinea,39.459528,-82.184092
Quercus_coccinea,42.38968,-72.39423
Quercus_coccinea,35.582946,-79.488254
Quercus_coccinea,37.520074,-78.29273
Quercus_coccinea,39.640267,-76.768425
Quercus_coccinea,37.537468,-78.46191
Quercus_coccinea,40.044476,-74.086949
Quercus_coccinea,39.648505,-76.72358
Quercus_coccinea,40.683139,-73.513039
Quercus_coccinea,41.700687,-72.453041
Quercus_coccinea,36.062412,-79.116302
Quercus_coccinea,35.816106,-78.721583
Quercus_coccinea,40.093842,-75.447455
Quercus_coccinea,39.637825,-76.720658
Quercus_coccinea,35.659088,-81.412788
Quercus_coccinea,38.959995,-76.92633
Quercus_coccinea,36.072079,-79.198067
Quercus_coccinea,35.29005,-83.182587
Quercus_coccinea,37.431617,-80.290275
Quercus_coccinea,39.321976,-74.597465
Quercus_coccinea,36.052262,-82.570213
Quercus_coccinea,35.895887,-84.735642
Quercus_coccinea,35.904533,-84.714972
Quercus_coccinea,40.705581,-73.838497
