Species,Latitude,Longitude
Quercus_copeyensis,9.54875,-83.800222
Quercus_copeyensis,9.828333,-84.092222
Quercus_copeyensis,8.89,-82.75
Quercus_copeyensis,8.898333,-82.751944
Quercus_copeyensis,9.55,-83.65
Quercus_copeyensis,9.46,-83.56
Quercus_copeyensis,8.97,-82.83
Quercus_copeyensis,9.71,-84.18
Quercus_copeyensis,9.39,-83.2
Quercus_copeyensis,9.84,-84.12
Quercus_copeyensis,10.1,-84.14
Quercus_copeyensis,10.3,-84.78
Quercus_copeyensis,10.168611,-84.113333
Quercus_copeyensis,10.18,-84.1
Quercus_copeyensis,10.182778,-84.106667
Quercus_copeyensis,10.176389,-84.111111
Quercus_copeyensis,9.72,-83.95
Quercus_copeyensis,10.184167,-84.1075
Quercus_copeyensis,10.155556,-83.941667
Quercus_copeyensis,10.15,-83.94
Quercus_copeyensis,14.2,-87.116667
Quercus_copeyensis,9.84,-84.11
Quercus_copeyensis,9.844167,-84.112778
Quercus_copeyensis,9.55,-83.68
Quercus_copeyensis,10.12,-84.12
Quercus_copeyensis,10.122778,-84.120833
Quercus_copeyensis,9.87,-84.14
Quercus_copeyensis,9.35,-83.27
Quercus_copeyensis,10.12,-84.11
Quercus_copeyensis,9.352778,-83.277222
Quercus_copeyensis,9.73,-83.95
Quercus_copeyensis,9.58,-83.85
Quercus_copeyensis,9.55,-83.7
Quercus_copeyensis,9.62,-83.91
Quercus_copeyensis,9.58,-83.8
Quercus_copeyensis,9.7,-83.95
Quercus_copeyensis,9.56,-83.8
Quercus_copeyensis,9.83,-84.05
Quercus_copeyensis,9.66,-83.91
Quercus_copeyensis,9.71,-83.95
Quercus_copeyensis,9.45,-83.51
Quercus_copeyensis,9.65,-83.85
Quercus_copeyensis,9.74,-83.97
Quercus_copeyensis,9.56,-83.7
Quercus_copeyensis,9.86,-84.15
Quercus_copeyensis,14.35,-89.15
Quercus_copeyensis,15.7422,-90.1792
Quercus_copeyensis,14.380833,-90.601111
Quercus_copeyensis,9.68,-83.91
Quercus_copeyensis,9.7,-83.96
Quercus_copeyensis,9.64,-83.92
