Species,Latitude,Longitude
Quercus_cornelius-mulleri,33.228301,-116.454421
Quercus_cornelius-mulleri,34.084423,-116.369763
Quercus_cornelius-mulleri,33.050533,-116.568899
Quercus_cornelius-mulleri,34.172732,-116.54756
Quercus_cornelius-mulleri,34.039199,-116.029351
Quercus_cornelius-mulleri,34.053561,-116.395653
Quercus_cornelius-mulleri,33.042772,-116.446428
Quercus_cornelius-mulleri,33.052689,-116.354972
Quercus_cornelius-mulleri,34.067558,-116.161644
Quercus_cornelius-mulleri,33.70955,-115.747025
Quercus_cornelius-mulleri,33.047034,-116.224927
Quercus_cornelius-mulleri,33.178878,-116.461013
Quercus_cornelius-mulleri,34.000317,-116.267045
Quercus_cornelius-mulleri,33.097061,-116.414633
Quercus_cornelius-mulleri,33.048339,-116.351228
Quercus_cornelius-mulleri,34.012564,-116.167858
Quercus_cornelius-mulleri,34.021264,-116.663537
Quercus_cornelius-mulleri,34.026889,-116.143197
Quercus_cornelius-mulleri,33.993995,-116.062439
Quercus_cornelius-mulleri,34.025172,-116.147142
Quercus_cornelius-mulleri,34.001328,-116.060706
Quercus_cornelius-mulleri,33.999972,-116.0588
Quercus_cornelius-mulleri,33.988395,-116.062447
Quercus_cornelius-mulleri,33.988317,-116.062347
Quercus_cornelius-mulleri,33.988372,-116.062308
Quercus_cornelius-mulleri,34.021197,-116.662489
Quercus_cornelius-mulleri,34.020457,-116.651292
Quercus_cornelius-mulleri,34.010417,-116.671514
Quercus_cornelius-mulleri,34.021995,-116.175422
Quercus_cornelius-mulleri,32.770888,-116.281983
Quercus_cornelius-mulleri,34.189658,-116.515097
Quercus_cornelius-mulleri,34.194712,-116.514647
Quercus_cornelius-mulleri,34.188795,-116.514838
Quercus_cornelius-mulleri,34.026864,-116.145644
Quercus_cornelius-mulleri,33.294261,-116.425828
Quercus_cornelius-mulleri,33.292625,-116.425536
Quercus_cornelius-mulleri,34.063927,-116.173455
Quercus_cornelius-mulleri,33.601793,-116.421323
Quercus_cornelius-mulleri,33.219869,-116.441312
Quercus_cornelius-mulleri,32.657691,-116.098691
Quercus_cornelius-mulleri,34.027767,-116.340486
Quercus_cornelius-mulleri,33.228122,-116.45385
Quercus_cornelius-mulleri,33.997857,-116.062025
Quercus_cornelius-mulleri,34.164875,-116.577049
Quercus_cornelius-mulleri,33.225848,-116.461589
Quercus_cornelius-mulleri,34.02765,-116.143364
Quercus_cornelius-mulleri,33.585827,-116.42556
Quercus_cornelius-mulleri,34.168883,-116.546865
Quercus_cornelius-mulleri,33.997058,-116.060452
Quercus_cornelius-mulleri,34.030419,-116.350128
Quercus_cornelius-mulleri,33.579586,-116.449386
Quercus_cornelius-mulleri,33.579754,-116.449307
Quercus_cornelius-mulleri,33.57978,-116.448822
Quercus_cornelius-mulleri,33.215293,-116.465355
Quercus_cornelius-mulleri,33.574245,-116.419037
Quercus_cornelius-mulleri,33.578492,-116.443787
Quercus_cornelius-mulleri,33.575672,-116.44158
Quercus_cornelius-mulleri,34.122411,-116.476272
