Species,Latitude,Longitude
Quercus_corrugata,16.835787,-93.076861
Quercus_corrugata,19.96427,-97.39806
Quercus_corrugata,19.9643,-97.3981
Quercus_corrugata,20.089368,-97.47607
Quercus_corrugata,20.0894,-97.4761
Quercus_corrugata,8.5064,-80.8447
Quercus_corrugata,19.96466,-97.41673
Quercus_corrugata,19.9647,-97.4167
Quercus_corrugata,19.516667,-97.053055
Quercus_corrugata,20.01161,-97.60627
Quercus_corrugata,20.00596,-97.60162
Quercus_corrugata,20.0116,-97.6063
Quercus_corrugata,20.006,-97.6016
Quercus_corrugata,19.89538,-97.35833
Quercus_corrugata,19.99068,-97.51242
Quercus_corrugata,19.9216,-97.7215
Quercus_corrugata,19.92156,-97.7215
Quercus_corrugata,10.119736,-84.233672
Quercus_corrugata,10.955556,-85.489167
Quercus_corrugata,16.973751,-93.549657
Quercus_corrugata,18.165639,-96.889555
Quercus_corrugata,18.123222,-96.937055
Quercus_corrugata,10.960167,-85.484861
Quercus_corrugata,16.145424,-93.596842
Quercus_corrugata,16.528889,-88.933611
Quercus_corrugata,20.416667,-98.333333
Quercus_corrugata,20.433333,-98.166667
Quercus_corrugata,20.441111,-98.1875
Quercus_corrugata,20.403611,-98.280555
Quercus_corrugata,11.004,-85.468
Quercus_corrugata,11.0,-85.47
Quercus_corrugata,9.359722,-83.595555
Quercus_corrugata,20.0219,-97.5508
Quercus_corrugata,13.66667,-89.25
Quercus_corrugata,19.875,-97.211944
Quercus_corrugata,19.491667,-97.04
Quercus_corrugata,19.490278,-97.043611
Quercus_corrugata,20.219194,-99.637555
Quercus_corrugata,17.488417,-96.377528
Quercus_corrugata,10.141917,-84.247222
Quercus_corrugata,15.722778,-92.943611
Quercus_corrugata,19.864722,-97.318055
Quercus_corrugata,19.466667,-97.05
Quercus_corrugata,15.3,-90.28333
Quercus_corrugata,16.495,-89.039167
Quercus_corrugata,17.690278,-96.551944
Quercus_corrugata,17.690278,-96.551667
Quercus_corrugata,8.906347,-82.773807
Quercus_corrugata,16.007778,-93.463889
Quercus_corrugata,16.196389,-93.609444
Quercus_corrugata,8.949224,-82.743694
Quercus_corrugata,8.9492,-82.7436
Quercus_corrugata,15.738056,-92.935555
Quercus_corrugata,15.776944,-93.09
Quercus_corrugata,19.430556,-97.101389
Quercus_corrugata,20.533333,-98.233333
Quercus_corrugata,20.533333,-98.233361
Quercus_corrugata,18.168278,-97.003111
Quercus_corrugata,18.1683,-97.0031
Quercus_corrugata,18.168333,-97.003055
Quercus_corrugata,18.16828,-97.00311
Quercus_corrugata,18.069028,-96.879556
Quercus_corrugata,18.069,-96.8796
Quercus_corrugata,18.068889,-96.879444
Quercus_corrugata,18.06903,-96.87956
Quercus_corrugata,17.598889,-96.481944
Quercus_corrugata,15.657222,-92.8075
Quercus_corrugata,20.719167,-98.373056
Quercus_corrugata,15.824444,-93.063055
Quercus_corrugata,17.4954401086551,-96.37753222962951
Quercus_corrugata,19.977778,-97.448611
Quercus_corrugata,8.91,-82.78
Quercus_corrugata,8.919491,-82.787413
Quercus_corrugata,8.919445,-82.787222
Quercus_corrugata,19.98,-97.511667
Quercus_corrugata,9.61,-83.97
Quercus_corrugata,9.61,-83.979167
Quercus_corrugata,16.530278,-89.085
Quercus_corrugata,20.150556,-98.095833
Quercus_corrugata,16.5175,-89.11138
Quercus_corrugata,16.400556,-89.111111
Quercus_corrugata,8.897719,-82.758371
Quercus_corrugata,8.89,-82.75
Quercus_corrugata,16.489444,-88.9925
Quercus_corrugata,16.494444,-88.9925
Quercus_corrugata,17.333333,-96.333333
Quercus_corrugata,9.719445,-84.373611
Quercus_corrugata,16.953611,-95.836111
Quercus_corrugata,16.95361,-95.83611
Quercus_corrugata,8.5,-82.25
Quercus_corrugata,9.723611,-84.378056
Quercus_corrugata,17.000476691960436,-91.57769505867881
Quercus_corrugata,18.311667,-94.73
Quercus_corrugata,16.94861,-95.82306
Quercus_corrugata,9.742778,-84.069444
Quercus_corrugata,9.742778,-84.066667
Quercus_corrugata,9.625,-83.952778
Quercus_corrugata,9.275,-83.244445
Quercus_corrugata,17.668333,-96.556667
Quercus_corrugata,17.673056,-96.557778
Quercus_corrugata,17.738333,-96.558333
Quercus_corrugata,17.685278,-96.576111
Quercus_corrugata,17.665278,-96.5625
Quercus_corrugata,17.668611,-96.549444
Quercus_corrugata,9.291667,-83.266667
Quercus_corrugata,19.289444,-97.341667
Quercus_corrugata,20.024444,-96.949722
Quercus_corrugata,19.504167,-97.041667
Quercus_corrugata,9.396944,-83.081944
Quercus_corrugata,20.03111,-97.90139
Quercus_corrugata,20.031944,-97.900833
Quercus_corrugata,9.025,-82.961112
Quercus_corrugata,9.025,-82.961111
Quercus_corrugata,8.95,-82.833333
Quercus_corrugata,19.679167,-96.856944
Quercus_corrugata,8.833333,-82.75
Quercus_corrugata,10.79,-85.3
Quercus_corrugata,10.797222,-85.305278
Quercus_corrugata,17.593056,-96.476389
Quercus_corrugata,19.475,-97.016667
Quercus_corrugata,19.79,-96.837778
Quercus_corrugata,10.78,-85.3
Quercus_corrugata,15.983889,-93.471667
Quercus_corrugata,19.716667,-96.816667
Quercus_corrugata,15.65,-92.8
Quercus_corrugata,11.03,-85.41
Quercus_corrugata,19.664167,-97.161667
Quercus_corrugata,10.383333,-84.783333
Quercus_corrugata,10.38,-84.78
Quercus_corrugata,9.81,-84.48
Quercus_corrugata,15.286389,-92.4225
Quercus_corrugata,15.335278,-92.383333
Quercus_corrugata,15.35,-92.233333
Quercus_corrugata,19.8,-97.38333
Quercus_corrugata,19.800556,-97.386111
Quercus_corrugata,19.766667,-96.8
Quercus_corrugata,7.70111,-80.85111
Quercus_corrugata,17.808333,-96.125
Quercus_corrugata,9.6667,-84.0
Quercus_corrugata,10.57,-84.67
Quercus_corrugata,8.85,-82.71666
Quercus_corrugata,19.401667,-97.075833
Quercus_corrugata,17.19,-96.06
Quercus_corrugata,17.133333,-96.0
