Species,Latitude,Longitude
Quercus_cortesii,17.010833,-89.007222
Quercus_cortesii,17.011111,-89.009444
Quercus_cortesii,19.99463,-97.5104
Quercus_cortesii,19.9946,-97.5104
Quercus_cortesii,13.851944,-85.949889
Quercus_cortesii,14.41361,-89.36833
Quercus_cortesii,20.00596,-97.60162
Quercus_cortesii,20.006,-97.6016
Quercus_cortesii,13.817639,-85.981972
Quercus_cortesii,10.716779,-85.154264
Quercus_cortesii,19.9894,-97.5115
Quercus_cortesii,19.98942,-97.51152
Quercus_cortesii,15.092389,-92.148528
Quercus_cortesii,15.441569,-92.294288
Quercus_cortesii,16.864518,-92.460603
Quercus_cortesii,13.735833,-86.383889
Quercus_cortesii,13.74994,-89.25694
Quercus_cortesii,13.233333,-86.233333
Quercus_cortesii,14.024445,-86.150833
Quercus_cortesii,13.233333,-86.25
Quercus_cortesii,14.0,-86.133333
Quercus_cortesii,13.980556,-86.191667
Quercus_cortesii,9.538917,-83.818861
Quercus_cortesii,9.54941,-83.79952
Quercus_cortesii,19.466667,-97.05
Quercus_cortesii,15.805917,-93.050806
Quercus_cortesii,15.810556,-93.054361
Quercus_cortesii,15.556667,-92.603889
Quercus_cortesii,9.790143,-84.460939
Quercus_cortesii,9.790143,-84.46094
Quercus_cortesii,16.493056,-89.045278
Quercus_cortesii,8.969554,-82.774081
Quercus_cortesii,9.794444,-84.447222
Quercus_cortesii,9.794444,-84.44722
Quercus_cortesii,14.8364,-86.4556
Quercus_cortesii,10.013903,-84.506179
Quercus_cortesii,10.013889,-84.506111
Quercus_cortesii,10.0139,-84.5061
Quercus_cortesii,16.97206,-88.996112
Quercus_cortesii,13.866667,-89.783333
Quercus_cortesii,13.86667,-89.78333
Quercus_cortesii,13.266667,-86.266667
Quercus_cortesii,13.21666,-86.26666
Quercus_cortesii,13.25,-86.216667
Quercus_cortesii,10.713154,-85.156532
Quercus_cortesii,10.713056,-85.156389
Quercus_cortesii,17.217668,-88.684767
Quercus_cortesii,13.883333,-89.783333
Quercus_cortesii,13.88333,-89.78333
Quercus_cortesii,13.88333,-89.783333
Quercus_cortesii,16.722222,-94.199167
Quercus_cortesii,16.8333,-88.9167
Quercus_cortesii,16.654167,-92.051111
Quercus_cortesii,9.7,-84.096944
Quercus_cortesii,16.483333,-89.033333
Quercus_cortesii,19.504167,-97.041667
Quercus_cortesii,16.407,-89.118
Quercus_cortesii,16.406944,-89.101944
Quercus_cortesii,14.48333,-87.88333
Quercus_cortesii,10.3,-84.8
Quercus_cortesii,10.797222,-85.305278
Quercus_cortesii,19.5,-96.833333
Quercus_cortesii,10.929167,-85.470834
Quercus_cortesii,16.163889,-97.006944
Quercus_cortesii,19.815833,-96.748055
Quercus_cortesii,9.813889,-84.466667
Quercus_cortesii,10.929167,-85.470833
Quercus_cortesii,10.25,-84.8
Quercus_cortesii,19.792222,-96.765
Quercus_cortesii,15.753611,-92.9775
Quercus_cortesii,17.159167,-93.1425
Quercus_cortesii,17.151389,-93.156944
Quercus_cortesii,15.747222,-92.969444
Quercus_cortesii,15.719444,-92.980556
Quercus_cortesii,17.131944,-93.159722
Quercus_cortesii,15.730278,-92.966111
Quercus_cortesii,10.3,-84.800002
Quercus_cortesii,17.02,-92.84
Quercus_cortesii,17.038889,-92.875
Quercus_cortesii,17.066667,-92.863333
Quercus_cortesii,17.03,-92.89
Quercus_cortesii,10.266667,-84.783333
Quercus_cortesii,10.26666,-84.78333
Quercus_cortesii,10.3075,-84.810556
Quercus_cortesii,18.320833,-94.747222
Quercus_cortesii,19.611667,-104.436944
Quercus_cortesii,19.475833,-97.008333
Quercus_cortesii,19.516667,-96.966667
Quercus_cortesii,20.233333,-104.766667
Quercus_cortesii,19.483333,-96.95
Quercus_cortesii,20.380556,-104.822222
Quercus_cortesii,20.24,-104.799167
Quercus_cortesii,17.467222,-100.194722
Quercus_cortesii,13.0,-85.916667
Quercus_cortesii,13.16666,-86.23333
Quercus_cortesii,18.306944,-94.728333
Quercus_cortesii,18.3875,-94.93944
Quercus_cortesii,18.3875,-94.939444
Quercus_cortesii,13.23333,-86.25
Quercus_cortesii,12.61666,-85.75
Quercus_cortesii,17.341667,-100.241667
Quercus_cortesii,13.23,-86.25
Quercus_cortesii,13.23333,-86.23333
Quercus_cortesii,13.0,-85.91666
Quercus_cortesii,13.25,-86.25
Quercus_cortesii,15.728333,-92.949722
Quercus_cortesii,15.747222,-92.966667
Quercus_cortesii,19.3333,-96.6667
Quercus_cortesii,18.333333,-94.9
Quercus_cortesii,18.33333,-94.9
Quercus_cortesii,13.4,-86.51666
Quercus_cortesii,13.03,-85.91
Quercus_cortesii,13.03333,-85.91666
Quercus_cortesii,13.03333,-85.91667
Quercus_cortesii,13.03,-85.92
Quercus_cortesii,15.73,-92.96
Quercus_cortesii,15.734722,-92.9525
Quercus_cortesii,15.722222,-92.980556
Quercus_cortesii,19.584722,-96.944167
Quercus_cortesii,18.35,-94.883333
Quercus_cortesii,13.033333,-85.933333
Quercus_cortesii,13.033333,-85.916667
Quercus_cortesii,18.339167,-94.89
Quercus_cortesii,13.03333,-85.93333
Quercus_cortesii,8.73333,-82.25
Quercus_cortesii,13.25,-85.683333
Quercus_cortesii,13.025,-85.916667
Quercus_cortesii,16.183333,-93.586111
Quercus_cortesii,17.1,-92.86
Quercus_cortesii,17.115278,-92.868056
Quercus_cortesii,18.272222,-94.884722
Quercus_cortesii,17.490278,-91.980556
Quercus_cortesii,13.05,-85.983333
Quercus_cortesii,13.05,-85.98333
Quercus_cortesii,13.05,-85.933333
Quercus_cortesii,13.05,-85.91666
Quercus_cortesii,19.808333,-97.325
Quercus_cortesii,20.263056,-104.789444
Quercus_cortesii,19.919896792085964,-97.27072910174905
Quercus_cortesii,19.922778,-97.278055
Quercus_cortesii,17.2375,-92.336944
Quercus_cortesii,18.92,-97.11
Quercus_cortesii,19.101106,-97.050094
Quercus_cortesii,19.118275,-97.047778
Quercus_cortesii,13.848333,-86.945555
Quercus_cortesii,14.883333,-88.05
Quercus_cortesii,14.02527,-87.07527
Quercus_cortesii,15.405556,-92.613889
Quercus_cortesii,15.405556,-92.547222
Quercus_cortesii,16.966667,-88.983333
Quercus_cortesii,14.55,-87.866667
Quercus_cortesii,14.544167,-87.863056
Quercus_cortesii,16.4125,-89.19583
Quercus_cortesii,19.977222,-97.269167
Quercus_cortesii,19.51,-96.88
Quercus_cortesii,15.66667,-92.73333
Quercus_cortesii,12.839906,-85.034783
Quercus_cortesii,17.453942,-100.183806
