Species,Latitude,Longitude
Quercus_costaricensis,9.593256,-83.493973
Quercus_costaricensis,9.620923,-83.913004
Quercus_costaricensis,9.724696,-83.903135
Quercus_costaricensis,9.586599,-83.611849
Quercus_costaricensis,9.489965,-83.773654
Quercus_costaricensis,9.650606,-83.898016
Quercus_costaricensis,9.450745,-83.739464
Quercus_costaricensis,9.617778,-83.847778
Quercus_costaricensis,9.101194,-82.967889
Quercus_costaricensis,9.111389,-82.961722
Quercus_costaricensis,9.097056,-82.978167
Quercus_costaricensis,10.18325,-84.238722
Quercus_costaricensis,10.323778,-84.768611
Quercus_costaricensis,9.608333,-83.782778
Quercus_costaricensis,9.548056,-83.800833
Quercus_costaricensis,9.4725,-83.700556
Quercus_costaricensis,9.495,-83.704722
Quercus_costaricensis,9.616778,-83.859861
Quercus_costaricensis,9.555833,-83.666667
Quercus_costaricensis,10.180556,-84.241389
Quercus_costaricensis,9.96025,-83.877667
Quercus_costaricensis,9.964167,-83.878333
Quercus_costaricensis,9.69129,-83.876832
Quercus_costaricensis,9.552578,-83.751376
Quercus_costaricensis,9.105408,-82.955153
Quercus_costaricensis,9.11168,-82.961764
Quercus_costaricensis,9.56667,-83.75
Quercus_costaricensis,8.507188,-80.102665
Quercus_costaricensis,9.555556,-83.758333
Quercus_costaricensis,9.09888,-82.86777
Quercus_costaricensis,9.225702,-83.077876
Quercus_costaricensis,9.558456,-83.724961
Quercus_costaricensis,9.5583,-83.7247
Quercus_costaricensis,9.211218,-83.06789
Quercus_costaricensis,9.2111,-83.0678
Quercus_costaricensis,9.616667,-83.811111
Quercus_costaricensis,9.127778,-82.961111
Quercus_costaricensis,9.12,-82.96
Quercus_costaricensis,9.558888,-83.53186
Quercus_costaricensis,9.55,-83.53
Quercus_costaricensis,9.43,-83.49
Quercus_costaricensis,9.44,-83.5
Quercus_costaricensis,9.445833,-83.505833
Quercus_costaricensis,9.434722,-83.495833
Quercus_costaricensis,9.43,-83.48
Quercus_costaricensis,9.56,-83.66
Quercus_costaricensis,9.568056,-83.665278
Quercus_costaricensis,9.554167,-83.690278
Quercus_costaricensis,9.55,-83.69
Quercus_costaricensis,9.52,-83.59
Quercus_costaricensis,9.529722,-83.591667
Quercus_costaricensis,9.51,-83.58
Quercus_costaricensis,9.625,-83.952778
Quercus_costaricensis,9.55,-83.75
Quercus_costaricensis,9.39,-83.2
Quercus_costaricensis,9.03,-82.81
Quercus_costaricensis,9.396944,-83.081944
Quercus_costaricensis,9.55,-83.72
Quercus_costaricensis,9.65,-83.73
Quercus_costaricensis,14.557222,-88.666667
Quercus_costaricensis,9.55,-83.68
Quercus_costaricensis,9.966666,-83.833336
Quercus_costaricensis,9.56,-83.72
Quercus_costaricensis,9.558333,-83.691667
Quercus_costaricensis,9.55833,-83.69
Quercus_costaricensis,9.5,-83.46
Quercus_costaricensis,9.4225,-83.507778
Quercus_costaricensis,9.5,-83.46666
Quercus_costaricensis,10.454167,-83.5125
Quercus_costaricensis,9.61,-83.81
Quercus_costaricensis,9.55,-83.7
Quercus_costaricensis,9.67,-83.86
Quercus_costaricensis,9.570278,-83.755
Quercus_costaricensis,9.62,-83.85
Quercus_costaricensis,9.56,-83.7
Quercus_costaricensis,9.66,-83.85
Quercus_costaricensis,9.58,-83.8
Quercus_costaricensis,9.97,-83.84
Quercus_costaricensis,9.26,-83.04
Quercus_costaricensis,9.21,-83.07
Quercus_costaricensis,9.093722,-82.882944
Quercus_costaricensis,9.084167,-82.877778
Quercus_costaricensis,9.091667,-82.858333
Quercus_costaricensis,9.216667,-83.075
Quercus_costaricensis,9.266667,-83.041667
Quercus_costaricensis,9.59,-83.79
Quercus_costaricensis,9.21,-83.06
Quercus_costaricensis,9.13,-82.95
Quercus_costaricensis,9.13,-82.96
Quercus_costaricensis,9.133333,-82.95
Quercus_costaricensis,9.133333,-82.966667
Quercus_costaricensis,9.216667,-83.066667
Quercus_costaricensis,9.6667,-84.0
Quercus_costaricensis,9.5725,-83.7575
Quercus_costaricensis,10.0,-83.84
Quercus_costaricensis,9.025,-82.816667
Quercus_costaricensis,9.58,-83.64
Quercus_costaricensis,9.55,-83.65
Quercus_costaricensis,9.583333,-83.641667
Quercus_costaricensis,9.566667,-83.75
Quercus_costaricensis,9.083333,-82.933333
Quercus_costaricensis,9.59,-83.77
Quercus_costaricensis,9.56,-83.75
Quercus_costaricensis,9.51,-83.71
Quercus_costaricensis,10.233333,-84.25
Quercus_costaricensis,9.583333,-83.733333
Quercus_costaricensis,9.6,-83.78
Quercus_costaricensis,9.63,-83.84
Quercus_costaricensis,9.97,-83.85
Quercus_costaricensis,9.5,-83.53
Quercus_costaricensis,9.5,-83.51
Quercus_costaricensis,9.88,-83.89
Quercus_costaricensis,9.55,-83.73
Quercus_costaricensis,9.98,-83.84
Quercus_costaricensis,10.19,-84.22
Quercus_costaricensis,9.9836,-83.85026
Quercus_costaricensis,9.83198,-84.02937
Quercus_costaricensis,10.163333,-84.230278
Quercus_costaricensis,9.61,-83.84
Quercus_costaricensis,9.8333,-83.75
Quercus_costaricensis,9.57,-83.75
Quercus_costaricensis,9.56465,-83.7079
Quercus_costaricensis,9.97,-83.83
Quercus_costaricensis,10.02,-83.828889
Quercus_costaricensis,9.979873,-83.84982
Quercus_costaricensis,9.09,-82.85
Quercus_costaricensis,10.01972,-83.76333
Quercus_costaricensis,9.97028,-84.18806
Quercus_costaricensis,10.0114,-83.9519
