Species,Latitude,Longitude
Quercus_crassifolia,21.692404,-101.240623
Quercus_crassifolia,16.720614,-92.659754
Quercus_crassifolia,16.720673,-92.659584
Quercus_crassifolia,20.21656,-100.653105
Quercus_crassifolia,20.216464,-100.653233
Quercus_crassifolia,16.723205,-92.662338
Quercus_crassifolia,21.996074,-101.068508
Quercus_crassifolia,16.739314,-92.680835
Quercus_crassifolia,16.739235,-92.680669
Quercus_crassifolia,16.739447,-92.680557
Quercus_crassifolia,16.720088,-92.660135
Quercus_crassifolia,29.309116,-108.201527
Quercus_crassifolia,20.334582,-100.297008
Quercus_crassifolia,20.722562,-103.314728
Quercus_crassifolia,19.618133,-101.325586
Quercus_crassifolia,18.868445,-98.180777
Quercus_crassifolia,17.164769,-96.605016
Quercus_crassifolia,17.128714,-96.495255
Quercus_crassifolia,17.133025,-96.475478
Quercus_crassifolia,17.166053,-96.505272
Quercus_crassifolia,17.128714,-96.495256
Quercus_crassifolia,17.260694,-96.468353
Quercus_crassifolia,21.295616,-100.057366
Quercus_crassifolia,16.516111,-97.041389
Quercus_crassifolia,16.5325,-97.035
Quercus_crassifolia,17.363101,-96.514478
Quercus_crassifolia,16.732155,-92.604154
Quercus_crassifolia,16.673016,-92.580956
Quercus_crassifolia,19.287925,-97.474973
Quercus_crassifolia,22.030617,-100.948281
Quercus_crassifolia,16.714424,-92.686167
Quercus_crassifolia,22.034961,-100.934503
Quercus_crassifolia,21.945593,-100.572624
Quercus_crassifolia,16.720708,-92.65932
Quercus_crassifolia,16.620002,-92.401371
Quercus_crassifolia,19.023613,-99.277532
Quercus_crassifolia,21.315789,-100.12503
Quercus_crassifolia,20.219681,-98.721222
Quercus_crassifolia,16.751825,-92.682402
Quercus_crassifolia,19.777616,-100.113888
Quercus_crassifolia,19.953627,-98.119822
Quercus_crassifolia,19.128997,-97.912797
Quercus_crassifolia,19.514594,-97.429047
Quercus_crassifolia,19.212333,-97.946511
Quercus_crassifolia,21.870278,-100.336944
Quercus_crassifolia,21.870833,-100.347444
Quercus_crassifolia,16.721024,-92.660011
Quercus_crassifolia,22.186388,-100.567078
Quercus_crassifolia,22.161331,-101.10823
Quercus_crassifolia,17.02997,-92.587375
Quercus_crassifolia,24.042897,-99.71319
Quercus_crassifolia,16.715318,-92.66058
Quercus_crassifolia,19.86624,-97.73843
Quercus_crassifolia,19.8662,-97.7384
Quercus_crassifolia,19.8996,-97.7345
Quercus_crassifolia,19.755395,-98.082676
Quercus_crassifolia,19.607957,-101.121214
Quercus_crassifolia,23.235031,-104.611153
Quercus_crassifolia,17.163833,-96.341417
Quercus_crassifolia,17.172917,-96.292361
Quercus_crassifolia,17.322389,-96.585083
Quercus_crassifolia,19.79669,-97.65284
Quercus_crassifolia,19.7967,-97.6528
Quercus_crassifolia,19.400194,-100.328778
