Species,Latitude,Longitude
Quercus_crassipes,19.467199,-98.073264
Quercus_crassipes,19.109496,-98.152392
Quercus_crassipes,19.460771,-101.515423
Quercus_crassipes,22.103124,-100.617443
Quercus_crassipes,21.302915,-100.139765
Quercus_crassipes,16.42137,-92.401458
Quercus_crassipes,20.863692,-99.600267
Quercus_crassipes,20.870053,-99.562197
Quercus_crassipes,21.326053,-101.635472
Quercus_crassipes,18.99,-98.19
Quercus_crassipes,19.079111,-98.346383
Quercus_crassipes,19.389794,-98.006431
Quercus_crassipes,17.10152,-97.78108
Quercus_crassipes,19.485343,-99.255009
Quercus_crassipes,19.718611,-100.261917
Quercus_crassipes,15.239667,-92.261222
Quercus_crassipes,19.973889,-98.311389
Quercus_crassipes,19.939722,-98.331944
Quercus_crassipes,19.925,-98.285278
Quercus_crassipes,20.036667,-98.418611
Quercus_crassipes,20.158611,-98.6625
Quercus_crassipes,19.512555,-101.576111
Quercus_crassipes,19.739444,-102.053888
Quercus_crassipes,19.644694,-98.131944
Quercus_crassipes,19.674444,-99.566
Quercus_crassipes,20.186667,-99.4725
Quercus_crassipes,20.139444,-98.565
Quercus_crassipes,19.830833,-99.361111
Quercus_crassipes,19.110611,-100.124472
Quercus_crassipes,19.614167,-101.376944
Quercus_crassipes,19.601944,-101.383333
Quercus_crassipes,19.616667,-101.378055
Quercus_crassipes,19.62,-101.375278
Quercus_crassipes,19.629167,-101.359167
Quercus_crassipes,19.626111,-101.384722
Quercus_crassipes,19.7111,-101.397
Quercus_crassipes,19.612222,-101.370556
Quercus_crassipes,17.86425,-96.90675
Quercus_crassipes,19.612222,-101.370555
Quercus_crassipes,18.251861,-97.09875
Quercus_crassipes,19.631667,-101.396944
Quercus_crassipes,19.633889,-101.331389
Quercus_crassipes,19.610278,-101.379167
Quercus_crassipes,17.578083,-97.090667
Quercus_crassipes,17.937778,-97.286667
Quercus_crassipes,19.9525,-100.836667
Quercus_crassipes,19.603611,-101.105
Quercus_crassipes,19.9939,-100.1318
Quercus_crassipes,19.9995,-98.504305
Quercus_crassipes,20.017556,-98.490694
Quercus_crassipes,20.360028,-98.393528
Quercus_crassipes,18.440139,-97.627111
Quercus_crassipes,19.351944,-100.270389
Quercus_crassipes,19.351944,-100.270278
Quercus_crassipes,20.181944,-98.562778
Quercus_crassipes,17.620833,-97.119444
Quercus_crassipes,19.455667,-98.0805
Quercus_crassipes,19.45567,-98.0805
Quercus_crassipes,20.264722,-100.214167
Quercus_crassipes,20.3972,-100.342
Quercus_crassipes,19.95389,-98.32583
Quercus_crassipes,19.948611,-98.313333
Quercus_crassipes,19.89833,-100.68639
Quercus_crassipes,19.356944,-102.324722
Quercus_crassipes,19.469722,-102.331944
Quercus_crassipes,19.513889,-102.263889
Quercus_crassipes,19.513889,-102.221944
Quercus_crassipes,19.513611,-102.2175
Quercus_crassipes,18.376667,-97.58
Quercus_crassipes,18.401944,-97.606389
Quercus_crassipes,18.389722,-97.538611
Quercus_crassipes,18.386944,-97.535833
Quercus_crassipes,18.4,-97.533333
Quercus_crassipes,19.474722,-97.273056
Quercus_crassipes,19.540278,-103.992778
Quercus_crassipes,19.471111,-103.948333
Quercus_crassipes,19.477778,-103.933333
Quercus_crassipes,19.474444,-103.933611
Quercus_crassipes,19.483056,-103.949722
Quercus_crassipes,19.483056,-103.949444
Quercus_crassipes,19.475278,-103.948611
Quercus_crassipes,19.6375,-99.413889
Quercus_crassipes,19.474444,-103.936944
Quercus_crassipes,19.471111,-103.971944
Quercus_crassipes,19.483056,-103.953611
Quercus_crassipes,19.482778,-103.955278
Quercus_crassipes,19.484444,-103.9825
Quercus_crassipes,19.467778,-103.954444
Quercus_crassipes,19.475,-103.937778
Quercus_crassipes,19.467778,-103.965555
Quercus_crassipes,19.468333,-103.968889
Quercus_crassipes,19.555833,-96.95
Quercus_crassipes,19.407778,-98.543889
Quercus_crassipes,19.617164,-96.882005
Quercus_crassipes,19.476111,-97.362778
Quercus_crassipes,19.465,-102.29
Quercus_crassipes,20.939962,-99.559002
Quercus_crassipes,19.48,-103.965833
Quercus_crassipes,19.446667,-103.938055
Quercus_crassipes,19.448889,-103.939167
Quercus_crassipes,19.439444,-103.938611
Quercus_crassipes,19.469167,-103.955833
Quercus_crassipes,19.438056,-103.9475
Quercus_crassipes,19.454722,-103.945278
Quercus_crassipes,19.453889,-103.946111
Quercus_crassipes,19.438889,-103.938055
Quercus_crassipes,19.436667,-103.975555
Quercus_crassipes,19.451667,-103.948611
Quercus_crassipes,19.440278,-103.975555
Quercus_crassipes,19.476944,-103.9625
Quercus_crassipes,19.470556,-103.959722
Quercus_crassipes,19.454722,-103.953889
Quercus_crassipes,19.4775,-103.961944
Quercus_crassipes,19.483056,-103.966389
Quercus_crassipes,19.458333,-103.953889
Quercus_crassipes,19.438611,-103.952778
Quercus_crassipes,19.455556,-103.939444
Quercus_crassipes,19.439688,-103.94205
Quercus_crassipes,19.133056,-98.1475
Quercus_crassipes,19.970556,-103.735833
Quercus_crassipes,20.158611,-100.2925
Quercus_crassipes,19.734167,-101.8
Quercus_crassipes,20.030833,-100.2775
Quercus_crassipes,20.128333,-102.543333
Quercus_crassipes,19.367277243354593,-102.40018009640062
Quercus_crassipes,19.144444,-97.93
Quercus_crassipes,16.642778,-92.414167
Quercus_crassipes,19.561389,-102.263333
Quercus_crassipes,19.008333,-97.341667
Quercus_crassipes,19.490278,-102.2375
Quercus_crassipes,17.882778,-97.526944
Quercus_crassipes,17.308333,-97.791667
Quercus_crassipes,19.675,-97.175
Quercus_crassipes,19.581667,-101.186667
Quercus_crassipes,16.638333,-92.501389
Quercus_crassipes,19.175,-100.008333
Quercus_crassipes,17.658333,-97.208333
Quercus_crassipes,19.333333,-104.118333
Quercus_crassipes,21.305833,-99.956944
Quercus_crassipes,19.454444,-103.942778
Quercus_crassipes,19.875183,-103.714203
Quercus_crassipes,19.455528811233904,-103.9347041292443
Quercus_crassipes,19.196389,-98.866944
Quercus_crassipes,20.076389,-103.708889
Quercus_crassipes,19.545,-102.0525
Quercus_crassipes,19.4925,-103.948889
Quercus_crassipes,19.108333,-99.525
Quercus_crassipes,21.571667,-101.34
Quercus_crassipes,19.058333,-99.508333
Quercus_crassipes,19.078611,-97.688889
Quercus_crassipes,19.5,-101.44
Quercus_crassipes,21.366667,-101.233333
Quercus_crassipes,20.483333,-101.733333
Quercus_crassipes,17.658333,-97.175
Quercus_crassipes,19.075,-99.441667
Quercus_crassipes,22.058333,-103.931667
Quercus_crassipes,19.803333,-100.175
Quercus_crassipes,19.462007695963326,-98.38696606144002
Quercus_crassipes,19.784722,-100.198611
Quercus_crassipes,19.941667,-103.758333
Quercus_crassipes,19.970556,-103.766667
Quercus_crassipes,19.945,-103.758333
Quercus_crassipes,19.085556,-99.452778
Quercus_crassipes,19.091667,-99.458333
Quercus_crassipes,19.962547,-103.745569
Quercus_crassipes,19.168333,-99.903333
Quercus_crassipes,19.108333,-99.508333
Quercus_crassipes,19.208333,-99.458333
Quercus_crassipes,19.175,-99.891667
Quercus_crassipes,19.525,-98.625
Quercus_crassipes,17.683333,-97.166667
Quercus_crassipes,17.691667,-97.175
Quercus_crassipes,19.458333,-103.958333
Quercus_crassipes,19.441667,-101.665
Quercus_crassipes,19.571667,-101.806667
Quercus_crassipes,19.558617215386267,-101.8196322422189
Quercus_crassipes,19.501389,-101.852222
Quercus_crassipes,19.896667,-100.686667
Quercus_crassipes,19.041667,-99.275
Quercus_crassipes,19.898333,-100.686389
Quercus_crassipes,19.068056,-98.05
Quercus_crassipes,19.892222,-100.667222
Quercus_crassipes,19.775,-102.341667
Quercus_crassipes,19.786513,-102.272903
Quercus_crassipes,18.8,-102.283333
Quercus_crassipes,19.783711,-102.274417
Quercus_crassipes,19.44,-103.975833
Quercus_crassipes,23.483333,-105.85
Quercus_crassipes,19.639722,-103.609167
Quercus_crassipes,19.755,-101.256667
Quercus_crassipes,19.466667,-101.7
Quercus_crassipes,19.756111,-101.218611
Quercus_crassipes,19.582778,-101.983333
Quercus_crassipes,19.711667,-99.435555
Quercus_crassipes,19.341944,-98.230833
Quercus_crassipes,19.722236193438388,-99.4771027416146
Quercus_crassipes,19.078611,-98.464167
Quercus_crassipes,19.083333,-98.566667
Quercus_crassipes,18.75,-98.5
Quercus_crassipes,19.886667,-102.968333
Quercus_crassipes,19.07,-98.488333
Quercus_crassipes,19.846667,-100.598333
Quercus_crassipes,18.758333,-98.508333
Quercus_crassipes,19.076944,-98.487222
Quercus_crassipes,21.15722,-99.69556
Quercus_crassipes,19.889722,-102.957778
Quercus_crassipes,19.091667,-98.541667
Quercus_crassipes,19.091667,-98.575
Quercus_crassipes,19.658333,-101.08
Quercus_crassipes,19.068611,-98.536111
Quercus_crassipes,19.089444,-98.496667
Quercus_crassipes,19.164722,-98.093889
Quercus_crassipes,19.087222,-98.526944
Quercus_crassipes,19.081667,-98.518889
Quercus_crassipes,19.344722,-98.5675
Quercus_crassipes,19.151111,-97.92
