Species,Latitude,Longitude
Quercus_dalechampii,43.762528,39.741476
Quercus_dalechampii,43.447,41.951
Quercus_dalechampii,44.33395,6.61098
Quercus_dalechampii,45.208046,13.595366
Quercus_dalechampii,48.84778,21.10222
Quercus_dalechampii,48.80889,21.49917
Quercus_dalechampii,49.03861,16.08
Quercus_dalechampii,38.137156,15.052664
Quercus_dalechampii,44.22793,38.84347
Quercus_dalechampii,44.0,42.1
Quercus_dalechampii,48.43861,21.74278
Quercus_dalechampii,39.532541,8.60754
Quercus_dalechampii,44.043304,42.033176
Quercus_dalechampii,43.763687,41.905074
Quercus_dalechampii,43.622222,22.683333
Quercus_dalechampii,47.11583,15.54778
Quercus_dalechampii,47.21806,15.79472
Quercus_dalechampii,40.352707,8.45517
Quercus_dalechampii,45.69389,13.75667
Quercus_dalechampii,40.517942,8.491939
Quercus_dalechampii,40.491206,8.412458
Quercus_dalechampii,40.295929,8.662031
Quercus_dalechampii,40.124674,8.818501
Quercus_dalechampii,40.420827,9.004786
Quercus_dalechampii,40.482915,8.586577
Quercus_dalechampii,40.509349,9.061517
Quercus_dalechampii,39.689137,9.000303
Quercus_dalechampii,40.455059,9.021641
Quercus_dalechampii,40.437607,9.029405
Quercus_dalechampii,40.122933,9.281906
Quercus_dalechampii,40.92776,9.064956
Quercus_dalechampii,40.393392,8.464975
Quercus_dalechampii,40.218675,8.693876
Quercus_dalechampii,42.397728,11.374771
Quercus_dalechampii,46.78583,15.955
Quercus_dalechampii,46.75722,15.96972
Quercus_dalechampii,46.76528,15.96306
Quercus_dalechampii,40.676756,8.616371
Quercus_dalechampii,40.803024,8.920324
Quercus_dalechampii,39.838169,9.309991
Quercus_dalechampii,40.222317,9.156032
Quercus_dalechampii,48.76056,21.27139
Quercus_dalechampii,48.82139,21.19917
Quercus_dalechampii,42.456115,11.418141
Quercus_dalechampii,40.986389,8.914167
Quercus_dalechampii,48.855,15.86917
Quercus_dalechampii,43.078883,11.297013
Quercus_dalechampii,48.35694,21.78972
Quercus_dalechampii,43.158398,11.178384
Quercus_dalechampii,42.900017,11.633283
Quercus_dalechampii,44.600902,38.077647
Quercus_dalechampii,44.161519,39.190121
Quercus_dalechampii,52.755144,23.006525
Quercus_dalechampii,40.466667,23.516667
Quercus_dalechampii,44.15617,43.035
Quercus_dalechampii,44.670484,37.591197
Quercus_dalechampii,44.785917,37.423296
Quercus_dalechampii,43.404732,10.429241
Quercus_dalechampii,43.531263,10.662029
Quercus_dalechampii,44.223032,9.966887
Quercus_dalechampii,43.807862,11.289564
Quercus_dalechampii,44.28242,10.06987
Quercus_dalechampii,47.125,15.45833
Quercus_dalechampii,40.633333,22.033333
Quercus_dalechampii,40.466667,25.583333
Quercus_dalechampii,46.95,15.91667
Quercus_dalechampii,44.582283,38.059934
Quercus_dalechampii,43.548237,39.84458
Quercus_dalechampii,44.754657,37.808933
Quercus_dalechampii,44.56123,38.10003
Quercus_dalechampii,44.7534,37.82568
Quercus_dalechampii,44.65095,37.73679
Quercus_dalechampii,47.075,15.45833
Quercus_dalechampii,44.65,37.94
Quercus_dalechampii,46.505,11.336389
Quercus_dalechampii,44.743929,37.756405
Quercus_dalechampii,44.125673,39.09914
Quercus_dalechampii,43.962447,10.329402
Quercus_dalechampii,43.86874,10.923233
Quercus_dalechampii,43.488368,11.374373
Quercus_dalechampii,43.803881,11.380555
Quercus_dalechampii,37.872543,13.945767
Quercus_dalechampii,38.078945,13.32362
Quercus_dalechampii,51.5,10.5
