Species,Latitude,Longitude
Quercus_dentata,36.367903,138.59772
Quercus_dentata,35.79413,138.916297
Quercus_dentata,42.502304,130.658175
Quercus_dentata,42.467372,130.637562
Quercus_dentata,42.467398,130.637498
Quercus_dentata,42.623187,130.712853
Quercus_dentata,42.537467,130.681919
Quercus_dentata,42.470389,130.638733
Quercus_dentata,42.467137,130.63804
Quercus_dentata,42.464433,130.639946
Quercus_dentata,42.467193,130.637958
Quercus_dentata,43.178642,133.282258
Quercus_dentata,43.180214,133.279943
Quercus_dentata,38.385513,141.379313
Quercus_dentata,40.864455,140.293705
Quercus_dentata,40.06453,116.085997
Quercus_dentata,35.405133,127.795233
Quercus_dentata,35.897797,139.940704
Quercus_dentata,37.696712,126.298096
Quercus_dentata,37.731944,126.441944
Quercus_dentata,37.650824,126.334374
Quercus_dentata,37.720298,126.440491
Quercus_dentata,36.64135,138.313153
Quercus_dentata,36.643373,138.315048
Quercus_dentata,35.389422,126.410956
Quercus_dentata,35.46265,127.57225
Quercus_dentata,35.387506,126.410275
Quercus_dentata,34.349361,126.564722
Quercus_dentata,36.731778,129.200028
Quercus_dentata,34.893833,126.049389
Quercus_dentata,34.363111,126.572056
Quercus_dentata,36.505833,128.762778
Quercus_dentata,35.284167,126.614167
Quercus_dentata,38.474028,128.399722
Quercus_dentata,38.039211,128.173444
Quercus_dentata,38.252861,128.554361
Quercus_dentata,35.271111,126.609444
Quercus_dentata,37.215972,126.165306
Quercus_dentata,36.270833,129.053556
Quercus_dentata,35.282222,126.614167
Quercus_dentata,35.278611,126.615278
Quercus_dentata,34.846953,126.256233
Quercus_dentata,35.222083,127.813472
Quercus_dentata,35.278889,126.615278
Quercus_dentata,35.314311,129.131803
Quercus_dentata,36.229186,126.089806
Quercus_dentata,35.04525,126.465333
Quercus_dentata,36.663189,128.024918
Quercus_dentata,35.765731,128.790206
Quercus_dentata,35.2,126.56
Quercus_dentata,35.48125,128.542222
Quercus_dentata,34.802722,126.067833
Quercus_dentata,37.198389,128.450089
Quercus_dentata,37.070164,128.581797
Quercus_dentata,35.170028,127.148556
Quercus_dentata,35.796336,128.697661
Quercus_dentata,35.201944,126.54
Quercus_dentata,37.413017,128.229089
Quercus_dentata,34.775667,125.951278
Quercus_dentata,35.205556,126.553333
Quercus_dentata,38.195528,127.371778
Quercus_dentata,37.668356,125.709017
Quercus_dentata,37.099408,128.464394
Quercus_dentata,41.761267,140.70088
Quercus_dentata,37.246903,128.142667
Quercus_dentata,38.240167,127.217833
Quercus_dentata,36.351353,126.361922
Quercus_dentata,38.155322,127.909425
Quercus_dentata,37.283214,128.257586
Quercus_dentata,35.265833,126.596111
Quercus_dentata,37.114386,128.369769
Quercus_dentata,37.103772,128.362222
Quercus_dentata,35.273536,128.919253
Quercus_dentata,35.258611,128.286389
Quercus_dentata,35.82635,128.858283
Quercus_dentata,35.299167,128.226667
Quercus_dentata,35.787308,128.681625
Quercus_dentata,36.961194,128.360278
Quercus_dentata,35.2675,126.5975
Quercus_dentata,36.380733,126.419036
Quercus_dentata,38.459083,128.389111
Quercus_dentata,37.327617,128.302319
Quercus_dentata,36.410028,127.716833
Quercus_dentata,34.296139,126.52425
Quercus_dentata,38.158914,128.074542
Quercus_dentata,36.836464,127.552311
Quercus_dentata,37.201989,128.487094
Quercus_dentata,37.039714,128.462186
Quercus_dentata,37.201328,128.732281
Quercus_dentata,36.467278,127.556389
Quercus_dentata,36.834089,127.681283
Quercus_dentata,35.271389,126.607222
Quercus_dentata,35.274683,129.056883
Quercus_dentata,37.235564,128.521589
Quercus_dentata,38.085981,128.095289
Quercus_dentata,37.192289,128.353097
Quercus_dentata,37.240708,128.49135
Quercus_dentata,37.235703,128.165706
Quercus_dentata,35.186722,127.258083
Quercus_dentata,37.602439,128.608808
Quercus_dentata,36.161656,128.975675
Quercus_dentata,37.658119,126.198952
Quercus_dentata,35.8943,128.956669
Quercus_dentata,35.185833,126.552222
Quercus_dentata,35.893506,128.945628
Quercus_dentata,35.608889,126.797778
Quercus_dentata,35.565278,127.281667
Quercus_dentata,36.519139,129.047
Quercus_dentata,37.200747,128.364339
Quercus_dentata,37.059556,129.042806
Quercus_dentata,35.278611,128.230833
Quercus_dentata,35.4505,127.648417
Quercus_dentata,37.674925,125.695236
Quercus_dentata,35.899819,128.955619
Quercus_dentata,35.890919,129.409519
Quercus_dentata,35.196806,128.377778
Quercus_dentata,35.47,128.577083
Quercus_dentata,36.223419,126.072594
Quercus_dentata,35.2025,128.41625
Quercus_dentata,34.354889,126.564139
Quercus_dentata,37.376286,128.304686
Quercus_dentata,36.815106,127.684922
Quercus_dentata,38.473917,128.389583
Quercus_dentata,38.4735,128.431194
Quercus_dentata,38.473889,128.386944
Quercus_dentata,35.261528,128.300278
Quercus_dentata,35.467083,128.533889
Quercus_dentata,37.820056,128.20125
Quercus_dentata,37.068231,128.657369
Quercus_dentata,37.20615,128.464769
Quercus_dentata,38.356944,128.502194
Quercus_dentata,37.263297,128.976147
Quercus_dentata,36.467583,127.572944
Quercus_dentata,37.222639,126.132694
Quercus_dentata,37.212306,126.175806
Quercus_dentata,37.044306,127.562361
Quercus_dentata,37.427878,126.686236
Quercus_dentata,37.144572,127.558536
Quercus_dentata,37.1541,127.4553
Quercus_dentata,36.193056,128.088389
Quercus_dentata,36.204803,126.699642
Quercus_dentata,37.186647,126.919706
Quercus_dentata,37.052753,127.184403
Quercus_dentata,36.159667,126.839792
Quercus_dentata,37.265547,126.474642
Quercus_dentata,37.364972,126.848278
Quercus_dentata,34.64,127.359444
Quercus_dentata,34.947092,127.320806
Quercus_dentata,36.327669,127.478689
Quercus_dentata,37.465889,127.567333
Quercus_dentata,37.394708,126.410653
Quercus_dentata,36.045728,127.329458
Quercus_dentata,34.688833,126.9833
Quercus_dentata,37.144298,127.556058
Quercus_dentata,36.403561,127.297878
Quercus_dentata,34.764472,127.388019
Quercus_dentata,36.247694,127.949944
Quercus_dentata,34.681111,127.4025
Quercus_dentata,40.104167,141.24375
Quercus_dentata,37.14734,127.450348
Quercus_dentata,37.071167,127.573222
Quercus_dentata,36.183639,128.059861
Quercus_dentata,36.192917,128.059639
Quercus_dentata,37.061756,126.934747
Quercus_dentata,34.943189,127.647194
Quercus_dentata,36.402264,127.296686
Quercus_dentata,36.268889,126.609444
Quercus_dentata,34.958383,127.442722
Quercus_dentata,36.404114,127.285542
Quercus_dentata,34.742586,127.716044
Quercus_dentata,36.407456,127.285522
Quercus_dentata,36.308367,126.781244
Quercus_dentata,36.230667,127.242028
Quercus_dentata,36.062739,127.689114
Quercus_dentata,36.302478,127.486406
Quercus_dentata,36.323908,127.483758
Quercus_dentata,37.070539,127.104642
Quercus_dentata,37.068444,127.570528
Quercus_dentata,37.025,127.396667
Quercus_dentata,37.022722,127.390917
Quercus_dentata,36.184056,128.056917
Quercus_dentata,37.144825,127.558867
Quercus_dentata,37.186125,127.015825
Quercus_dentata,36.285,126.956306
Quercus_dentata,34.816381,127.167053
Quercus_dentata,34.815411,127.600389
Quercus_dentata,32.710344,128.657239
Quercus_dentata,37.548083,126.328472
Quercus_dentata,37.068861,127.776306
Quercus_dentata,37.077194,127.748556
Quercus_dentata,37.152861,127.669056
Quercus_dentata,37.010917,127.397583
Quercus_dentata,36.2575,128.599444
Quercus_dentata,34.67845,127.021833
Quercus_dentata,36.212,127.5965
Quercus_dentata,34.721111,127.1775
Quercus_dentata,37.289361,127.604944
Quercus_dentata,36.304722,128.389722
Quercus_dentata,34.92783,128.18663
Quercus_dentata,34.558583,126.878633
Quercus_dentata,36.444692,128.561203
Quercus_dentata,37.055806,127.568056
Quercus_dentata,36.243167,128.142583
Quercus_dentata,36.120383,126.676503
Quercus_dentata,37.136389,126.711667
