Species,Latitude,Longitude
Quercus_deserticola,19.618077,-101.32555
Quercus_deserticola,19.619684,-101.323921
Quercus_deserticola,19.622104,-101.219204
Quercus_deserticola,19.635111,-101.221087
Quercus_deserticola,19.633846,-101.220093
Quercus_deserticola,20.183834,-100.689888
Quercus_deserticola,20.181707,-100.664202
Quercus_deserticola,19.909643,-101.76816
Quercus_deserticola,19.675853,-101.155732
Quercus_deserticola,20.22119,-99.70147
Quercus_deserticola,20.89452,-99.30269
Quercus_deserticola,16.96308,-96.32988
Quercus_deserticola,21.68334,-103.46323
Quercus_deserticola,22.49419,-104.00951
Quercus_deserticola,20.23286,-100.66158
Quercus_deserticola,16.2888,-96.40488
Quercus_deserticola,19.816139,-97.743667
Quercus_deserticola,19.961528,-100.103889
Quercus_deserticola,19.951417,-100.145333
Quercus_deserticola,21.28925,-101.643305
Quercus_deserticola,19.968333,-98.289167
Quercus_deserticola,20.209167,-98.552222
Quercus_deserticola,20.192778,-98.5725
Quercus_deserticola,17.057961,-96.467333
Quercus_deserticola,21.817499,-103.610499
Quercus_deserticola,16.960611,-96.283416
Quercus_deserticola,20.954306,-100.134528
Quercus_deserticola,21.215194,-101.535222
Quercus_deserticola,21.227861,-101.625028
Quercus_deserticola,20.186944,-99.483333
Quercus_deserticola,19.955833,-99.416944
Quercus_deserticola,19.830833,-99.361389
Quercus_deserticola,19.958889,-99.426111
Quercus_deserticola,20.553611,-99.742778
Quercus_deserticola,20.038333,-99.445278
Quercus_deserticola,21.35575,-101.593111
Quercus_deserticola,21.433056,-99.135556
Quercus_deserticola,19.656667,-101.370833
Quercus_deserticola,19.608333,-101.425
Quercus_deserticola,16.912997,-93.057944
Quercus_deserticola,20.091667,-102.925278
Quercus_deserticola,17.255556,-96.491389
Quercus_deserticola,18.982561,-99.487544
Quercus_deserticola,19.630556,-101.333333
Quercus_deserticola,20.408889,-98.706111
Quercus_deserticola,20.035278,-98.624722
Quercus_deserticola,19.633889,-101.325
Quercus_deserticola,18.269583,-97.450583
Quercus_deserticola,17.713222,-97.111861
Quercus_deserticola,20.818333,-100.751944
Quercus_deserticola,19.631111,-101.331389
Quercus_deserticola,18.251861,-97.09875
Quercus_deserticola,19.633889,-101.331389
Quercus_deserticola,19.6389,-101.464
Quercus_deserticola,19.63389,-101.33139
Quercus_deserticola,19.635278,-101.338333
Quercus_deserticola,20.169444,-98.729167
Quercus_deserticola,17.815722,-97.249028
Quercus_deserticola,17.664167,-97.136389
Quercus_deserticola,20.150444,-98.694722
Quercus_deserticola,21.146667,-101.098611
Quercus_deserticola,21.148889,-101.093889
Quercus_deserticola,21.185833,-103.451389
Quercus_deserticola,17.641806,-97.13025
Quercus_deserticola,20.710333,-98.704778
Quercus_deserticola,20.274444,-98.644889
Quercus_deserticola,18.440139,-97.627111
Quercus_deserticola,20.204333,-98.717
Quercus_deserticola,20.242778,-98.73325
Quercus_deserticola,20.241528,-98.726278
Quercus_deserticola,18.029444,-97.555556
Quercus_deserticola,19.975833,-100.13925
Quercus_deserticola,21.184444,-103.5325
Quercus_deserticola,21.745833,-102.708333
Quercus_deserticola,21.74583,-102.70833
Quercus_deserticola,17.536472,-97.435472
Quercus_deserticola,21.5225,-102.795278
Quercus_deserticola,21.091667,-103.475
Quercus_deserticola,21.093717,-103.495978
Quercus_deserticola,20.352778,-100.006667
Quercus_deserticola,18.033333,-97.55
Quercus_deserticola,20.264722,-100.214167
Quercus_deserticola,20.3972,-100.342
Quercus_deserticola,20.425,-100.891667
Quercus_deserticola,19.669833,-101.074667
Quercus_deserticola,21.35,-103.221944
Quercus_deserticola,20.158611,-100.2925
Quercus_deserticola,20.133333,-100.283333
