Species,Latitude,Longitude
Quercus_douglasii,38.756129,-121.245363
Quercus_douglasii,38.753007,-121.237935
Quercus_douglasii,38.756628,-121.25829
Quercus_douglasii,38.639389,-121.218114
Quercus_douglasii,38.757698,-121.224997
Quercus_douglasii,37.949777,-122.136493
Quercus_douglasii,39.514888,-121.454047
Quercus_douglasii,36.493671,-121.189874
Quercus_douglasii,36.47397,-119.019742
Quercus_douglasii,36.473748,-119.015833
Quercus_douglasii,39.678203,-121.566833
Quercus_douglasii,36.496914,-121.192449
Quercus_douglasii,36.472838,-119.015366
Quercus_douglasii,38.980553,-122.530867
Quercus_douglasii,38.948096,-122.35508
Quercus_douglasii,39.77435,-121.781883
Quercus_douglasii,38.976456,-122.524273
Quercus_douglasii,38.967527,-122.340562
Quercus_douglasii,36.363133,-120.832053
Quercus_douglasii,36.216872,-120.826793
Quercus_douglasii,38.955066,-122.345932
Quercus_douglasii,36.498294,-121.193136
Quercus_douglasii,34.447095,-119.684745
Quercus_douglasii,39.668442,-121.561447
Quercus_douglasii,38.949236,-122.340338
Quercus_douglasii,38.944408,-122.342179
Quercus_douglasii,38.949353,-122.337523
Quercus_douglasii,37.235262,-121.878825
Quercus_douglasii,37.918583,-121.943297
Quercus_douglasii,37.894395,-121.999426
Quercus_douglasii,38.393922,-121.992049
Quercus_douglasii,38.453605,-122.639083
Quercus_douglasii,38.978396,-122.385493
Quercus_douglasii,38.977353,-122.381315
Quercus_douglasii,38.559088,-122.232833
Quercus_douglasii,38.628432,-121.433613
Quercus_douglasii,38.37563,-121.98266
Quercus_douglasii,38.376594,-121.985539
Quercus_douglasii,35.025044,-120.281917
Quercus_douglasii,35.301898,-120.231082
Quercus_douglasii,35.374702,-120.37139
Quercus_douglasii,38.646633,-121.215266
Quercus_douglasii,38.651419,-121.217589
Quercus_douglasii,37.235195,-121.88015
Quercus_douglasii,35.108732,-120.072447
Quercus_douglasii,36.495418,-121.205354
Quercus_douglasii,39.642047,-121.557578
Quercus_douglasii,37.148175,-121.78093
Quercus_douglasii,36.523197,-120.832931
Quercus_douglasii,39.774442,-121.772888
Quercus_douglasii,36.478617,-119.007557
Quercus_douglasii,36.382709,-121.547873
Quercus_douglasii,36.533325,-120.836625
Quercus_douglasii,39.088882,-121.298103
Quercus_douglasii,38.5208,-121.0948
Quercus_douglasii,34.72137,-120.083141
Quercus_douglasii,37.333352,-122.108972
Quercus_douglasii,37.9203,-121.9412
Quercus_douglasii,37.238569,-121.879003
Quercus_douglasii,36.432755,-119.028011
Quercus_douglasii,38.82713,-122.349011
Quercus_douglasii,39.795655,-121.722948
Quercus_douglasii,38.827166,-122.349013
Quercus_douglasii,38.8271,-122.348913
Quercus_douglasii,34.750848,-120.055989
Quercus_douglasii,35.290081,-120.474839
Quercus_douglasii,35.475471,-120.329931
Quercus_douglasii,35.286806,-120.474694
Quercus_douglasii,39.792728,-121.726408
Quercus_douglasii,38.440385,-122.649394
Quercus_douglasii,39.120068,-121.27169
Quercus_douglasii,39.295959,-121.184647
Quercus_douglasii,35.737631,-120.891105
Quercus_douglasii,36.483372,-121.184097
Quercus_douglasii,40.283244,-122.125542
Quercus_douglasii,38.659687,-121.006336
Quercus_douglasii,35.46421,-120.326338
Quercus_douglasii,35.397668,-120.283277
Quercus_douglasii,37.911794,-121.891333
Quercus_douglasii,39.766436,-121.78061
Quercus_douglasii,37.194075,-121.835256
Quercus_douglasii,38.42147,-122.653253
Quercus_douglasii,38.699448,-121.43479
Quercus_douglasii,37.954108,-122.13542
Quercus_douglasii,38.562988,-121.392058
Quercus_douglasii,37.158191,-121.777195
Quercus_douglasii,37.189747,-121.827356
Quercus_douglasii,37.822207,-121.784832
Quercus_douglasii,35.459614,-120.433342
Quercus_douglasii,38.406083,-122.046372
Quercus_douglasii,38.877875,-121.066697
Quercus_douglasii,37.935518,-122.111075
Quercus_douglasii,35.401347,-120.280267
Quercus_douglasii,39.713131,-121.732267
Quercus_douglasii,37.465711,-122.279515
Quercus_douglasii,37.465856,-122.279561
Quercus_douglasii,38.961167,-121.165214
Quercus_douglasii,38.275317,-122.254623
Quercus_douglasii,38.746384,-121.023716
Quercus_douglasii,35.453847,-120.690413
Quercus_douglasii,38.951434,-122.908314
Quercus_douglasii,39.314773,-121.021176
Quercus_douglasii,35.586297,-118.550811
Quercus_douglasii,35.763997,-120.837722
Quercus_douglasii,37.320802,-121.659864
Quercus_douglasii,38.498887,-122.636429
Quercus_douglasii,37.408858,-122.229389
Quercus_douglasii,37.403647,-122.220858
Quercus_douglasii,37.306653,-122.18093
Quercus_douglasii,38.703475,-121.110825
Quercus_douglasii,38.414213,-122.18833
Quercus_douglasii,38.28811,-120.769109
Quercus_douglasii,37.457284,-122.300758
Quercus_douglasii,37.5418,-120.014452
Quercus_douglasii,38.356321,-122.518562
Quercus_douglasii,38.354174,-122.51417
Quercus_douglasii,37.879258,-121.949905
Quercus_douglasii,36.285003,-118.778079
Quercus_douglasii,37.819345,-121.792283
Quercus_douglasii,39.127427,-123.16379
Quercus_douglasii,37.064497,-121.446374
Quercus_douglasii,39.478183,-122.85363
Quercus_douglasii,38.508131,-121.048887
Quercus_douglasii,39.534866,-121.590462
Quercus_douglasii,37.545662,-121.82926
Quercus_douglasii,37.886088,-121.9114
Quercus_douglasii,37.822835,-121.787424
Quercus_douglasii,34.965307,-119.161537
Quercus_douglasii,39.766442,-121.780013
Quercus_douglasii,38.94557,-122.909603
Quercus_douglasii,37.22963,-121.918588
Quercus_douglasii,38.627217,-122.329147
Quercus_douglasii,40.251881,-122.261223
Quercus_douglasii,34.83366,-119.608153
Quercus_douglasii,35.789283,-121.306742
Quercus_douglasii,38.692775,-121.185188
Quercus_douglasii,37.119646,-121.550545
Quercus_douglasii,38.484711,-122.718283
Quercus_douglasii,36.462513,-121.192833
Quercus_douglasii,39.777808,-121.765412
Quercus_douglasii,38.44031,-122.649308
Quercus_douglasii,37.399522,-122.160058
Quercus_douglasii,37.518671,-121.558482
Quercus_douglasii,40.630259,-122.340188
Quercus_douglasii,38.355761,-122.551194
Quercus_douglasii,36.481033,-121.11675
Quercus_douglasii,36.432729,-119.028011
Quercus_douglasii,38.120158,-122.547398
Quercus_douglasii,38.119841,-122.547938
Quercus_douglasii,38.524417,-122.36342
Quercus_douglasii,36.483123,-121.173939
Quercus_douglasii,37.199949,-121.865043
Quercus_douglasii,38.234417,-122.143639
Quercus_douglasii,38.583951,-121.398171
Quercus_douglasii,38.63948,-121.236305
Quercus_douglasii,38.441069,-122.651008
Quercus_douglasii,38.279591,-122.243508
Quercus_douglasii,38.275338,-122.254596
Quercus_douglasii,34.686571,-120.050766
Quercus_douglasii,37.146074,-121.788142
Quercus_douglasii,37.334445,-122.107997
Quercus_douglasii,38.101086,-122.491592
Quercus_douglasii,38.548497,-122.815451
Quercus_douglasii,37.459758,-119.939288
Quercus_douglasii,38.61665,-121.312545
Quercus_douglasii,38.590927,-121.014553
Quercus_douglasii,40.159966,-122.260193
Quercus_douglasii,37.191949,-121.837961
Quercus_douglasii,37.938319,-121.989668
Quercus_douglasii,36.512839,-121.133387
Quercus_douglasii,37.870903,-122.262088
Quercus_douglasii,37.91814,-121.940374
Quercus_douglasii,37.917548,-121.940716
Quercus_douglasii,38.979566,-122.532675
Quercus_douglasii,37.918364,-121.943432
Quercus_douglasii,37.862912,-121.929353
Quercus_douglasii,37.918645,-121.941232
Quercus_douglasii,37.918269,-121.939831
Quercus_douglasii,36.490566,-121.182492
Quercus_douglasii,37.808833,-122.167428
Quercus_douglasii,38.999497,-122.355602
Quercus_douglasii,38.652515,-121.216806
Quercus_douglasii,36.211132,-118.801077
Quercus_douglasii,38.38898,-121.98936
Quercus_douglasii,38.127629,-122.521248
Quercus_douglasii,38.697609,-121.129927
Quercus_douglasii,36.431895,-119.027636
Quercus_douglasii,36.432812,-119.028008
Quercus_douglasii,37.887998,-121.93482
Quercus_douglasii,37.171192,-121.775085
Quercus_douglasii,38.694978,-121.116936
Quercus_douglasii,37.475235,-122.284933
Quercus_douglasii,35.439033,-120.331275
Quercus_douglasii,37.865968,-121.933273
Quercus_douglasii,38.516308,-122.152122
Quercus_douglasii,37.86608,-121.933551
Quercus_douglasii,38.476608,-122.142558
Quercus_douglasii,37.866038,-121.933354
Quercus_douglasii,37.866226,-121.933209
Quercus_douglasii,37.147778,-121.774641
Quercus_douglasii,37.918147,-121.940617
Quercus_douglasii,39.211886,-121.277311
