Species,Latitude,Longitude
Quercus_dumosa,32.81714,-117.393059
Quercus_dumosa,32.979356,-117.202605
Quercus_dumosa,33.195067,-117.378737
Quercus_dumosa,33.141457,-117.310622
Quercus_dumosa,32.804518,-117.217188
Quercus_dumosa,33.091279,-117.09215
Quercus_dumosa,32.904006,-117.20483
Quercus_dumosa,33.012552,-117.336749
Quercus_dumosa,32.999164,-117.102154
Quercus_dumosa,32.653264,-117.347011
Quercus_dumosa,31.9285,-116.631921
Quercus_dumosa,31.816494,-116.673413
Quercus_dumosa,32.954896,-117.283665
Quercus_dumosa,32.858139,-117.288573
Quercus_dumosa,32.860115,-117.297814
Quercus_dumosa,32.854162,-117.194032
Quercus_dumosa,31.238394,-116.270694
Quercus_dumosa,31.323596,-116.316031
Quercus_dumosa,32.870335,-117.335337
Quercus_dumosa,32.647746,-117.139127
Quercus_dumosa,33.011982,-117.382561
Quercus_dumosa,32.832009,-117.060868
Quercus_dumosa,33.095821,-117.321424
Quercus_dumosa,32.756578,-117.020016
Quercus_dumosa,32.822844,-117.180117
Quercus_dumosa,32.804645,-117.324434
Quercus_dumosa,33.166891,-117.397879
Quercus_dumosa,32.931059,-117.344488
Quercus_dumosa,32.955464,-117.319506
Quercus_dumosa,32.969539,-117.010491
Quercus_dumosa,32.851633,-117.118619
Quercus_dumosa,33.513017,-117.664497
Quercus_dumosa,32.977061,-117.236986
Quercus_dumosa,32.979015,-117.388092
Quercus_dumosa,32.92368,-117.32605
Quercus_dumosa,32.853372,-117.338367
Quercus_dumosa,32.840786,-117.041765
Quercus_dumosa,33.033357,-117.327208
Quercus_dumosa,32.66202,-117.022472
Quercus_dumosa,33.140576,-117.283208
Quercus_dumosa,31.517204,-116.497024
Quercus_dumosa,33.080436,-117.33155
Quercus_dumosa,31.366275,-116.287178
Quercus_dumosa,32.826039,-117.110103
Quercus_dumosa,32.650801,-117.090161
Quercus_dumosa,32.919264,-117.000277
Quercus_dumosa,33.075125,-117.374497
Quercus_dumosa,32.958894,-117.084628
Quercus_dumosa,31.888057,-116.641744
Quercus_dumosa,31.614093,-116.006835
Quercus_dumosa,32.82864,-117.34426
Quercus_dumosa,32.967158,-117.138383
Quercus_dumosa,32.844363,-117.324664
Quercus_dumosa,33.017791,-117.354023
Quercus_dumosa,33.048918,-117.350182
Quercus_dumosa,32.883713,-117.363618
Quercus_dumosa,33.024685,-117.332334
Quercus_dumosa,32.713222,-117.295733
Quercus_dumosa,32.894311,-117.041686
Quercus_dumosa,32.968307,-117.176943
Quercus_dumosa,33.052157,-117.358073
Quercus_dumosa,32.837116,-117.365169
Quercus_dumosa,32.807992,-117.356153
Quercus_dumosa,32.882313,-117.325535
Quercus_dumosa,33.096422,-117.270062
Quercus_dumosa,32.724713,-117.173216
Quercus_dumosa,32.703085,-117.153374
Quercus_dumosa,32.848089,-117.248119
Quercus_dumosa,32.820595,-117.218795
Quercus_dumosa,32.971312,-117.379466
Quercus_dumosa,33.014488,-117.248787
Quercus_dumosa,32.992358,-117.286407
Quercus_dumosa,32.833086,-117.322927
