Species,Latitude,Longitude
Quercus_durata,38.752258,-121.048603
Quercus_durata,37.46177,-122.281442
Quercus_durata,35.2594,-120.715247
Quercus_durata,35.28904,-120.796257
Quercus_durata,35.346833,-120.633172
Quercus_durata,35.34528,-120.6393
Quercus_durata,37.461453,-122.282403
Quercus_durata,37.967865,-122.646145
Quercus_durata,37.964069,-122.626276
Quercus_durata,35.25747,-120.712563
Quercus_durata,35.28685,-120.628058
Quercus_durata,35.258392,-120.714067
Quercus_durata,35.284369,-120.625076
Quercus_durata,35.243336,-120.700161
Quercus_durata,38.130098,-122.580819
Quercus_durata,37.462608,-122.281128
Quercus_durata,37.461843,-122.280707
Quercus_durata,35.276289,-120.621659
Quercus_durata,35.260758,-120.709913
Quercus_durata,37.461776,-122.281456
Quercus_durata,37.463545,-122.278739
Quercus_durata,35.246639,-120.691638
Quercus_durata,37.456322,-122.248889
Quercus_durata,38.622953,-123.128608
Quercus_durata,35.290212,-120.627354
Quercus_durata,35.288333,-120.627778
Quercus_durata,38.913196,-122.397546
Quercus_durata,35.346316,-120.633301
Quercus_durata,35.819919,-121.323533
Quercus_durata,37.462009,-122.27741
Quercus_durata,39.006698,-122.404874
Quercus_durata,37.408572,-121.410462
Quercus_durata,35.821009,-121.3122
Quercus_durata,37.96775,-122.632916
Quercus_durata,39.227978,-121.041428
Quercus_durata,38.875794,-120.817453
Quercus_durata,37.96287,-122.626315
Quercus_durata,35.355945,-120.654033
Quercus_durata,38.866678,-122.401654
Quercus_durata,35.283264,-120.477975
Quercus_durata,38.845022,-122.385684
Quercus_durata,38.84492,-122.385773
Quercus_durata,38.866648,-122.401667
Quercus_durata,37.461778,-122.281386
Quercus_durata,37.461865,-122.2803
Quercus_durata,39.144347,-122.475014
Quercus_durata,35.315003,-120.655542
Quercus_durata,35.287522,-120.628739
Quercus_durata,35.420443,-120.739748
Quercus_durata,38.136857,-122.611162
Quercus_durata,35.291753,-120.630284
Quercus_durata,35.274417,-120.650706
Quercus_durata,38.137579,-122.61149
Quercus_durata,38.136842,-122.611166
Quercus_durata,37.903183,-121.937888
Quercus_durata,35.259719,-120.711022
Quercus_durata,38.438308,-122.511597
Quercus_durata,35.34474,-120.646046
Quercus_durata,37.896962,-121.924707
Quercus_durata,35.289497,-120.628655
Quercus_durata,35.37554,-120.691063
Quercus_durata,35.250528,-120.698487
Quercus_durata,35.345116,-120.639587
Quercus_durata,35.333593,-120.828183
Quercus_durata,38.862089,-122.401737
Quercus_durata,37.463107,-122.29871
Quercus_durata,35.246956,-120.693826
Quercus_durata,37.953319,-122.616113
Quercus_durata,37.461681,-122.279931
Quercus_durata,38.462905,-122.57142
Quercus_durata,37.964203,-122.626372
Quercus_durata,37.462507,-122.279605
Quercus_durata,38.855555,-122.403938
Quercus_durata,37.464997,-122.279114
Quercus_durata,37.4626,-122.281097
Quercus_durata,37.462228,-122.278625
Quercus_durata,37.464793,-122.279072
Quercus_durata,37.464856,-122.282755
Quercus_durata,38.461625,-122.57225
Quercus_durata,37.962902,-122.622198
Quercus_durata,37.461453,-122.282333
Quercus_durata,37.462611,-122.281258
Quercus_durata,37.963642,-122.623808
Quercus_durata,40.024569,-121.146133
Quercus_durata,37.462058,-122.279053
Quercus_durata,37.461739,-122.279458
Quercus_durata,37.461844,-122.280731
Quercus_durata,37.46505,-122.279083
Quercus_durata,37.933261,-122.595549
Quercus_durata,37.461819,-122.280583
Quercus_durata,37.904075,-121.919983
Quercus_durata,35.252017,-120.707222
Quercus_durata,37.398085,-122.210088
Quercus_durata,37.398072,-122.210556
Quercus_durata,37.193584,-121.957236
Quercus_durata,37.461819,-122.279731
Quercus_durata,34.198055,-118.178826
Quercus_durata,37.457005,-122.249262
Quercus_durata,36.367902,-120.750903
Quercus_durata,37.461738,-122.279908
Quercus_durata,37.95037,-122.616308
Quercus_durata,37.464306,-122.298729
Quercus_durata,37.456399,-122.248051
Quercus_durata,37.207824,-121.989432
Quercus_durata,35.422294,-120.757567
Quercus_durata,37.462056,-122.279083
Quercus_durata,37.1646,-121.731667
Quercus_durata,37.190783,-121.843094
Quercus_durata,38.712792,-123.052247
Quercus_durata,38.857863,-122.415887
Quercus_durata,37.2065,-121.986625
Quercus_durata,38.012169,-122.613819
Quercus_durata,35.354019,-120.669696
Quercus_durata,38.455612,-122.509477
Quercus_durata,37.918261,-122.600725
Quercus_durata,37.918319,-122.600658
Quercus_durata,37.159954,-121.898416
Quercus_durata,37.363399,-122.172866
Quercus_durata,37.464011,-122.266307
Quercus_durata,38.447452,-122.493231
Quercus_durata,38.861741,-122.416824
Quercus_durata,37.95327,-122.616103
Quercus_durata,35.25755,-120.720497
Quercus_durata,34.366081,-118.173139
Quercus_durata,34.281765,-118.167415
Quercus_durata,37.404083,-122.228298
Quercus_durata,38.68653,-122.388572
Quercus_durata,35.329102,-120.608528
Quercus_durata,35.4353,-120.764092
Quercus_durata,35.247345,-120.695191
Quercus_durata,37.461737,-122.27937
Quercus_durata,39.079565,-122.553464
Quercus_durata,38.371708,-122.460433
Quercus_durata,39.823247,-122.652375
Quercus_durata,37.462036,-122.277566
Quercus_durata,37.96315,-122.623262
Quercus_durata,37.456538,-122.24872
Quercus_durata,37.462057,-122.279686
Quercus_durata,37.45657,-122.24893
Quercus_durata,39.888692,-122.633512
Quercus_durata,37.2098,-121.987938
Quercus_durata,38.826887,-122.345603
Quercus_durata,37.21633,-121.717492
Quercus_durata,37.189548,-121.843224
Quercus_durata,38.642478,-122.8581
Quercus_durata,35.242698,-120.710745
Quercus_durata,37.456581,-122.248882
Quercus_durata,37.455803,-122.248283
Quercus_durata,38.438183,-122.511703
Quercus_durata,37.456691,-122.249029
Quercus_durata,38.854725,-122.400513
Quercus_durata,37.903136,-121.919128
Quercus_durata,37.96877,-122.628792
Quercus_durata,38.045985,-122.622906
Quercus_durata,36.344449,-120.950308
Quercus_durata,35.246845,-120.693603
Quercus_durata,35.247745,-120.693679
Quercus_durata,37.208416,-121.803025
Quercus_durata,34.115298,-118.009483
Quercus_durata,39.028092,-122.450653
Quercus_durata,37.203637,-121.983817
Quercus_durata,35.289682,-120.628524
Quercus_durata,37.123947,-121.877841
Quercus_durata,37.456523,-122.248934
Quercus_durata,37.456588,-122.248898
Quercus_durata,37.203167,-121.983635
Quercus_durata,37.461805,-122.28044
Quercus_durata,37.465751,-122.295361
Quercus_durata,38.437478,-122.508209
Quercus_durata,37.464446,-122.281799
Quercus_durata,35.315433,-120.655272
Quercus_durata,37.980903,-122.645332
Quercus_durata,38.854458,-122.672753
Quercus_durata,37.461945,-122.277496
Quercus_durata,38.816237,-122.359145
Quercus_durata,40.033128,-121.222179
Quercus_durata,35.858442,-121.348205
Quercus_durata,36.355897,-120.825103
Quercus_durata,36.362163,-120.831978
Quercus_durata,37.181793,-121.811323
Quercus_durata,37.465003,-122.279037
Quercus_durata,35.281901,-120.639854
Quercus_durata,38.705575,-123.013138
Quercus_durata,38.84803,-122.388471
Quercus_durata,38.7594,-122.75508
Quercus_durata,38.462242,-122.565583
Quercus_durata,38.618394,-123.132505
Quercus_durata,37.455681,-122.248906
Quercus_durata,39.235233,-121.083046
Quercus_durata,35.23207,-120.662088
Quercus_durata,35.375482,-120.688741
Quercus_durata,35.246544,-120.691571
Quercus_durata,35.257423,-120.712604
Quercus_durata,35.259148,-120.712253
Quercus_durata,38.653393,-122.666782
Quercus_durata,35.820093,-121.317514
Quercus_durata,37.208697,-121.797395
Quercus_durata,35.259979,-120.709526
Quercus_durata,39.158733,-122.471475
Quercus_durata,38.56686,-122.68697
Quercus_durata,37.216661,-121.715928
Quercus_durata,38.568153,-122.688853
Quercus_durata,38.568392,-122.688795
Quercus_durata,38.680762,-120.975989
Quercus_durata,38.621044,-123.133372
Quercus_durata,37.173662,-121.859676
Quercus_durata,37.209923,-121.988091
Quercus_durata,37.160083,-121.870772
Quercus_durata,37.409847,-122.233803
Quercus_durata,38.443707,-122.537546
Quercus_durata,37.461382,-122.279829
Quercus_durata,37.456775,-122.249148
Quercus_durata,37.398055,-122.209953
Quercus_durata,37.329479,-121.936406
Quercus_durata,37.17187,-121.856972
Quercus_durata,37.461864,-122.280722
Quercus_durata,35.368248,-120.643521
Quercus_durata,37.916557,-122.603946
Quercus_durata,39.843724,-122.651395
Quercus_durata,37.461788,-122.279726
Quercus_durata,37.398073,-122.210091
Quercus_durata,34.355194,-118.167268
Quercus_durata,37.457067,-122.247537
Quercus_durata,37.398131,-122.209865
Quercus_durata,37.398064,-122.209939
Quercus_durata,38.874245,-120.818345
Quercus_durata,39.819705,-122.647705
Quercus_durata,37.191095,-121.840675
Quercus_durata,37.209718,-121.886697
Quercus_durata,37.19425,-121.957256
Quercus_durata,38.733667,-122.525695
Quercus_durata,37.461933,-122.2769
Quercus_durata,38.680236,-120.976147
Quercus_durata,37.466735,-122.282377
Quercus_durata,38.844177,-123.06813
Quercus_durata,37.213428,-121.788263
Quercus_durata,37.969901,-122.644561
Quercus_durata,34.060987,-118.093373
Quercus_durata,37.157914,-121.898347
Quercus_durata,37.941615,-122.608574
Quercus_durata,37.951165,-122.625922
Quercus_durata,37.940953,-122.603861
Quercus_durata,37.940843,-122.604534
Quercus_durata,37.894067,-121.927697
Quercus_durata,37.421376,-122.390245
Quercus_durata,38.438114,-122.512031
Quercus_durata,38.773888,-121.030834
Quercus_durata,35.254763,-120.712453
Quercus_durata,38.7281,-123.047222
Quercus_durata,38.128128,-122.579483
Quercus_durata,38.884159,-122.889718
Quercus_durata,37.918117,-122.600922
Quercus_durata,37.954527,-122.622752
Quercus_durata,37.46498,-122.279495
Quercus_durata,37.903486,-121.917217
Quercus_durata,38.568508,-122.688893
Quercus_durata,37.461842,-122.276724
Quercus_durata,36.358537,-120.845403
Quercus_durata,37.157645,-121.888332
Quercus_durata,37.461731,-122.279963
Quercus_durata,37.462371,-122.279387
Quercus_durata,38.447556,-122.492842
Quercus_durata,37.936545,-122.613073
Quercus_durata,37.922112,-122.59967
Quercus_durata,37.461855,-122.280691
Quercus_durata,37.456612,-122.248887
Quercus_durata,37.409339,-122.234835
Quercus_durata,37.196977,-121.686754
Quercus_durata,37.402103,-122.218323
Quercus_durata,37.086421,-121.424309
Quercus_durata,37.90052,-121.919603
Quercus_durata,37.901875,-121.919777
Quercus_durata,37.462226,-122.278973
Quercus_durata,37.461727,-122.279793
Quercus_durata,37.465112,-122.279202
Quercus_durata,37.465128,-122.279319
Quercus_durata,37.462112,-122.278563
Quercus_durata,37.208467,-121.809113
Quercus_durata,37.149417,-121.89598
Quercus_durata,37.894058,-121.92755
Quercus_durata,38.845017,-122.385405
Quercus_durata,37.903464,-121.917228
Quercus_durata,37.88173,-121.912679
Quercus_durata,37.963767,-122.625969
Quercus_durata,38.8446,-122.38598
Quercus_durata,37.465141,-122.279198
Quercus_durata,39.064606,-122.511689
Quercus_durata,37.456222,-122.248628
Quercus_durata,37.051594,-121.821901
Quercus_durata,37.208569,-121.809056
Quercus_durata,38.63334,-122.34664
Quercus_durata,37.92232,-122.599669
Quercus_durata,37.181824,-121.811333
Quercus_durata,37.461765,-122.281822
Quercus_durata,37.461749,-122.2814
Quercus_durata,37.195628,-121.964607
Quercus_durata,37.183022,-121.811828
Quercus_durata,38.844622,-122.385987
Quercus_durata,37.461948,-122.277344
Quercus_durata,39.022034,-123.061155
Quercus_durata,38.462265,-122.565352
Quercus_durata,37.962761,-122.622174
Quercus_durata,37.964731,-122.634794
Quercus_durata,36.3698,-120.748445
Quercus_durata,37.46207,-122.27739
Quercus_durata,40.477435,-122.91456
Quercus_durata,37.456107,-122.248521
Quercus_durata,37.203338,-121.983603
Quercus_durata,37.205866,-121.98545
Quercus_durata,38.437189,-122.628136
Quercus_durata,38.471932,-122.57339
Quercus_durata,37.462039,-122.278997
Quercus_durata,34.23356,-118.1842
Quercus_durata,34.21082,-118.12089
Quercus_durata,38.972778,-120.790833
Quercus_durata,38.854829,-122.396813
Quercus_durata,38.707163,-123.013755
Quercus_durata,38.567172,-123.008217
Quercus_durata,38.368818,-122.462628
Quercus_durata,37.462134,-122.278772
Quercus_durata,35.356,-120.65441
Quercus_durata,37.19874,-121.975
Quercus_durata,37.19807,-121.9743
Quercus_durata,37.208088,-121.802405
Quercus_durata,37.203064,-121.983072
Quercus_durata,37.465122,-122.279213
Quercus_durata,38.56849,-122.689
Quercus_durata,37.19355,-121.95948
Quercus_durata,37.465024,-122.279165
Quercus_durata,38.45185,-122.574101
Quercus_durata,37.193357,-121.957086
Quercus_durata,37.19344,-121.95935
Quercus_durata,37.19827,-121.97688
Quercus_durata,37.1983,-121.97531
Quercus_durata,35.254166,-120.693054
Quercus_durata,35.290002,-120.476547
Quercus_durata,37.462125,-122.277686
Quercus_durata,37.462067,-122.277725
Quercus_durata,35.289125,-120.476403
Quercus_durata,38.494871,-122.60864
Quercus_durata,34.304769,-117.269831
Quercus_durata,34.346825,-118.104365
Quercus_durata,35.42335,-120.739953
Quercus_durata,35.345404,-120.643523
Quercus_durata,37.173835,-121.859676
Quercus_durata,37.160305,-121.871264
Quercus_durata,38.844087,-123.067428
Quercus_durata,38.856924,-122.410614
Quercus_durata,38.85694,-122.410517
Quercus_durata,38.856899,-122.41055
Quercus_durata,37.409306,-122.234917
Quercus_durata,37.196588,-121.95881
Quercus_durata,37.157643,-121.89846
Quercus_durata,37.158062,-121.898578
Quercus_durata,35.27748,-120.47673
Quercus_durata,37.956874,-122.60948
Quercus_durata,37.968565,-122.635569
Quercus_durata,36.342585,-120.658433
Quercus_durata,37.164486,-121.7315
Quercus_durata,37.149622,-121.792079
Quercus_durata,37.182248,-121.809223
Quercus_durata,37.462593,-122.281147
Quercus_durata,38.615556,-122.318889
Quercus_durata,37.203212,-121.983428
Quercus_durata,37.209873,-121.987927
Quercus_durata,35.289773,-120.475322
Quercus_durata,38.035478,-122.641363
Quercus_durata,37.894517,-121.929833
Quercus_durata,38.443541,-122.513472
Quercus_durata,37.9688,-122.628828
Quercus_durata,37.46209,-122.27903
Quercus_durata,37.564049,-122.332629
Quercus_durata,37.406955,-122.228042
Quercus_durata,39.83732,-122.66341
Quercus_durata,38.438061,-122.511908
Quercus_durata,37.409347,-122.234792
Quercus_durata,38.133083,-122.578911
Quercus_durata,34.26589999912167,-117.45415
Quercus_durata,37.482578,-122.315675
Quercus_durata,37.175657,-121.864372
Quercus_durata,37.888044,-121.922321
Quercus_durata,37.965295,-122.625931
Quercus_durata,37.465931,-122.2951
Quercus_durata,37.461233,-122.279549
Quercus_durata,37.903808,-121.917642
Quercus_durata,37.462021,-122.280655
Quercus_durata,37.461838,-122.280913
Quercus_durata,38.854174,-122.400702
Quercus_durata,38.462319,-122.565736
Quercus_durata,38.43689,-122.125458
Quercus_durata,37.460938,-122.277824
Quercus_durata,37.384247,-121.462647
Quercus_durata,37.460725,-122.278272
Quercus_durata,37.462593,-122.281248
Quercus_durata,38.567671,-122.688546
Quercus_durata,37.461756,-122.279927
Quercus_durata,37.401809,-122.215383
Quercus_durata,37.964492,-122.625917
Quercus_durata,37.963997,-122.625962
Quercus_durata,37.966575,-122.626506
Quercus_durata,38.128099,-122.579356
Quercus_durata,37.964439,-122.625939
Quercus_durata,37.89398,-121.929145
Quercus_durata,38.621132,-123.133849
Quercus_durata,38.72143,-120.98946
Quercus_durata,39.081789,-123.095345
Quercus_durata,37.922428,-122.60321
Quercus_durata,38.859986,-122.416816
Quercus_durata,37.461681,-122.279443
Quercus_durata,38.572975,-122.696023
Quercus_durata,37.196397,-121.980342
Quercus_durata,37.95648,-122.607712
Quercus_durata,39.028511,-122.451693
Quercus_durata,39.028296,-122.451503
Quercus_durata,39.028347,-122.451387
Quercus_durata,37.195054,-121.968251
Quercus_durata,37.177257,-121.909744
Quercus_durata,38.567721,-122.68679
Quercus_durata,38.567777,-122.686521
Quercus_durata,38.567741,-122.686431
Quercus_durata,38.567738,-122.686708
Quercus_durata,38.567649,-122.687198
Quercus_durata,38.568152,-122.685597
Quercus_durata,38.567764,-122.686505
Quercus_durata,38.567734,-122.686651
Quercus_durata,38.569763,-122.689526
Quercus_durata,37.409425,-122.234663
Quercus_durata,38.56767,-122.687203
Quercus_durata,34.200175,-118.267592
Quercus_durata,38.569785,-122.68942
Quercus_durata,37.953103,-122.625205
Quercus_durata,37.156339,-121.897789
Quercus_durata,36.342028,-120.657985
Quercus_durata,37.46206,-122.277648
Quercus_durata,36.342151,-120.658007
Quercus_durata,38.44319,-122.536265
Quercus_durata,37.461818,-122.279726
Quercus_durata,37.461922,-122.279097
Quercus_durata,34.207111,-118.134111
Quercus_durata,34.20711,-118.13411
Quercus_durata,39.12408,-122.49369
Quercus_durata,37.46254,-122.280402
Quercus_durata,37.467628,-122.292871
Quercus_durata,39.02792,-122.451258
Quercus_durata,37.409358,-122.23468
Quercus_durata,37.982806,-122.60613
Quercus_durata,37.981873,-122.605881
Quercus_durata,37.982597,-122.606072
Quercus_durata,37.982037,-122.606047
Quercus_durata,35.248267,-120.697805
Quercus_durata,36.346462,-120.80914
Quercus_durata,39.224709,-121.035233
Quercus_durata,38.56538,-122.68555
Quercus_durata,37.196812,-121.959206
Quercus_durata,37.193906,-121.957189
Quercus_durata,37.203682,-121.98204
Quercus_durata,37.193804,-121.956975
Quercus_durata,37.193171,-121.957597
Quercus_durata,36.339986,-120.812463
Quercus_durata,38.362778,-122.471389
Quercus_durata,34.17453,-118.98794
Quercus_durata,34.15731,-118.7455
Quercus_durata,34.242727,-117.875832
Quercus_durata,36.36955,-120.746095
Quercus_durata,34.321,-118.007438
Quercus_durata,34.22961,-117.759707
Quercus_durata,36.361797,-120.8292
Quercus_durata,37.89353,-121.928878
Quercus_durata,37.461737,-122.2794
Quercus_durata,37.968946,-122.629338
Quercus_durata,37.039391,-121.999661
Quercus_durata,39.288495,-122.559139
Quercus_durata,37.158828,-121.898157
Quercus_durata,38.76694399907868,-122.33750000000002
Quercus_durata,37.466335,-122.282792
Quercus_durata,34.174658,-117.988348
Quercus_durata,34.22111,-117.725
Quercus_durata,34.16028,-117.79972
Quercus_durata,34.20944,-117.79583
Quercus_durata,34.237778,-117.725
Quercus_durata,38.568382,-122.688438
Quercus_durata,38.465086,-122.560628
Quercus_durata,38.45467,-122.528628
Quercus_durata,38.4629,-122.554471
Quercus_durata,34.20417,-117.76139
Quercus_durata,34.21833,-117.75278
Quercus_durata,37.15881,-121.9016
Quercus_durata,34.204167,-117.761389
Quercus_durata,34.367351,-117.420486
Quercus_durata,38.759838,-121.026505
Quercus_durata,34.27694,-118.21389
Quercus_durata,34.276944,-118.213889
Quercus_durata,37.00017,-121.843122
Quercus_durata,37.964311,-122.625428
Quercus_durata,37.964191,-122.625582
Quercus_durata,38.710117,-122.476395
Quercus_durata,39.028174,-122.45042
Quercus_durata,38.621625,-122.434961
Quercus_durata,38.77305599907863,-122.33944399999999
Quercus_durata,35.27881,-120.47672
Quercus_durata,37.467569,-122.289419
Quercus_durata,37.967672,-122.627117
Quercus_durata,37.964075,-122.625539
Quercus_durata,37.463575,-122.278709
Quercus_durata,37.96767,-122.62711
Quercus_durata,37.96416,-122.62559
Quercus_durata,34.13417,-118.28756
Quercus_durata,34.16333,-117.8775
Quercus_durata,35.29160999910992,-120.48075000000001
Quercus_durata,38.569659,-122.689175
Quercus_durata,38.56837,-122.68819
Quercus_durata,38.871525,-123.463871
Quercus_durata,37.963889,-122.630278
Quercus_durata,34.189686,-118.118972
Quercus_durata,38.466669,-122.559974
Quercus_durata,37.459462,-122.284098
Quercus_durata,38.457833,-122.7615
Quercus_durata,37.011814,-121.658602
Quercus_durata,37.8935,-121.928833
Quercus_durata,35.858453,-121.345961
Quercus_durata,38.56573,-122.68672
Quercus_durata,37.871729,-121.918252
Quercus_durata,38.5655,-122.68518
Quercus_durata,37.465423,-122.279592
Quercus_durata,38.709304,-123.030396
Quercus_durata,38.633534,-122.858175
Quercus_durata,37.209038,-121.891594
Quercus_durata,39.02836,-123.076216
Quercus_durata,38.467534,-122.562275
Quercus_durata,33.92281,-116.99803
Quercus_durata,37.175667,-121.864365
Quercus_durata,38.571457,-122.689919
Quercus_durata,38.568378,-122.687759
Quercus_durata,38.443122,-122.517714
Quercus_durata,37.40524,-122.2421
Quercus_durata,38.563888999080135,-122.405833
Quercus_durata,35.226944,-120.777786
Quercus_durata,34.14667,-117.70889
Quercus_durata,35.22694,-120.77779
Quercus_durata,37.893669,-121.927014
Quercus_durata,37.402457,-122.217735
Quercus_durata,37.403109,-122.21575
Quercus_durata,37.462167,-122.277667
Quercus_durata,33.901694,-116.946111
Quercus_durata,37.894882,-121.929759
Quercus_durata,39.012777999076974,-120.80250000000001
Quercus_durata,34.71998,-119.957033
Quercus_durata,37.462154,-122.278113
Quercus_durata,38.567638,-122.687004
Quercus_durata,35.263783,-120.716383
Quercus_durata,38.564865,-122.685184
Quercus_durata,38.56583,-122.6875
Quercus_durata,34.12944,-118.20472
Quercus_durata,34.14528,-117.82417
Quercus_durata,34.09861,-118.20167
Quercus_durata,34.17278,-118.04611
Quercus_durata,34.18222,-117.97028
Quercus_durata,34.182222,-117.970278
Quercus_durata,38.526667,-122.556389
Quercus_durata,34.37194,-118.46889
Quercus_durata,37.409355,-122.234917
Quercus_durata,34.283611,-118.185556
Quercus_durata,34.28361,-118.18556
Quercus_durata,34.284718,-118.185811
Quercus_durata,37.89397,-121.927513
Quercus_durata,39.74277799907233,-122.609444
Quercus_durata,34.23194,-118.19056
Quercus_durata,34.22278,-118.1875
Quercus_durata,34.23345,-117.9687
Quercus_durata,38.567869,-122.688457
Quercus_durata,39.503610999073786,-121.20361100000001
Quercus_durata,34.24361,-117.95556
Quercus_durata,34.243611,-117.955556
Quercus_durata,34.155,-118.18083
Quercus_durata,38.77278,-121.03833
Quercus_durata,34.24,-117.95278
Quercus_durata,34.715979999116385,-119.94780999999999
Quercus_durata,39.013561,-122.383774
Quercus_durata,39.1130559990763,-122.49555600000001
Quercus_durata,34.18289,-117.95061
Quercus_durata,34.3125,-118.068611
Quercus_durata,34.182864762452446,-117.9512347149412
Quercus_durata,34.17667,-118.01778
Quercus_durata,34.22278,-118.0325
Quercus_durata,34.176667,-118.017778
Quercus_durata,37.962021,-122.619011
Quercus_durata,34.1796,-117.5274
Quercus_durata,34.18611,-117.98778
Quercus_durata,34.15722,-117.89417
Quercus_durata,37.95,-122.61611
Quercus_durata,34.1375,-117.8
Quercus_durata,37.95,-122.6161
Quercus_durata,39.02859499907687,-122.45138
Quercus_durata,34.23472,-117.97083
Quercus_durata,34.216667,-118.15
Quercus_durata,34.234722,-117.970833
Quercus_durata,34.27278,-117.46417
Quercus_durata,34.272778,-117.464167
Quercus_durata,34.12875,-117.74255
Quercus_durata,34.068917,-118.166602
Quercus_durata,37.895783,-121.931132
Quercus_durata,38.53472199908035,-121.75000000000001
Quercus_durata,34.15893499912296,-117.943858
Quercus_durata,34.21464,-118.14833
Quercus_durata,34.214646,-118.148342
Quercus_durata,34.19591,-117.95686
Quercus_durata,34.252120999121836,-118.186524
Quercus_durata,38.75,-122.75
Quercus_durata,39.116667,-123.1
Quercus_durata,38.95,-122.95
Quercus_durata,39.12,-123.1
Quercus_durata,38.87194,-120.81861
Quercus_durata,34.20889,-117.66361
Quercus_durata,34.208889,-117.663611
Quercus_durata,34.20111,-117.66083
Quercus_durata,34.158333,-117.933333
Quercus_durata,39.007916999077004,-122.404833
Quercus_durata,38.36556,-122.46972
Quercus_durata,38.365556,-122.469722
Quercus_durata,38.3656,-122.4697
Quercus_durata,36.33139,-120.57583
Quercus_durata,39.20944399907566,-122.580278
Quercus_durata,34.12264,-117.75762
Quercus_durata,34.123025,-117.758008
Quercus_durata,34.122644,-117.757617
Quercus_durata,39.819167,-122.648055
Quercus_durata,39.819167,-122.648056
Quercus_durata,34.316667,-118.283333
Quercus_durata,34.15,-118.0
Quercus_durata,35.363807,-120.658637
Quercus_durata,37.969829,-122.639158
Quercus_durata,38.0458,-122.6206
Quercus_durata,38.75867680981513,-121.04507431632118
Quercus_durata,38.980564999077195,-122.3777
Quercus_durata,34.18022,-117.88183
Quercus_durata,34.18019,-117.881892
Quercus_durata,35.352449999109254,-120.650217
Quercus_durata,38.3558,-122.4733
Quercus_durata,34.12906,-117.74256
Quercus_durata,34.129056,-117.742556
Quercus_durata,39.837221999071765,-121.58833299999999
Quercus_durata,38.753345999078775,-121.03335799999999
Quercus_durata,39.5175,-121.225
Quercus_durata,34.241667,-117.658333
Quercus_durata,34.24167,-117.65833
Quercus_durata,34.2,-117.675
Quercus_durata,34.27083,-118.15833
Quercus_durata,34.275,-118.158333
Quercus_durata,34.270833,-118.158333
Quercus_durata,34.275,-118.208333
Quercus_durata,39.729167,-123.251389
Quercus_durata,39.01278,-120.8025
Quercus_durata,39.0128,-120.802
Quercus_durata,34.233222,-118.284611
Quercus_durata,34.15167,-117.57861
Quercus_durata,34.15694,-117.86222
Quercus_durata,38.134037,-122.586673
Quercus_durata,35.25,-120.75
Quercus_durata,35.32,-120.67
Quercus_durata,39.0967,-120.7819
Quercus_durata,34.23056,-118.22389
Quercus_durata,34.22917,-118.21944
Quercus_durata,34.230556,-118.223889
Quercus_durata,34.229167,-118.219444
Quercus_durata,34.18536,-118.02286
Quercus_durata,34.185361,-118.022861
Quercus_durata,34.188286,-118.019443
Quercus_durata,34.149306,-118.221611
Quercus_durata,40.241177522126165,-122.90054520846948
Quercus_durata,39.233333,-122.716667
Quercus_durata,38.82102,-122.35487
Quercus_durata,34.23753,-118.27861
Quercus_durata,34.23736,-118.27822
Quercus_durata,34.237361,-118.278222
Quercus_durata,34.236444,-118.280278
Quercus_durata,38.82571979272549,-122.33829011089757
Quercus_durata,38.820667,-122.353333
Quercus_durata,38.821167,-122.353111
Quercus_durata,38.856083,-122.409722
Quercus_durata,38.821222,-122.353389
Quercus_durata,38.820222,-122.353111
Quercus_durata,39.332222,-122.59
Quercus_durata,39.33202976487601,-122.59080293593217
Quercus_durata,34.24161,-118.30119
Quercus_durata,34.20572,-118.24647
Quercus_durata,34.241472,-118.301333
Quercus_durata,34.205722,-118.246472
Quercus_durata,34.241611,-118.301194
Quercus_durata,34.24159999912196,-118.3012
Quercus_durata,39.3322,-122.59
Quercus_durata,39.098611,-122.446944
Quercus_durata,34.21981,-118.30028
Quercus_durata,34.219806,-118.300278
Quercus_durata,34.231889,-118.309111
Quercus_durata,38.808333,-122.322222
Quercus_durata,34.23083,-118.31056
Quercus_durata,34.228937,-118.309641
Quercus_durata,34.18222199912269,-118.275833
Quercus_durata,34.19749999912249,-118.260833
Quercus_durata,34.201110999122456,-118.261944
Quercus_durata,34.216944,-118.281111
Quercus_durata,34.18333,-118.27278
Quercus_durata,34.19833,-118.25917
Quercus_durata,34.20278,-118.26389
Quercus_durata,34.22075,-118.308889
Quercus_durata,34.216861,-118.281083
Quercus_durata,34.203522,-118.264975
Quercus_durata,34.25317,-118.33194
Quercus_durata,34.229297,-118.34095
