Species,Latitude,Longitude
Quercus_eduardi,23.385,-104.509167
Quercus_eduardi,21.400664,-101.660176
Quercus_eduardi,23.82529,-105.253674
Quercus_eduardi,22.217222,-103.657222
Quercus_eduardi,23.580331,-105.331328
Quercus_eduardi,23.711357,-105.035363
Quercus_eduardi,21.783611,-102.531389
Quercus_eduardi,22.631167,-104.221855
Quercus_eduardi,20.686538,-99.804751
Quercus_eduardi,21.920783,-100.324855
Quercus_eduardi,23.288982,-104.185871
Quercus_eduardi,22.178055,-102.643463
Quercus_eduardi,23.235086,-104.611228
Quercus_eduardi,23.36016,-103.72761
Quercus_eduardi,19.96233,-105.33259
Quercus_eduardi,21.59954,-102.05512
Quercus_eduardi,23.3607,-103.67845
Quercus_eduardi,22.82157,-103.03501
Quercus_eduardi,22.98386,-104.58771
Quercus_eduardi,22.904544,-103.868705
Quercus_eduardi,22.99472,-103.91901
Quercus_eduardi,22.40801,-103.61764
Quercus_eduardi,22.90968,-103.37872
Quercus_eduardi,23.21774,-104.21696
Quercus_eduardi,23.17235,-104.2162
Quercus_eduardi,23.24798,-105.10189
Quercus_eduardi,23.79909,-104.76946
Quercus_eduardi,21.6365,-103.60833
Quercus_eduardi,25.276409,-100.230295
Quercus_eduardi,21.437444,-101.437444
Quercus_eduardi,21.322583,-101.545139
Quercus_eduardi,20.95224,-100.07511
Quercus_eduardi,20.638056,-99.279722
Quercus_eduardi,21.28925,-101.643305
Quercus_eduardi,23.264638,-104.080055
Quercus_eduardi,22.536416,-104.205277
Quercus_eduardi,22.005638,-102.785
Quercus_eduardi,20.600833,-98.627222
Quercus_eduardi,21.454694,-100.406694
Quercus_eduardi,22.787222,-103.090833
Quercus_eduardi,22.776111,-103.060833
Quercus_eduardi,22.756667,-103.0675
Quercus_eduardi,21.376694,-101.313333
Quercus_eduardi,21.38875,-101.658139
Quercus_eduardi,21.447944,-100.568944
Quercus_eduardi,21.355056,-101.593111
Quercus_eduardi,21.213278,-101.535305
Quercus_eduardi,21.517222,-101.351389
Quercus_eduardi,20.965833,-100.280972
Quercus_eduardi,20.959778,-100.288222
Quercus_eduardi,20.958889,-100.289944
Quercus_eduardi,21.374194,-101.314639
Quercus_eduardi,21.317972,-101.364167
Quercus_eduardi,20.956889,-100.250472
Quercus_eduardi,21.367028,-101.631667
Quercus_eduardi,20.668333,-99.137222
Quercus_eduardi,22.768889,-103.068611
Quercus_eduardi,22.749722,-103.087222
Quercus_eduardi,22.778333,-103.113055
Quercus_eduardi,20.985833,-101.2525
Quercus_eduardi,23.75028,-103.3825
Quercus_eduardi,20.965278,-102.339444
Quercus_eduardi,20.886667,-100.196944
Quercus_eduardi,21.778056,-103.779167
Quercus_eduardi,21.326944,-101.617222
Quercus_eduardi,21.761944,-102.714167
Quercus_eduardi,21.661667,-102.22
Quercus_eduardi,20.116667,-98.233333
Quercus_eduardi,22.913611,-102.078055
Quercus_eduardi,20.60475,-104.317361
Quercus_eduardi,20.3315,-100.239055
Quercus_eduardi,22.257222,-102.447278
Quercus_eduardi,20.853806,-99.31975
Quercus_eduardi,21.671667,-100.055
Quercus_eduardi,21.67167,-100.055
Quercus_eduardi,24.125,-104.7425
Quercus_eduardi,21.566111,-102.749444
Quercus_eduardi,23.17,-104.371944
Quercus_eduardi,20.147778,-104.538889
Quercus_eduardi,21.561944,-102.766667
Quercus_eduardi,20.242778,-98.73325
Quercus_eduardi,20.638578,-99.975839
Quercus_eduardi,22.71,-103.123333
Quercus_eduardi,21.345833,-103.5575
Quercus_eduardi,20.544444,-98.620555
Quercus_eduardi,22.741944,-102.55
Quercus_eduardi,21.745833,-102.708333
Quercus_eduardi,24.280556,-104.877778
Quercus_eduardi,21.74583,-102.70833
Quercus_eduardi,21.95,-100.616667
Quercus_eduardi,22.226334,-100.554654
Quercus_eduardi,21.085833,-103.548611
Quercus_eduardi,22.358333,-103.591667
Quercus_eduardi,25.41285,-104.25351
Quercus_eduardi,22.36083,-102.27611
Quercus_eduardi,21.728333,-101.658333
Quercus_eduardi,21.668333,-102.228889
Quercus_eduardi,23.755556,-103.767222
Quercus_eduardi,21.356667,-103.219722
Quercus_eduardi,24.735833,-105.008611
Quercus_eduardi,21.35,-103.221944
Quercus_eduardi,21.938889,-100.5
Quercus_eduardi,21.898825,-100.516222
Quercus_eduardi,21.9,-100.533333
Quercus_eduardi,22.77722,-100.29944
Quercus_eduardi,22.55,-100.44861
Quercus_eduardi,22.61806,-100.39861
Quercus_eduardi,22.653889,-104.112778
Quercus_eduardi,21.015,-101.255
Quercus_eduardi,21.358611,-103.214444
Quercus_eduardi,23.7,-100.91
Quercus_eduardi,23.634722,-103.639722
Quercus_eduardi,23.693611,-100.889444
Quercus_eduardi,21.457735,-101.299393
Quercus_eduardi,21.898333,-103.860556
Quercus_eduardi,21.916667,-103.916667
Quercus_eduardi,21.916667,-103.883333
Quercus_eduardi,21.892222,-103.876389
Quercus_eduardi,21.875556,-103.918056
Quercus_eduardi,23.902778,-105.031389
Quercus_eduardi,22.166667,-101.15
Quercus_eduardi,22.175,-101.158333
Quercus_eduardi,18.992222,-98.161111
Quercus_eduardi,23.471944,-103.094167
Quercus_eduardi,22.370556,-103.631667
Quercus_eduardi,21.291667,-99.129444
Quercus_eduardi,22.05,-100.7
Quercus_eduardi,20.867128,-101.071278
Quercus_eduardi,20.62556,-100.48389
Quercus_eduardi,17.511111,-98.043889
Quercus_eduardi,23.513333,-100.831667
Quercus_eduardi,23.544167,-100.868611
Quercus_eduardi,23.683333,-100.883333
Quercus_eduardi,23.1,-97.8
Quercus_eduardi,23.93806,-99.47833
Quercus_eduardi,23.864478,-99.452199
Quercus_eduardi,23.45,-104.3
Quercus_eduardi,25.36,-100.63
Quercus_eduardi,21.158333,-100.936111
Quercus_eduardi,21.477778,-101.219722
Quercus_eduardi,22.085619,-101.16098
Quercus_eduardi,22.091667,-101.008333
Quercus_eduardi,21.908333,-103.041667
Quercus_eduardi,18.950833,-98.750278
Quercus_eduardi,25.45,-100.85
Quercus_eduardi,25.436944,-101.473333
Quercus_eduardi,22.618056,-100.398611
Quercus_eduardi,21.385833,-103.691667
Quercus_eduardi,24.375,-105.425
Quercus_eduardi,21.648889,-102.7525
Quercus_eduardi,23.642222,-100.761667
Quercus_eduardi,22.033333,-100.869444
Quercus_eduardi,24.895,-106.118333
Quercus_eduardi,25.108333,-105.425
Quercus_eduardi,23.939444,-104.706111
Quercus_eduardi,22.68580803136434,-103.73519080812814
Quercus_eduardi,21.691667,-103.175
Quercus_eduardi,20.529167,-98.548055
Quercus_eduardi,23.583333,-104.05
Quercus_eduardi,22.075,-101.075
Quercus_eduardi,24.545,-105.848333
Quercus_eduardi,23.291667,-105.541667
Quercus_eduardi,24.558333,-105.858333
Quercus_eduardi,23.908333,-104.708333
Quercus_eduardi,23.958333,-104.66
Quercus_eduardi,24.805,-104.918333
Quercus_eduardi,23.858333,-104.658333
Quercus_eduardi,24.941667,-104.791667
Quercus_eduardi,23.858333,-104.625
Quercus_eduardi,23.612222,-104.685278
Quercus_eduardi,25.008333,-106.008333
Quercus_eduardi,25.175,-106.341667
Quercus_eduardi,25.008333,-105.958333
Quercus_eduardi,25.175,-106.508333
Quercus_eduardi,24.61,-99.88
Quercus_eduardi,20.642222,-100.995278
Quercus_eduardi,23.941667,-104.691667
Quercus_eduardi,23.341667,-104.425
Quercus_eduardi,23.725,-104.408333
Quercus_eduardi,23.508333,-104.175
Quercus_eduardi,23.641667,-104.375
Quercus_eduardi,20.766194,-101.018956
Quercus_eduardi,23.575,-105.858333
Quercus_eduardi,20.7125,-99.845833
Quercus_eduardi,22.141667,-103.958333
Quercus_eduardi,20.767243108377897,-101.01940197514021
Quercus_eduardi,20.774722,-101.126111
Quercus_eduardi,20.832744,-101.041092
Quercus_eduardi,20.541667,-98.708333
Quercus_eduardi,21.681667,-101.011667
Quercus_eduardi,20.531667,-98.64
Quercus_eduardi,21.056667,-101.168333
Quercus_eduardi,20.592222,-98.760833
Quercus_eduardi,20.533611,-98.639167
Quercus_eduardi,21.666667,-101.0
Quercus_eduardi,21.155,-100.932778
Quercus_eduardi,21.333056,-103.222778
Quercus_eduardi,21.086667,-101.183333
Quercus_eduardi,21.328333,-101.526667
Quercus_eduardi,21.328333,-101.528333
