Species,Latitude,Longitude
Quercus_ellipsoidalis,43.349428,-80.341764
Quercus_ellipsoidalis,43.326978,-80.295837
Quercus_ellipsoidalis,44.7771,-93.16838
Quercus_ellipsoidalis,44.81058,-93.107025
Quercus_ellipsoidalis,47.484317,-94.869025
Quercus_ellipsoidalis,39.613646,-86.106653
Quercus_ellipsoidalis,42.112939,-80.016953
Quercus_ellipsoidalis,42.1133,-80.015617
Quercus_ellipsoidalis,41.481045,-87.535912
Quercus_ellipsoidalis,45.47393,-94.35535
Quercus_ellipsoidalis,41.708476,-87.87843
Quercus_ellipsoidalis,44.773167,-93.188295
Quercus_ellipsoidalis,41.977878,-87.741652
Quercus_ellipsoidalis,43.376539,-80.339295
Quercus_ellipsoidalis,41.625457,-88.079289
Quercus_ellipsoidalis,44.786167,-93.128739
Quercus_ellipsoidalis,43.108482,-80.354647
Quercus_ellipsoidalis,45.091528,-93.039883
Quercus_ellipsoidalis,44.818325,-93.121567
Quercus_ellipsoidalis,43.025213,-80.38381
Quercus_ellipsoidalis,43.265489,-80.203911
Quercus_ellipsoidalis,43.23716,-80.298578
Quercus_ellipsoidalis,44.982747,-92.903155
Quercus_ellipsoidalis,42.074905,-87.774808
Quercus_ellipsoidalis,42.07816,-89.130686
Quercus_ellipsoidalis,42.078563,-89.130173
Quercus_ellipsoidalis,43.255728,-80.338298
Quercus_ellipsoidalis,45.39968,-93.66391
Quercus_ellipsoidalis,45.040115,-92.963062
Quercus_ellipsoidalis,44.936355,-91.291216
Quercus_ellipsoidalis,46.799313,-89.774247
Quercus_ellipsoidalis,43.553662,-89.481395
Quercus_ellipsoidalis,44.999972,-92.781463
Quercus_ellipsoidalis,46.61787,-91.313897
Quercus_ellipsoidalis,44.649193,-84.640865
Quercus_ellipsoidalis,45.00665,-92.780297
Quercus_ellipsoidalis,44.634905,-88.520969
Quercus_ellipsoidalis,44.909787,-92.95381
Quercus_ellipsoidalis,47.536664,-94.835472
Quercus_ellipsoidalis,45.415872,-87.794042
Quercus_ellipsoidalis,44.756817,-92.983428
Quercus_ellipsoidalis,43.947487,-90.044358
Quercus_ellipsoidalis,44.789405,-91.445922
Quercus_ellipsoidalis,44.054463,-90.162845
Quercus_ellipsoidalis,44.213192,-90.614203
Quercus_ellipsoidalis,45.769743,-87.982672
Quercus_ellipsoidalis,43.158865,-80.297372
Quercus_ellipsoidalis,48.592332,-93.149329
Quercus_ellipsoidalis,44.638327,-92.894726
Quercus_ellipsoidalis,45.206299,-93.295247
Quercus_ellipsoidalis,43.228353,-80.333175
Quercus_ellipsoidalis,43.15885,-80.297438
Quercus_ellipsoidalis,44.279044,-89.744528
Quercus_ellipsoidalis,46.507541,-94.272733
Quercus_ellipsoidalis,45.187561,-93.631928
Quercus_ellipsoidalis,45.190438,-93.277692
Quercus_ellipsoidalis,45.812667,-92.631867
Quercus_ellipsoidalis,46.550199,-91.190397
Quercus_ellipsoidalis,46.605175,-91.2083
Quercus_ellipsoidalis,46.551306,-91.191836
Quercus_ellipsoidalis,46.605938,-91.20433
Quercus_ellipsoidalis,46.623137,-91.209386
Quercus_ellipsoidalis,46.606164,-91.203767
Quercus_ellipsoidalis,46.605419,-91.20328
Quercus_ellipsoidalis,46.605981,-91.203516
Quercus_ellipsoidalis,42.085952,-87.864798
Quercus_ellipsoidalis,44.771812,-93.191208
Quercus_ellipsoidalis,45.294417,-93.848297
Quercus_ellipsoidalis,46.61807,-91.214347
Quercus_ellipsoidalis,46.6055,-91.203287
Quercus_ellipsoidalis,45.287712,-92.933518
Quercus_ellipsoidalis,43.015086,-89.52288
Quercus_ellipsoidalis,46.275453,-94.335257
Quercus_ellipsoidalis,44.769523,-92.809618
Quercus_ellipsoidalis,42.817531,-88.398535
Quercus_ellipsoidalis,43.039189,-89.432608
Quercus_ellipsoidalis,45.016613,-92.68768
Quercus_ellipsoidalis,46.426804,-94.321604
Quercus_ellipsoidalis,43.370547,-80.356803
Quercus_ellipsoidalis,43.369472,-80.364108
Quercus_ellipsoidalis,43.370167,-80.358817
Quercus_ellipsoidalis,43.204615,-80.345093
Quercus_ellipsoidalis,44.772175,-93.190758
Quercus_ellipsoidalis,46.461703,-94.097919
Quercus_ellipsoidalis,44.540556,-89.556932
Quercus_ellipsoidalis,43.363495,-80.361617
Quercus_ellipsoidalis,44.518436,-93.158399
Quercus_ellipsoidalis,43.33614,-80.275337
Quercus_ellipsoidalis,48.53972,-93.102469
Quercus_ellipsoidalis,44.689095,-93.277725
Quercus_ellipsoidalis,44.536687,-89.560926
Quercus_ellipsoidalis,44.794138,-93.169333
Quercus_ellipsoidalis,43.297594,-80.340293
Quercus_ellipsoidalis,35.940601,-83.8935
Quercus_ellipsoidalis,43.33615,-80.275311
Quercus_ellipsoidalis,43.336515,-80.275527
Quercus_ellipsoidalis,44.84642,-92.784177
Quercus_ellipsoidalis,43.065846,-80.363068
Quercus_ellipsoidalis,43.081705,-80.290806
Quercus_ellipsoidalis,43.092935,-80.234677
Quercus_ellipsoidalis,43.197609,-80.165102
Quercus_ellipsoidalis,45.500973,-93.715718
Quercus_ellipsoidalis,45.530179,-94.233817
Quercus_ellipsoidalis,44.711353,-93.173088
Quercus_ellipsoidalis,44.815254,-93.327485
Quercus_ellipsoidalis,43.284669,-80.423703
Quercus_ellipsoidalis,43.284519,-80.423681
Quercus_ellipsoidalis,41.829148,-87.890275
Quercus_ellipsoidalis,44.758814,-93.202258
Quercus_ellipsoidalis,41.815994,-88.058636
Quercus_ellipsoidalis,41.977994,-87.741655
Quercus_ellipsoidalis,42.091674,-87.773337
Quercus_ellipsoidalis,42.892776,-80.300835
Quercus_ellipsoidalis,42.898888,-80.296669
Quercus_ellipsoidalis,43.350277,-80.341942
Quercus_ellipsoidalis,41.804592,-87.9924
Quercus_ellipsoidalis,41.772847,-87.8665
Quercus_ellipsoidalis,42.091669,-87.77326
Quercus_ellipsoidalis,43.070001,-89.440457
