Species,Latitude,Longitude
Quercus_elliptica,20.823714,-104.234207
Quercus_elliptica,16.869314,-99.907394
Quercus_elliptica,16.870874,-99.905849
Quercus_elliptica,16.878991,-99.885966
Quercus_elliptica,16.305302,-91.834457
Quercus_elliptica,16.115587,-91.717234
Quercus_elliptica,20.763491,-104.83501
Quercus_elliptica,16.918056,-88.906389
Quercus_elliptica,16.774653,-93.993236
Quercus_elliptica,16.781998,-94.007145
Quercus_elliptica,16.84749,-98.65145
Quercus_elliptica,16.8475,-98.6514
Quercus_elliptica,14.38428,-89.40611
Quercus_elliptica,14.37933,-89.36583
Quercus_elliptica,13.795,-86.242028
Quercus_elliptica,13.718889,-86.525
Quercus_elliptica,14.37619,-89.40706
Quercus_elliptica,17.146694,-99.893139
Quercus_elliptica,17.0748,-98.48586
Quercus_elliptica,17.02897,-98.43999
Quercus_elliptica,16.97508,-98.11344
Quercus_elliptica,15.234889,-92.30525
Quercus_elliptica,14.37986,-89.39372
Quercus_elliptica,17.045722,-98.242111
Quercus_elliptica,16.114487,-91.724708
Quercus_elliptica,16.269004,-93.639264
Quercus_elliptica,16.174477,-93.62178
Quercus_elliptica,17.244694,-95.984778
Quercus_elliptica,17.2145,-95.731555
Quercus_elliptica,13.443889,-88.269722
Quercus_elliptica,13.44394,-88.26983
Quercus_elliptica,16.708944,-94.82125
Quercus_elliptica,17.425305,-100.547972
Quercus_elliptica,16.974222,-95.484639
Quercus_elliptica,17.625944,-96.545639
Quercus_elliptica,16.096231,-91.669887
Quercus_elliptica,16.896347,-92.528434
Quercus_elliptica,17.452361,-96.255583
Quercus_elliptica,17.349806,-96.140444
Quercus_elliptica,17.347417,-96.12875
Quercus_elliptica,17.310389,-96.152944
Quercus_elliptica,17.090056,-95.825944
Quercus_elliptica,18.152611,-96.860111
Quercus_elliptica,17.020806,-95.944944
Quercus_elliptica,13.93847,-88.07642
Quercus_elliptica,13.93972,-88.07167
Quercus_elliptica,17.884917,-96.742139
Quercus_elliptica,17.954306,-96.75075
Quercus_elliptica,15.141806,-92.13775
Quercus_elliptica,19.259722,-103.249444
Quercus_elliptica,16.396111,-97.699694
Quercus_elliptica,18.653575,-97.007769
Quercus_elliptica,13.93333,-88.06667
Quercus_elliptica,18.653556,-97.00775
Quercus_elliptica,16.268528,-95.840889
