Species,Latitude,Longitude
Quercus_emoryi,32.333759,-110.693594
Quercus_emoryi,31.642414,-110.179026
Quercus_emoryi,31.409563,-111.085016
Quercus_emoryi,33.30973,-111.055416
Quercus_emoryi,34.357041,-111.281583
Quercus_emoryi,32.010953,-109.355897
Quercus_emoryi,31.586147,-110.746737
Quercus_emoryi,32.352198,-110.725148
Quercus_emoryi,32.3726,-110.693717
Quercus_emoryi,31.733133,-110.734709
Quercus_emoryi,31.438852,-110.281997
Quercus_emoryi,31.731388,-110.881928
Quercus_emoryi,34.937387,-111.925203
Quercus_emoryi,34.70987,-112.738747
Quercus_emoryi,31.346308,-110.253589
Quercus_emoryi,31.424592,-110.261866
Quercus_emoryi,32.043397,-110.09375
Quercus_emoryi,32.608003,-110.730592
Quercus_emoryi,34.90702,-111.82457
Quercus_emoryi,34.203616,-110.981106
Quercus_emoryi,29.267536,-103.240234
Quercus_emoryi,34.164727,-110.800603
Quercus_emoryi,35.186419,-111.67406
Quercus_emoryi,34.511051,-112.475888
Quercus_emoryi,31.446473,-110.309991
Quercus_emoryi,29.274638,-103.287278
Quercus_emoryi,31.350099,-110.285378
Quercus_emoryi,30.596037,-103.935334
Quercus_emoryi,31.885864,-109.172133
Quercus_emoryi,31.872378,-109.186378
Quercus_emoryi,31.871797,-109.186544
Quercus_emoryi,32.33718,-110.715683
Quercus_emoryi,31.873218,-109.185413
Quercus_emoryi,34.939688,-111.93377
Quercus_emoryi,33.927714,-111.406886
Quercus_emoryi,34.496624,-112.44693
Quercus_emoryi,33.292195,-110.79138
Quercus_emoryi,29.27122,-103.302711
Quercus_emoryi,33.359995,-110.976945
Quercus_emoryi,33.308614,-111.052706
Quercus_emoryi,31.458337,-109.942863
Quercus_emoryi,32.66603,-109.798667
Quercus_emoryi,31.458387,-109.942963
Quercus_emoryi,31.457997,-109.942437
Quercus_emoryi,31.458122,-109.942488
Quercus_emoryi,31.46255,-109.947517
Quercus_emoryi,31.454388,-109.941008
Quercus_emoryi,31.458478,-109.943092
Quercus_emoryi,31.462437,-109.947342
Quercus_emoryi,31.458705,-109.943322
Quercus_emoryi,31.875787,-109.232434
Quercus_emoryi,30.59851,-103.937187
Quercus_emoryi,31.809848,-110.720905
Quercus_emoryi,28.102485,-106.924642
Quercus_emoryi,33.268642,-109.354112
Quercus_emoryi,33.06017,-109.08038
Quercus_emoryi,33.311157,-111.060234
Quercus_emoryi,30.627705,-104.079278
Quercus_emoryi,32.665753,-109.7985
Quercus_emoryi,34.498474,-112.438832
Quercus_emoryi,31.029856,-110.36797
Quercus_emoryi,30.594942,-103.936274
Quercus_emoryi,31.903215,-109.172971
Quercus_emoryi,34.413978,-111.398354
Quercus_emoryi,32.046077,-110.080669
Quercus_emoryi,29.295385,-103.280012
Quercus_emoryi,31.841961,-110.372128
Quercus_emoryi,34.372885,-111.443524
Quercus_emoryi,32.09135,-110.457673
Quercus_emoryi,32.766078,-108.289458
Quercus_emoryi,34.535172,-112.490067
Quercus_emoryi,31.586072,-110.746772
Quercus_emoryi,31.446325,-110.309975
Quercus_emoryi,30.534844,-104.063911
Quercus_emoryi,31.359705,-110.657762
Quercus_emoryi,31.503772,-110.710708
Quercus_emoryi,31.725142,-110.880072
Quercus_emoryi,33.360416,-110.97628
Quercus_emoryi,32.610088,-110.734283
Quercus_emoryi,31.107428,-110.43895
Quercus_emoryi,32.344574,-110.71832
Quercus_emoryi,32.539209,-110.727471
Quercus_emoryi,30.539075,-103.835075
Quercus_emoryi,31.452977,-110.303956
Quercus_emoryi,31.345437,-110.254377
Quercus_emoryi,32.337502,-110.690834
Quercus_emoryi,30.594622,-103.94638
Quercus_emoryi,32.374536,-110.69104
Quercus_emoryi,34.518844,-112.495338
Quercus_emoryi,32.344563,-110.718257
Quercus_emoryi,29.267957,-103.305623
Quercus_emoryi,31.898487,-109.225753
Quercus_emoryi,31.427725,-111.194407
Quercus_emoryi,31.430955,-111.189542
Quercus_emoryi,29.265028,-103.299547
Quercus_emoryi,31.710888,-110.929839
Quercus_emoryi,32.419998,-110.880836
Quercus_emoryi,34.594059,-112.419767
Quercus_emoryi,31.898513,-109.164019
Quercus_emoryi,30.599598,-103.906097
Quercus_emoryi,30.598287,-103.912192
Quercus_emoryi,30.595313,-103.9485
Quercus_emoryi,31.872941,-109.185387
Quercus_emoryi,30.601881,-103.913501
Quercus_emoryi,31.873372,-109.185661
Quercus_emoryi,31.894853,-109.165722
Quercus_emoryi,31.872986,-109.234772
Quercus_emoryi,31.106617,-110.439865
Quercus_emoryi,34.949818,-111.754262
Quercus_emoryi,31.886164,-109.174747
Quercus_emoryi,31.106672,-110.439588
Quercus_emoryi,31.107532,-110.438877
Quercus_emoryi,31.140519,-109.466023
Quercus_emoryi,32.337777,-110.683624
Quercus_emoryi,28.795627,-106.459008
Quercus_emoryi,31.884445,-109.177338
Quercus_emoryi,31.351047,-110.236342
Quercus_emoryi,31.351722,-110.236717
Quercus_emoryi,31.721673,-110.880651
Quercus_emoryi,31.453239,-110.303329
Quercus_emoryi,34.311299,-111.03441
Quercus_emoryi,31.884878,-109.207428
Quercus_emoryi,34.371345,-111.068228
Quercus_emoryi,31.232848,-109.42264
Quercus_emoryi,31.710022,-110.875337
Quercus_emoryi,31.723908,-110.880813
Quercus_emoryi,32.337248,-110.691021
Quercus_emoryi,34.571723,-112.549458
Quercus_emoryi,30.593566,-103.94351
Quercus_emoryi,31.724683,-110.880272
Quercus_emoryi,29.277342,-103.304742
Quercus_emoryi,31.963058,-110.367186
Quercus_emoryi,32.337247,-110.691138
Quercus_emoryi,32.37472,-110.69104
Quercus_emoryi,32.372925,-110.694297
Quercus_emoryi,31.69316,-109.329391
Quercus_emoryi,31.511717,-110.392141
Quercus_emoryi,30.884984,-110.119218
Quercus_emoryi,31.399538,-111.08835
Quercus_emoryi,33.748695,-111.326148
Quercus_emoryi,32.372887,-110.694046
Quercus_emoryi,30.596276,-103.934618
Quercus_emoryi,34.590748,-112.419922
Quercus_emoryi,33.301125,-111.054275
Quercus_emoryi,34.523498,-112.478447
Quercus_emoryi,30.222205,-110.462627
Quercus_emoryi,30.220434,-110.461544
Quercus_emoryi,30.222251,-110.464076
Quercus_emoryi,30.219175,-110.460841
Quercus_emoryi,32.372928,-110.701997
Quercus_emoryi,31.279855,-110.973968
Quercus_emoryi,31.278099,-110.973444
Quercus_emoryi,28.383691,-106.977114
Quercus_emoryi,34.79493,-112.965858
Quercus_emoryi,34.796143,-112.821388
Quercus_emoryi,34.176175,-111.530722
Quercus_emoryi,34.917465,-111.731094
Quercus_emoryi,30.598387,-103.935921
Quercus_emoryi,31.438881,-111.117103
Quercus_emoryi,34.158679,-112.363492
Quercus_emoryi,32.169765,-110.491302
Quercus_emoryi,32.882258,-108.224747
Quercus_emoryi,32.882253,-108.224762
Quercus_emoryi,32.816525,-108.086578
Quercus_emoryi,30.329208,-109.626602
Quercus_emoryi,30.844738,-110.281542
Quercus_emoryi,32.321145,-110.8096
Quercus_emoryi,32.33642,-110.70426
Quercus_emoryi,31.588512,-111.435495
Quercus_emoryi,32.241392,-110.778033
Quercus_emoryi,31.35055,-108.977228
Quercus_emoryi,31.42117,-110.268295
Quercus_emoryi,32.336944,-110.6925
Quercus_emoryi,32.336944,-110.692222
Quercus_emoryi,31.725556,-110.879722
Quercus_emoryi,31.8725,-109.235
Quercus_emoryi,32.344428,-110.718257
Quercus_emoryi,31.466975,-110.295349
Quercus_emoryi,31.713441,-110.873965
Quercus_emoryi,31.884203,-109.206751
Quercus_emoryi,31.939882,-109.216672
Quercus_emoryi,31.892412,-109.166158
Quercus_emoryi,32.007339,-109.312605
Quercus_emoryi,32.007331,-109.312583
Quercus_emoryi,31.003695,-110.383304
Quercus_emoryi,31.897755,-109.164122
Quercus_emoryi,31.955315,-111.612552
Quercus_emoryi,30.707444,-104.003801
Quercus_emoryi,31.425609,-110.449023
Quercus_emoryi,31.10755,-110.436266
Quercus_emoryi,31.107175,-110.43468
Quercus_emoryi,31.914633,-109.144741
Quercus_emoryi,32.007093,-109.312334
Quercus_emoryi,32.373251,-110.702219
Quercus_emoryi,31.418805,-110.428512
Quercus_emoryi,32.045575,-110.081855
Quercus_emoryi,31.810105,-110.395462
Quercus_emoryi,31.809508,-110.392197
Quercus_emoryi,29.303961,-103.264762
Quercus_emoryi,34.739104,-112.144245
Quercus_emoryi,32.18032,-110.650253
Quercus_emoryi,35.185736,-112.398247
Quercus_emoryi,31.414065,-109.888587
Quercus_emoryi,31.356885,-110.2577
Quercus_emoryi,31.342202,-110.262823
Quercus_emoryi,33.92388,-111.420567
Quercus_emoryi,32.304797,-110.611162
Quercus_emoryi,33.92365,-111.420442
Quercus_emoryi,31.414064,-109.888588
Quercus_emoryi,33.928322,-111.403932
Quercus_emoryi,32.606163,-110.770487
Quercus_emoryi,34.414555,-111.518888
Quercus_emoryi,34.45073,-112.526315
Quercus_emoryi,34.21412,-111.897247
Quercus_emoryi,30.598041,-103.91327
Quercus_emoryi,31.111255,-110.428068
Quercus_emoryi,32.337325,-110.691138
Quercus_emoryi,34.505278,-112.476978
Quercus_emoryi,33.297458,-111.056083
Quercus_emoryi,31.41917,-110.272622
Quercus_emoryi,31.470438,-110.300775
Quercus_emoryi,31.470462,-110.299903
Quercus_emoryi,31.470233,-110.3003
Quercus_emoryi,31.421592,-110.265158
Quercus_emoryi,31.44628,-110.311797
Quercus_emoryi,31.421713,-110.2649
Quercus_emoryi,31.470312,-110.3003
Quercus_emoryi,31.539422,-110.375887
Quercus_emoryi,31.54555,-110.371292
Quercus_emoryi,31.546778,-110.370287
Quercus_emoryi,31.532633,-110.37963
Quercus_emoryi,31.457633,-110.300788
Quercus_emoryi,31.380547,-110.253105
