Species,Latitude,Longitude
Quercus_engelmannii,33.178544,-116.982206
Quercus_engelmannii,33.177247,-116.989186
Quercus_engelmannii,33.177158,-116.9905
Quercus_engelmannii,33.175564,-116.983456
Quercus_engelmannii,33.178897,-116.978281
Quercus_engelmannii,33.174936,-116.994761
Quercus_engelmannii,33.515975,-117.370378
Quercus_engelmannii,32.94897,-116.539497
Quercus_engelmannii,32.829486,-116.856917
Quercus_engelmannii,34.13942,-118.056075
Quercus_engelmannii,33.101547,-116.70007
Quercus_engelmannii,33.101172,-116.700278
Quercus_engelmannii,33.101608,-116.699911
Quercus_engelmannii,33.105272,-116.707133
Quercus_engelmannii,33.19845,-116.995008
Quercus_engelmannii,32.828653,-116.856417
Quercus_engelmannii,33.198844,-117.01025
Quercus_engelmannii,33.198478,-116.999411
Quercus_engelmannii,33.197417,-116.994228
Quercus_engelmannii,33.457749,-117.170884
Quercus_engelmannii,33.456246,-117.171055
Quercus_engelmannii,32.824047,-116.863689
Quercus_engelmannii,33.034066,-116.955409
Quercus_engelmannii,33.112715,-116.670817
Quercus_engelmannii,33.122747,-116.672712
Quercus_engelmannii,33.114765,-116.667653
Quercus_engelmannii,32.895989,-116.79698
Quercus_engelmannii,32.819872,-117.052662
Quercus_engelmannii,33.295861,-116.908928
Quercus_engelmannii,33.286954,-116.880683
Quercus_engelmannii,33.295346,-116.910267
Quercus_engelmannii,32.746238,-116.762208
Quercus_engelmannii,32.746342,-116.762437
Quercus_engelmannii,33.015553,-116.821464
Quercus_engelmannii,33.238624,-117.317705
Quercus_engelmannii,32.74609,-116.799457
Quercus_engelmannii,33.024242,-116.804975
Quercus_engelmannii,32.635592,-116.643544
Quercus_engelmannii,33.233499,-116.559995
Quercus_engelmannii,33.646997,-117.689889
Quercus_engelmannii,33.204714,-117.077098
Quercus_engelmannii,33.257233,-116.774742
Quercus_engelmannii,32.973108,-116.673439
Quercus_engelmannii,34.113202,-118.17568
Quercus_engelmannii,33.646969,-117.442058
Quercus_engelmannii,33.101167,-116.702324
Quercus_engelmannii,32.964572,-116.659522
Quercus_engelmannii,33.0194,-116.793817
Quercus_engelmannii,32.841982,-116.640603
Quercus_engelmannii,33.568573,-117.565548
Quercus_engelmannii,33.120636,-116.642053
Quercus_engelmannii,32.840373,-116.907087
Quercus_engelmannii,33.2,-117.3
Quercus_engelmannii,33.042969,-116.682037
Quercus_engelmannii,33.005203,-116.966308
Quercus_engelmannii,33.09783,-116.664245
Quercus_engelmannii,33.022392,-116.800667
Quercus_engelmannii,33.04625,-116.67433
Quercus_engelmannii,32.715731,-117.161097
Quercus_engelmannii,33.114678,-116.667834
Quercus_engelmannii,33.414936,-117.051139
Quercus_engelmannii,33.105953,-116.596808
Quercus_engelmannii,32.726117,-116.725447
Quercus_engelmannii,32.74658,-116.762458
Quercus_engelmannii,32.819595,-117.056602
Quercus_engelmannii,32.999921,-116.925593
Quercus_engelmannii,34.14405,-118.051384
Quercus_engelmannii,33.304042,-116.926278
Quercus_engelmannii,32.963858,-116.657242
Quercus_engelmannii,33.209297,-117.075286
Quercus_engelmannii,33.205308,-117.079094
Quercus_engelmannii,33.0682,-116.749228
Quercus_engelmannii,33.198922,-117.074555
Quercus_engelmannii,32.849004,-117.210064
Quercus_engelmannii,33.124171,-116.671173
Quercus_engelmannii,32.679328,-116.822525
Quercus_engelmannii,33.168044,-117.000831
Quercus_engelmannii,33.168264,-116.996722
Quercus_engelmannii,33.114074,-116.671525
Quercus_engelmannii,34.194445,-118.177437
Quercus_engelmannii,33.114644,-116.672818
Quercus_engelmannii,34.176059,-118.046076
Quercus_engelmannii,33.225011,-117.03961
Quercus_engelmannii,33.01683,-116.693319
Quercus_engelmannii,34.218283,-118.161361
Quercus_engelmannii,32.747783,-116.665773
Quercus_engelmannii,32.965637,-116.656083
Quercus_engelmannii,33.015692,-116.739631
Quercus_engelmannii,33.125843,-116.671389
Quercus_engelmannii,33.536469,-117.28259
Quercus_engelmannii,33.528062,-117.281481
Quercus_engelmannii,33.530098,-117.285202
Quercus_engelmannii,33.0193,-116.794133
Quercus_engelmannii,34.200703,-118.119911
Quercus_engelmannii,33.484537,-117.366638
Quercus_engelmannii,32.828817,-116.857525
Quercus_engelmannii,33.048072,-116.655478
Quercus_engelmannii,34.193421,-118.203791
Quercus_engelmannii,33.662081,-117.426911
Quercus_engelmannii,32.679803,-116.540292
Quercus_engelmannii,34.107708,-118.146592
Quercus_engelmannii,33.120194,-116.665014
Quercus_engelmannii,33.125736,-116.671497
Quercus_engelmannii,33.509525,-117.290437
Quercus_engelmannii,33.50921,-117.28369
Quercus_engelmannii,33.507973,-117.289458
Quercus_engelmannii,33.50863,-117.283734
Quercus_engelmannii,33.103228,-116.783289
Quercus_engelmannii,33.262053,-116.621736
Quercus_engelmannii,33.101863,-116.70411
Quercus_engelmannii,33.512255,-117.279787
Quercus_engelmannii,33.54001,-117.270423
Quercus_engelmannii,33.540122,-117.270463
Quercus_engelmannii,33.072251,-116.540694
Quercus_engelmannii,32.819818,-117.052479
Quercus_engelmannii,33.105064,-116.859673
Quercus_engelmannii,32.653228,-116.707733
Quercus_engelmannii,33.015588,-116.821677
Quercus_engelmannii,33.018334,-116.821942
Quercus_engelmannii,33.018686,-116.821524
Quercus_engelmannii,33.019258,-116.821439
Quercus_engelmannii,33.01866,-116.821632
Quercus_engelmannii,33.018564,-116.821725
Quercus_engelmannii,33.018279,-116.821969
Quercus_engelmannii,33.02018,-116.820913
Quercus_engelmannii,33.017367,-116.805133
Quercus_engelmannii,33.017167,-116.805067
Quercus_engelmannii,32.685752,-116.785685
Quercus_engelmannii,34.097826,-118.200732
Quercus_engelmannii,32.819792,-117.052616
Quercus_engelmannii,32.819349,-117.052496
Quercus_engelmannii,33.540168,-117.270587
Quercus_engelmannii,33.542559,-117.270401
Quercus_engelmannii,32.686262,-116.787432
Quercus_engelmannii,32.653408,-116.708205
Quercus_engelmannii,33.020427,-116.82104
Quercus_engelmannii,33.018667,-116.809783
Quercus_engelmannii,33.030633,-116.77035
Quercus_engelmannii,33.540028,-117.270415
Quercus_engelmannii,32.715113,-116.759645
Quercus_engelmannii,33.018767,-116.8054
Quercus_engelmannii,33.022283,-116.801517
Quercus_engelmannii,33.022325,-116.80069
Quercus_engelmannii,33.172182,-117.050074
Quercus_engelmannii,33.662067,-117.426831
Quercus_engelmannii,33.357645,-117.245217
Quercus_engelmannii,33.173015,-117.041703
Quercus_engelmannii,33.362755,-117.20347
Quercus_engelmannii,33.191162,-117.048779
Quercus_engelmannii,33.072517,-117.226723
Quercus_engelmannii,33.024476,-116.690846
Quercus_engelmannii,33.3839,-117.26946
Quercus_engelmannii,33.048047,-116.653637
Quercus_engelmannii,33.167125,-117.052697
Quercus_engelmannii,33.016194,-117.025703
Quercus_engelmannii,33.078669,-117.137703
Quercus_engelmannii,33.233036,-116.552963
Quercus_engelmannii,33.528091,-117.282666
Quercus_engelmannii,33.022513,-116.960995
Quercus_engelmannii,33.03658,-116.95211
Quercus_engelmannii,33.173775,-117.050889
