Species,Latitude,Longitude
Quercus_eugeniifolia,19.699722,-96.820278
Quercus_eugeniifolia,10.19841,-84.38112
Quercus_eugeniifolia,19.862222,-97.318889
Quercus_eugeniifolia,19.678611,-96.8525
Quercus_eugeniifolia,9.738889,-84.177778
Quercus_eugeniifolia,9.738889,-84.17778
Quercus_eugeniifolia,17.69027,-96.55194
Quercus_eugeniifolia,18.161972,-96.856417
Quercus_eugeniifolia,9.601084,-84.35221
Quercus_eugeniifolia,9.705556,-84.019444
Quercus_eugeniifolia,9.705556,-84.01944
Quercus_eugeniifolia,21.169167,-98.917222
Quercus_eugeniifolia,19.92,-97.391667
Quercus_eugeniifolia,9.688889,-84.019444
Quercus_eugeniifolia,19.898333,-97.478333
Quercus_eugeniifolia,19.896667,-97.626667
Quercus_eugeniifolia,21.031389,-98.637778
Quercus_eugeniifolia,20.75,-98.7075
Quercus_eugeniifolia,21.048056,-98.653889
Quercus_eugeniifolia,21.163889,-98.900833
Quercus_eugeniifolia,20.638889,-98.620833
Quercus_eugeniifolia,17.677222,-96.545555
Quercus_eugeniifolia,20.760833,-98.709722
Quercus_eugeniifolia,20.761944,-98.723889
Quercus_eugeniifolia,20.711111,-98.695278
Quercus_eugeniifolia,20.761944,-98.707222
Quercus_eugeniifolia,17.341667,-96.275
Quercus_eugeniifolia,20.755278,-98.707222
Quercus_eugeniifolia,17.648333,-96.5275
Quercus_eugeniifolia,17.649444,-96.528611
Quercus_eugeniifolia,20.771944,-98.705556
Quercus_eugeniifolia,20.635,-98.61
Quercus_eugeniifolia,20.324167,-98.212222
Quercus_eugeniifolia,17.670278,-96.557778
Quercus_eugeniifolia,17.662222,-96.553889
Quercus_eugeniifolia,17.643611,-96.528611
Quercus_eugeniifolia,17.648333,-96.527222
Quercus_eugeniifolia,17.646667,-96.523889
Quercus_eugeniifolia,17.668889,-96.545278
Quercus_eugeniifolia,17.669167,-96.540278
Quercus_eugeniifolia,20.3275,-98.210278
Quercus_eugeniifolia,20.321944,-98.201667
Quercus_eugeniifolia,20.3025,-98.218889
Quercus_eugeniifolia,20.318889,-98.231667
Quercus_eugeniifolia,20.328611,-98.198333
Quercus_eugeniifolia,20.991667,-98.608333
Quercus_eugeniifolia,20.975,-98.558333
Quercus_eugeniifolia,20.983056,-98.615556
Quercus_eugeniifolia,19.941667,-97.958333
Quercus_eugeniifolia,20.03111,-97.90139
Quercus_eugeniifolia,20.031944,-97.900833
Quercus_eugeniifolia,20.032592,-97.903558
Quercus_eugeniifolia,19.575,-96.977778
Quercus_eugeniifolia,14.54166,-88.68333
Quercus_eugeniifolia,10.927222,-85.493889
Quercus_eugeniifolia,19.808333,-97.391667
Quercus_eugeniifolia,19.8,-97.383333
Quercus_eugeniifolia,20.125,-98.108333
Quercus_eugeniifolia,19.8,-97.38333
Quercus_eugeniifolia,9.8,-83.966667
Quercus_eugeniifolia,9.717222,-83.949444
Quercus_eugeniifolia,17.133333,-96.0
Quercus_eugeniifolia,15.22,-92.3
Quercus_eugeniifolia,20.108333,-97.55
Quercus_eugeniifolia,16.455278,-91.805
Quercus_eugeniifolia,20.751389,-98.588333
Quercus_eugeniifolia,19.167778,-96.938056
Quercus_eugeniifolia,17.398333,-96.413889
Quercus_eugeniifolia,16.102222,-91.676111
Quercus_eugeniifolia,19.189604,-96.955043
Quercus_eugeniifolia,17.431944,-96.427778
Quercus_eugeniifolia,16.7375,-96.678889
Quercus_eugeniifolia,15.341667,-92.625
Quercus_eugeniifolia,20.250833,-98.07
Quercus_eugeniifolia,19.738333,-96.45
Quercus_eugeniifolia,9.916389,-84.029444
Quercus_eugeniifolia,14.699722,-90.608889
Quercus_eugeniifolia,9.83198,-84.02937
Quercus_eugeniifolia,20.270833,-98.162778
Quercus_eugeniifolia,10.184638,-84.22986
Quercus_eugeniifolia,19.919769791934197,-97.60784911925296
Quercus_eugeniifolia,23.030278,-99.158611
Quercus_eugeniifolia,20.1375,-98.022222
Quercus_eugeniifolia,14.35,-89.15
Quercus_eugeniifolia,14.0667,-88.8833
Quercus_eugeniifolia,19.54,-96.9275
Quercus_eugeniifolia,17.648333,-96.560556
Quercus_eugeniifolia,17.700833,-96.543333
Quercus_eugeniifolia,18.204722,-96.845833
Quercus_eugeniifolia,17.665556,-96.56
Quercus_eugeniifolia,9.921667,-84.081667
