Species,Latitude,Longitude
Quercus_fabri,28.53756,106.395044
Quercus_fabri,26.361564,108.160606
Quercus_fabri,30.266667,108.016667
Quercus_fabri,26.266108,107.525074
Quercus_fabri,30.353794,119.436458
Quercus_fabri,28.433333,110.4
Quercus_fabri,27.701,117.752
Quercus_fabri,23.75,121.633333
Quercus_fabri,27.75,118.03
Quercus_fabri,32.083333,118.75
Quercus_fabri,30.09,117.02
Quercus_fabri,25.17,110.35
Quercus_fabri,26.72,110.63
Quercus_fabri,29.61,115.99
Quercus_fabri,28.13,106.82
Quercus_fabri,28.55,107.44
Quercus_fabri,26.43,110.85
Quercus_fabri,29.34,115.97
Quercus_fabri,28.292516,117.245493
Quercus_fabri,29.010101,114.41263
Quercus_fabri,28.26005,117.069218
Quercus_fabri,28.56,108.5
Quercus_fabri,30.0,107.79
Quercus_fabri,28.07,109.56
Quercus_fabri,29.33,108.24
Quercus_fabri,30.29,109.47
Quercus_fabri,27.03,108.19
Quercus_fabri,29.35,107.61
Quercus_fabri,29.0,109.85
Quercus_fabri,28.45,110.39
Quercus_fabri,29.68,107.28
Quercus_fabri,30.02,108.18
Quercus_fabri,27.51,108.23
Quercus_fabri,29.854053,117.71739
Quercus_fabri,29.786224,118.182474
Quercus_fabri,31.526047,120.31968
Quercus_fabri,32.04727,118.567479
Quercus_fabri,29.48,119.33
Quercus_fabri,29.69,111.02
Quercus_fabri,28.25,121.02
Quercus_fabri,25.46,105.28
Quercus_fabri,29.91,102.23
Quercus_fabri,27.810279,114.676044
Quercus_fabri,32.1,114.08
Quercus_fabri,31.79,115.4
Quercus_fabri,29.42,111.13
Quercus_fabri,32.637983,103.59895
Quercus_fabri,30.19,119.36
Quercus_fabri,32.055645,118.797741
Quercus_fabri,28.38,114.78
Quercus_fabri,26.58,114.1
Quercus_fabri,26.64,118.18
Quercus_fabri,32.05,118.79
Quercus_fabri,24.68123,105.334672
Quercus_fabri,24.345875,105.313869
Quercus_fabri,28.270105,105.109559
Quercus_fabri,26.837264,116.325752
Quercus_fabri,33.57587,102.961829
Quercus_fabri,25.79,114.53
Quercus_fabri,25.681882,114.30827
Quercus_fabri,26.587146,114.100817
