Species,Latitude,Longitude
Quercus_falcata,39.018228,-76.44658
Quercus_falcata,39.851722,-75.194525
Quercus_falcata,39.014986,-76.448786
Quercus_falcata,30.286317,-84.217385
Quercus_falcata,35.0,-96.9
Quercus_falcata,38.588613,-77.376958
Quercus_falcata,39.606736,-75.166032
Quercus_falcata,38.784858,-75.099615
Quercus_falcata,33.940912,-81.036408
Quercus_falcata,30.399373,-88.753576
Quercus_falcata,38.038393,-78.49744
Quercus_falcata,32.541922,-92.32058
Quercus_falcata,38.982433,-76.950242
Quercus_falcata,35.723408,-79.100608
Quercus_falcata,33.973567,-83.731283
Quercus_falcata,34.952268,-85.349509
Quercus_falcata,31.073563,-95.163727
Quercus_falcata,35.472598,-82.559049
Quercus_falcata,33.227328,-79.478519
Quercus_falcata,36.417459,-90.626267
Quercus_falcata,35.970663,-90.719393
Quercus_falcata,35.689469,-91.612281
Quercus_falcata,35.250043,-79.368935
Quercus_falcata,33.231984,-79.517893
Quercus_falcata,35.028647,-85.135186
Quercus_falcata,39.864211,-74.61099
Quercus_falcata,29.674336,-82.417246
Quercus_falcata,34.317789,-77.948431
Quercus_falcata,35.836267,-78.75795
Quercus_falcata,38.969437,-77.732155
Quercus_falcata,32.660459,-94.116723
Quercus_falcata,37.388677,-77.576687
Quercus_falcata,37.390342,-77.575988
Quercus_falcata,35.147495,-81.340662
Quercus_falcata,36.614997,-87.268913
Quercus_falcata,33.796997,-84.314679
Quercus_falcata,37.388889,-77.576838
Quercus_falcata,37.388683,-77.57663
Quercus_falcata,35.822806,-90.712424
Quercus_falcata,30.579278,-95.123567
Quercus_falcata,37.388756,-77.576758
Quercus_falcata,38.979991,-77.363259
Quercus_falcata,40.124731,-74.785881
Quercus_falcata,33.304983,-86.75676
Quercus_falcata,38.877328,-77.093619
Quercus_falcata,30.398803,-88.756172
Quercus_falcata,39.839168,-74.037413
Quercus_falcata,39.871559,-74.16655
Quercus_falcata,37.307102,-78.404073
Quercus_falcata,35.972145,-79.097497
Quercus_falcata,34.776076,-76.75854
Quercus_falcata,37.30557,-78.40485
Quercus_falcata,37.302097,-78.39194
Quercus_falcata,35.921176,-78.93098
Quercus_falcata,36.083914,-79.797843
Quercus_falcata,29.660925,-81.953008
Quercus_falcata,30.297991,-95.926424
Quercus_falcata,35.885569,-78.910717
Quercus_falcata,32.533088,-86.194337
Quercus_falcata,33.990844,-83.493521
Quercus_falcata,30.297977,-95.929075
Quercus_falcata,39.122644,-74.816174
Quercus_falcata,29.566893,-95.125254
Quercus_falcata,30.594695,-84.183437
Quercus_falcata,33.838967,-84.268397
Quercus_falcata,31.369778,-85.833734
Quercus_falcata,33.839836,-84.262889
Quercus_falcata,35.977182,-79.014107
Quercus_falcata,39.041597,-77.033795
Quercus_falcata,36.614247,-87.31637
Quercus_falcata,35.48806,-82.58492
Quercus_falcata,34.837792,-85.338406
Quercus_falcata,38.891006,-77.133269
Quercus_falcata,35.797963,-78.763166
Quercus_falcata,35.516338,-82.420064
