Species,Latitude,Longitude
Quercus_frainetto,50.81943,4.75095
Quercus_frainetto,50.81918,4.75089
Quercus_frainetto,40.403562,15.264862
Quercus_frainetto,46.436274,21.763048
Quercus_frainetto,51.06584,3.68197
Quercus_frainetto,51.06594,3.68199
Quercus_frainetto,39.723486,21.629923
Quercus_frainetto,50.126633,8.657827
Quercus_frainetto,51.75,5.5
Quercus_frainetto,50.92979,4.07896
Quercus_frainetto,41.119728,26.232258
Quercus_frainetto,40.18111,21.875561
Quercus_frainetto,40.199169,21.787781
Quercus_frainetto,40.385281,23.44972
Quercus_frainetto,40.389172,23.524719
Quercus_frainetto,40.436111,23.44722
Quercus_frainetto,40.272499,22.096109
Quercus_frainetto,51.616657,7.950153
Quercus_frainetto,52.7,6.4
Quercus_frainetto,51.00474,5.52649
Quercus_frainetto,39.870472,20.7777
Quercus_frainetto,54.091347,12.094231
Quercus_frainetto,41.065736,20.805038
Quercus_frainetto,49.996624,8.415104
Quercus_frainetto,39.26635,16.281011
Quercus_frainetto,42.571294,11.437873
Quercus_frainetto,52.6,4.7
Quercus_frainetto,37.324169,22.540831
Quercus_frainetto,37.281391,22.50889
Quercus_frainetto,37.3125,22.510281
Quercus_frainetto,49.24307,2.38205
Quercus_frainetto,52.05,5.2
Quercus_frainetto,50.92977,4.07892
Quercus_frainetto,48.109192,11.459439
Quercus_frainetto,43.58493,20.917487
Quercus_frainetto,44.652481,19.42062
Quercus_frainetto,44.655644,19.45132
Quercus_frainetto,39.722563,21.632392
Quercus_frainetto,51.95,4.1
Quercus_frainetto,42.053474,27.901648
Quercus_frainetto,42.23735,27.775497
Quercus_frainetto,39.74028,20.93861
Quercus_frainetto,47.49489,19.041185
Quercus_frainetto,41.0978,24.7453
Quercus_frainetto,41.365829,23.88917
Quercus_frainetto,46.112339,21.806574
Quercus_frainetto,39.663974,26.953581
Quercus_frainetto,51.95,5.65
Quercus_frainetto,40.41556,16.198604
Quercus_frainetto,52.5,4.95
Quercus_frainetto,42.47649,11.460245
Quercus_frainetto,50.95739,5.40007
Quercus_frainetto,51.55,4.6
Quercus_frainetto,51.515259,7.542286
Quercus_frainetto,51.25,3.9
Quercus_frainetto,51.5,4.85
Quercus_frainetto,52.0,6.3
Quercus_frainetto,51.9,4.2
Quercus_frainetto,50.662521,12.193022
Quercus_frainetto,37.385548,22.07073
Quercus_frainetto,37.352154,22.105255
Quercus_frainetto,51.258611,5.309444
Quercus_frainetto,51.510628,7.46439
Quercus_frainetto,55.545,37.500667
Quercus_frainetto,47.46905,18.932247
Quercus_frainetto,52.25,6.95
Quercus_frainetto,40.01823,16.40227
Quercus_frainetto,42.577018,11.443871
Quercus_frainetto,37.306335,-8.55787
Quercus_frainetto,38.576668,26.01823
Quercus_frainetto,41.68421,25.811548
Quercus_frainetto,50.83277,3.31135
Quercus_frainetto,51.95,5.95
Quercus_frainetto,51.45,5.1
Quercus_frainetto,42.205547,19.094978
Quercus_frainetto,50.41518,8.985529
Quercus_frainetto,50.831944,3.315
Quercus_frainetto,49.016586,8.400764
Quercus_frainetto,53.715046,9.777231
Quercus_frainetto,43.174656,13.124313
Quercus_frainetto,47.97051,0.16968
Quercus_frainetto,63.434,10.671
Quercus_frainetto,53.87925,10.703259
Quercus_frainetto,40.246181,24.242647
Quercus_frainetto,53.057301,14.9102
Quercus_frainetto,51.480526,7.466927
Quercus_frainetto,48.17917,16.39722
Quercus_frainetto,38.494852,16.378462
Quercus_frainetto,51.131668,14.671667
Quercus_frainetto,38.76,-9.09
Quercus_frainetto,41.251671,24.20639
Quercus_frainetto,40.840279,23.53056
Quercus_frainetto,41.35833,24.191111
Quercus_frainetto,41.336109,24.205561
Quercus_frainetto,41.29306,24.21583
Quercus_frainetto,47.984349,20.634586
Quercus_frainetto,50.96138,5.37586
Quercus_frainetto,47.517723,10.280628
Quercus_frainetto,49.5,8.5
Quercus_frainetto,39.497219,22.237221
Quercus_frainetto,40.164169,22.245279
Quercus_frainetto,39.930561,22.35667
Quercus_frainetto,49.63,6.14
Quercus_frainetto,40.159722,21.259444
Quercus_frainetto,39.232222,21.790278
Quercus_frainetto,39.23222,21.790279
Quercus_frainetto,40.159721,21.259439
Quercus_frainetto,38.987222,21.837222
Quercus_frainetto,39.011944,21.881944
Quercus_frainetto,42.07056,27.95611
Quercus_frainetto,39.01194,21.881941
Quercus_frainetto,38.987221,21.837219
Quercus_frainetto,40.43,21.5
Quercus_frainetto,40.4328,21.5025
Quercus_frainetto,39.98,21.37
Quercus_frainetto,39.9825,21.3731
Quercus_frainetto,43.774167,19.406667
Quercus_frainetto,51.8,5.8
Quercus_frainetto,40.838333,22.508611
Quercus_frainetto,40.478056,22.345556
Quercus_frainetto,41.255,22.969722
Quercus_frainetto,40.811944,22.498611
Quercus_frainetto,41.200833,22.892222
Quercus_frainetto,40.547222,22.447778
Quercus_frainetto,41.1325,22.906111
Quercus_frainetto,40.838329,22.50861
Quercus_frainetto,41.255001,22.969721
Quercus_frainetto,41.200829,22.89222
Quercus_frainetto,40.547218,22.447781
Quercus_frainetto,40.811939,22.49861
Quercus_frainetto,40.478062,22.34556
Quercus_frainetto,39.12278,21.81722
Quercus_frainetto,51.02405,3.6492
Quercus_frainetto,51.424192,-0.230937
Quercus_frainetto,42.152778,27.819444
Quercus_frainetto,56.660408,16.354771
Quercus_frainetto,42.488061,11.371258
Quercus_frainetto,48.60767,7.81829
Quercus_frainetto,44.247463,19.927118
Quercus_frainetto,42.489746,11.353641
Quercus_frainetto,43.3,-2.19
Quercus_frainetto,42.397728,11.374771
Quercus_frainetto,39.754167,21.539444
Quercus_frainetto,39.754169,21.53944
Quercus_frainetto,51.01,-1.42
