Species,Latitude,Longitude
Quercus_fulva,23.573742,-105.848851
Quercus_fulva,22.98787,-104.40927
Quercus_fulva,22.94408,-104.35449
Quercus_fulva,22.663888,-104.745277
Quercus_fulva,27.571249,-108.156187
Quercus_fulva,20.800062,-103.852483
Quercus_fulva,25.44806,-100.56628
Quercus_fulva,25.208889,-105.142778
Quercus_fulva,25.3375,-100.920833
Quercus_fulva,24.075137,-104.547825
Quercus_fulva,23.48611,-105.84556
Quercus_fulva,23.48583,-105.84583
Quercus_fulva,23.49167,-105.84167
Quercus_fulva,23.575,-105.85
Quercus_fulva,27.6025,-107.820833
Quercus_fulva,28.164444,-108.193611
Quercus_fulva,28.375278,-107.794167
Quercus_fulva,29.158056,-108.400833
Quercus_fulva,28.324722,-108.26
Quercus_fulva,27.964139,-107.712639
Quercus_fulva,29.152222,-108.400833
Quercus_fulva,29.331667,-108.432222
Quercus_fulva,28.37528,-107.79417
Quercus_fulva,28.16444,-108.19361
Quercus_fulva,29.33194,-108.42444
Quercus_fulva,27.3,-107.541667
Quercus_fulva,20.903046665371807,-100.20013411635236
Quercus_fulva,25.3526833478833,-100.59240845259923
Quercus_fulva,25.441667,-100.508333
Quercus_fulva,25.43333,-100.5
Quercus_fulva,25.316667,-100.433333
Quercus_fulva,25.31667,-100.43333
Quercus_fulva,24.091667,-105.508333
Quercus_fulva,23.236389,-105.843055
Quercus_fulva,29.705,-108.281667
Quercus_fulva,29.783333,-108.319444
Quercus_fulva,23.011667,-104.305
Quercus_fulva,22.975,-104.441667
Quercus_fulva,22.333333,-104.75
Quercus_fulva,22.495,-104.765
Quercus_fulva,25.241667,-105.875
Quercus_fulva,25.541667,-106.408333
Quercus_fulva,25.391667,-106.091667
Quercus_fulva,23.380278,-105.363333
Quercus_fulva,23.483333,-105.85
Quercus_fulva,22.908333,-104.608333
Quercus_fulva,23.561667,-105.838333
Quercus_fulva,23.549265581917044,-105.84431625416921
Quercus_fulva,22.3,-104.716667
Quercus_fulva,23.581437228353224,-105.83988930428569
Quercus_fulva,23.411667,-105.041667
Quercus_fulva,23.175,-105.125
Quercus_fulva,23.175,-105.141667
Quercus_fulva,23.425,-105.041667
Quercus_fulva,23.441667,-105.008333
Quercus_fulva,20.475,-105.116667
Quercus_fulva,23.258333,-105.108333
Quercus_fulva,26.4167,-107.283
Quercus_fulva,26.746386040033666,-106.72559546975215
Quercus_fulva,23.486667,-105.841667
Quercus_fulva,23.481389,-105.8425
Quercus_fulva,23.481944,-105.839167
Quercus_fulva,23.48639,-105.84222
Quercus_fulva,23.45,-105.85
Quercus_fulva,23.091667,-104.641667
Quercus_fulva,21.308333,-102.841667
Quercus_fulva,21.313889,-102.809444
Quercus_fulva,21.166667,-102.883333
Quercus_fulva,23.508333,-105.375
Quercus_fulva,23.5,-105.366667
Quercus_fulva,20.677222,-104.283333
Quercus_fulva,22.265833,-104.500556
Quercus_fulva,22.53268350104809,-104.31945486521971
Quercus_fulva,22.744960079041036,-104.09966064190087
Quercus_fulva,23.6,-105.85
Quercus_fulva,23.57917,-105.85833
