Species,Latitude,Longitude
Quercus_fusiformis,29.766395,-98.589077
Quercus_fusiformis,31.061667,-97.502832
Quercus_fusiformis,30.319593,-97.654448
Quercus_fusiformis,31.775619,-98.865269
Quercus_fusiformis,29.884598,-98.695866
Quercus_fusiformis,30.288219,-97.875231
Quercus_fusiformis,29.56885,-98.641785
Quercus_fusiformis,30.28817,-97.875183
Quercus_fusiformis,29.442702,-98.727222
Quercus_fusiformis,30.021433,-98.187814
Quercus_fusiformis,33.048806,-96.850853
Quercus_fusiformis,30.288088,-97.874557
Quercus_fusiformis,30.364525,-98.125075
Quercus_fusiformis,29.565218,-98.576725
Quercus_fusiformis,32.809585,-97.439943
Quercus_fusiformis,31.198283,-97.46675
Quercus_fusiformis,34.889112,-99.298028
Quercus_fusiformis,30.504197,-97.68766
Quercus_fusiformis,29.879594,-98.210442
Quercus_fusiformis,29.63263,-100.438888
Quercus_fusiformis,31.198212,-97.467545
Quercus_fusiformis,29.863669,-100.338624
Quercus_fusiformis,29.56795,-98.645788
Quercus_fusiformis,30.567103,-97.760025
Quercus_fusiformis,30.245455,-97.898628
Quercus_fusiformis,30.284238,-98.233283
Quercus_fusiformis,30.448562,-99.799178
Quercus_fusiformis,30.305465,-97.94786
Quercus_fusiformis,30.46791,-98.02257
Quercus_fusiformis,30.535877,-97.8839
Quercus_fusiformis,30.401118,-97.685976
Quercus_fusiformis,25.418564,-100.967948
Quercus_fusiformis,30.057603,-99.471095
Quercus_fusiformis,29.87017,-97.988119
Quercus_fusiformis,30.475336,-97.804489
Quercus_fusiformis,29.25865,-98.573502
Quercus_fusiformis,30.287867,-97.875924
Quercus_fusiformis,30.294559,-98.866846
Quercus_fusiformis,30.287708,-97.876625
Quercus_fusiformis,30.286994,-97.875365
Quercus_fusiformis,30.287722,-97.876572
Quercus_fusiformis,30.287592,-97.876262
Quercus_fusiformis,31.062614,-97.398858
Quercus_fusiformis,30.234512,-97.858806
Quercus_fusiformis,29.567627,-98.63424
Quercus_fusiformis,30.230433,-97.759247
Quercus_fusiformis,30.306051,-97.739577
Quercus_fusiformis,30.215599,-97.796383
Quercus_fusiformis,30.307305,-97.821053
Quercus_fusiformis,30.30733,-97.821067
Quercus_fusiformis,30.308488,-97.821188
Quercus_fusiformis,30.308542,-97.821188
Quercus_fusiformis,32.795372,-97.501283
Quercus_fusiformis,30.193112,-97.715195
Quercus_fusiformis,31.152895,-97.466112
Quercus_fusiformis,30.239465,-97.702792
Quercus_fusiformis,30.248223,-97.744293
Quercus_fusiformis,30.237805,-97.704072
Quercus_fusiformis,30.244451,-97.704437
Quercus_fusiformis,30.240931,-98.624656
Quercus_fusiformis,31.144833,-97.475105
Quercus_fusiformis,30.17054,-97.839767
Quercus_fusiformis,29.911313,-98.592197
Quercus_fusiformis,30.160759,-97.808715
Quercus_fusiformis,30.631293,-97.755938
Quercus_fusiformis,29.622185,-98.580743
Quercus_fusiformis,29.77991,-98.70946
Quercus_fusiformis,32.63757,-96.960205
Quercus_fusiformis,30.286,-97.753908
Quercus_fusiformis,30.238683,-97.703834
Quercus_fusiformis,30.160133,-97.841076
Quercus_fusiformis,30.103414,-98.086288
Quercus_fusiformis,30.293687,-98.242796
Quercus_fusiformis,32.43988,-99.691747
Quercus_fusiformis,34.891947,-99.300475
Quercus_fusiformis,32.723292,-97.105121
Quercus_fusiformis,29.931878,-98.068968
Quercus_fusiformis,31.164056,-97.446603
Quercus_fusiformis,29.575525,-98.574952
Quercus_fusiformis,29.881539,-98.493475
Quercus_fusiformis,29.621898,-98.640983
Quercus_fusiformis,30.190227,-97.727582
Quercus_fusiformis,30.496742,-98.826794
Quercus_fusiformis,31.59005,-97.164808
Quercus_fusiformis,30.510097,-98.810203
Quercus_fusiformis,30.277796,-97.704032
Quercus_fusiformis,29.595243,-98.596008
Quercus_fusiformis,30.22897,-97.904013
Quercus_fusiformis,30.05777,-99.474037
Quercus_fusiformis,30.304594,-97.770329
Quercus_fusiformis,30.520056,-97.726639
