Species,Latitude,Longitude
Quercus_garryana,47.074404,-122.767652
Quercus_garryana,44.552506,-123.292153
Quercus_garryana,48.808303,-123.632438
Quercus_garryana,38.407643,-122.947713
Quercus_garryana,48.42347,-123.4022
Quercus_garryana,48.49025,-123.345976
Quercus_garryana,43.996687,-122.965928
Quercus_garryana,48.4101,-123.36438
Quercus_garryana,48.419316,-123.326983
Quercus_garryana,48.469565,-123.361355
Quercus_garryana,48.459695,-123.322242
Quercus_garryana,48.421492,-123.418944
Quercus_garryana,48.411139,-123.362255
Quercus_garryana,48.463943,-123.320826
Quercus_garryana,48.435005,-123.407195
Quercus_garryana,48.56443,-123.447687
Quercus_garryana,48.41782,-123.362992
Quercus_garryana,48.417397,-123.366067
Quercus_garryana,48.456387,-123.324678
Quercus_garryana,48.493449,-123.344762
Quercus_garryana,48.442107,-123.301361
Quercus_garryana,48.490722,-123.344413
Quercus_garryana,48.460144,-123.321947
Quercus_garryana,48.411287,-123.346053
Quercus_garryana,48.5468,-123.40425
Quercus_garryana,48.545963,-123.406472
Quercus_garryana,48.491568,-123.343899
Quercus_garryana,48.49224,-123.34601
Quercus_garryana,48.458442,-123.321792
Quercus_garryana,48.473152,-123.31968
Quercus_garryana,44.314175,-123.294144
Quercus_garryana,48.435306,-123.407036
Quercus_garryana,48.417733,-123.364167
Quercus_garryana,48.472619,-123.373961
Quercus_garryana,48.41793,-123.365325
Quercus_garryana,48.435133,-123.318513
Quercus_garryana,44.313407,-123.293168
Quercus_garryana,44.365062,-123.374765
Quercus_garryana,48.417126,-123.361773
Quercus_garryana,44.360813,-123.297675
Quercus_garryana,48.446758,-123.301789
Quercus_garryana,48.545937,-123.406288
Quercus_garryana,48.417334,-123.364026
Quercus_garryana,48.421895,-123.40249
Quercus_garryana,48.434997,-123.407045
Quercus_garryana,48.434947,-123.407089
Quercus_garryana,48.445366,-123.355613
Quercus_garryana,44.361163,-123.335198
Quercus_garryana,44.362678,-123.35273
Quercus_garryana,48.452895,-123.300725
Quercus_garryana,44.360804,-123.33513
Quercus_garryana,48.459222,-123.32232
Quercus_garryana,48.679055,-123.477592
Quercus_garryana,48.455137,-123.480012
Quercus_garryana,48.414208,-123.324517
Quercus_garryana,48.410565,-123.338195
Quercus_garryana,48.490028,-123.344712
Quercus_garryana,48.464666,-123.310728
Quercus_garryana,48.437566,-123.295505
Quercus_garryana,38.440629,-122.694451
Quercus_garryana,48.46175,-123.307
Quercus_garryana,44.019888,-122.979311
Quercus_garryana,48.461304,-123.320025
Quercus_garryana,48.656375,-123.446145
Quercus_garryana,48.469892,-123.417586
Quercus_garryana,48.414765,-123.347163
Quercus_garryana,48.456333,-123.323508
Quercus_garryana,49.478209,-124.698961
Quercus_garryana,48.464358,-123.420805
Quercus_garryana,48.457213,-123.324142
Quercus_garryana,45.122736,-122.609635
Quercus_garryana,48.456589,-123.325104
Quercus_garryana,48.458714,-123.322273
Quercus_garryana,48.464356,-123.420806
Quercus_garryana,45.833692,-122.750192
Quercus_garryana,46.903206,-123.049688
Quercus_garryana,48.435787,-123.309907
Quercus_garryana,43.982855,-123.094131
Quercus_garryana,45.20282,-123.199157
Quercus_garryana,45.64289,-122.617058
Quercus_garryana,48.438129,-123.296709
Quercus_garryana,48.479778,-123.326942
Quercus_garryana,48.49122,-123.344138
Quercus_garryana,48.454403,-123.479758
Quercus_garryana,48.438451,-123.296931
Quercus_garryana,44.667939,-123.219176
Quercus_garryana,48.492919,-123.346328
Quercus_garryana,48.454414,-123.480653
Quercus_garryana,48.413572,-123.324687
Quercus_garryana,48.489278,-123.376053
Quercus_garryana,38.350278,-122.588495
Quercus_garryana,48.445648,-123.35512
Quercus_garryana,48.440012,-123.345047
Quercus_garryana,48.457631,-123.477761
Quercus_garryana,48.456406,-123.322601
Quercus_garryana,44.604176,-123.25559
Quercus_garryana,48.417364,-123.340416
Quercus_garryana,48.458523,-123.322243
Quercus_garryana,48.4174,-123.342317
Quercus_garryana,48.490217,-123.344842
Quercus_garryana,48.456501,-123.323082
Quercus_garryana,48.411955,-123.308097
Quercus_garryana,48.443384,-123.298464
Quercus_garryana,44.710552,-123.211682
Quercus_garryana,48.439463,-123.294167
Quercus_garryana,48.493887,-123.347133
Quercus_garryana,38.35643,-122.548063
Quercus_garryana,49.084217,-123.713531
Quercus_garryana,42.327928,-121.9449
Quercus_garryana,49.22847,-123.951767
Quercus_garryana,48.456655,-123.32398
Quercus_garryana,48.489538,-123.343147
Quercus_garryana,48.456721,-123.323807
Quercus_garryana,44.706639,-123.208347
Quercus_garryana,48.45636,-123.32457
Quercus_garryana,49.082311,-123.715111
Quercus_garryana,48.659533,-123.425881
Quercus_garryana,48.456255,-123.324375
Quercus_garryana,44.705555,-123.21211
Quercus_garryana,48.520517,-123.514733
Quercus_garryana,44.701307,-123.2089
Quercus_garryana,48.493294,-123.342949
Quercus_garryana,48.462261,-123.357635
Quercus_garryana,43.9687,-123.110925
Quercus_garryana,44.93522,-123.034949
Quercus_garryana,45.626924,-121.362641
Quercus_garryana,48.479947,-123.32692
Quercus_garryana,48.494778,-123.342804
Quercus_garryana,38.450512,-122.632529
Quercus_garryana,48.41793,-123.343352
Quercus_garryana,48.492683,-123.34491
Quercus_garryana,48.492435,-123.344803
Quercus_garryana,48.492664,-123.344948
Quercus_garryana,48.433753,-123.408158
Quercus_garryana,44.984747,-123.431796
Quercus_garryana,44.985145,-123.430133
Quercus_garryana,48.473362,-123.341675
Quercus_garryana,48.458462,-123.32318
Quercus_garryana,48.471067,-123.357103
Quercus_garryana,43.974443,-123.114442
Quercus_garryana,48.479892,-123.326745
Quercus_garryana,48.456515,-123.324255
Quercus_garryana,48.473537,-123.296101
Quercus_garryana,48.481095,-123.328163
Quercus_garryana,48.445675,-123.354622
Quercus_garryana,48.480755,-123.537404
Quercus_garryana,48.767569,-123.091588
Quercus_garryana,48.435922,-123.318401
Quercus_garryana,48.757946,-123.607366
Quercus_garryana,48.438683,-123.352756
Quercus_garryana,48.492379,-123.345437
Quercus_garryana,48.46412,-123.313867
Quercus_garryana,48.793155,-123.520163
Quercus_garryana,48.408247,-123.365442
Quercus_garryana,48.479697,-123.327894
Quercus_garryana,48.414717,-123.362723
Quercus_garryana,48.445498,-123.344756
Quercus_garryana,48.438517,-123.294603
Quercus_garryana,48.432763,-123.449682
Quercus_garryana,48.432388,-123.451978
Quercus_garryana,48.438588,-123.296631
Quercus_garryana,48.433023,-123.452778
Quercus_garryana,48.756027,-123.424269
Quercus_garryana,44.003611,-122.980278
Quercus_garryana,48.459396,-123.314732
Quercus_garryana,44.013521,-122.976104
Quercus_garryana,43.997824,-122.966408
Quercus_garryana,48.459567,-123.311489
Quercus_garryana,48.459525,-123.311578
Quercus_garryana,48.460413,-123.310112
Quercus_garryana,48.491458,-123.34468
Quercus_garryana,48.438153,-123.297097
Quercus_garryana,48.493183,-123.34648
Quercus_garryana,48.491316,-123.346655
Quercus_garryana,48.462557,-123.313771
Quercus_garryana,44.011155,-122.97536
Quercus_garryana,48.488465,-123.301239
Quercus_garryana,48.488428,-123.301118
Quercus_garryana,44.002147,-122.953572
Quercus_garryana,47.406821,-122.268588
Quercus_garryana,44.003056,-122.956667
Quercus_garryana,48.489361,-123.3545
Quercus_garryana,44.703382,-123.206228
Quercus_garryana,48.496022,-123.314261
Quercus_garryana,48.444687,-123.394692
Quercus_garryana,48.45728,-123.323845
Quercus_garryana,44.003889,-122.955833
Quercus_garryana,48.498108,-123.34771
Quercus_garryana,48.459232,-123.309913
Quercus_garryana,48.412972,-123.365417
