Species,Latitude,Longitude
Quercus_glabrescens,16.84596,-98.65557
Quercus_glabrescens,16.846,-98.6556
Quercus_glabrescens,19.9519,-97.55637
Quercus_glabrescens,19.9519,-97.5564
Quercus_glabrescens,17.41827,-96.4498
Quercus_glabrescens,19.79192,-97.63847
Quercus_glabrescens,19.7919,-97.6385
Quercus_glabrescens,18.611,-97.1435
Quercus_glabrescens,17.408889,-96.494028
Quercus_glabrescens,17.902861,-96.807361
Quercus_glabrescens,17.54925,-96.507667
Quercus_glabrescens,17.487056,-96.707083
Quercus_glabrescens,17.484639,-96.710111
Quercus_glabrescens,17.48125,-96.514972
Quercus_glabrescens,17.304306,-96.421111
Quercus_glabrescens,20.201389,-98.731944
Quercus_glabrescens,19.955,-98.282222
Quercus_glabrescens,18.791944,-97.336111
Quercus_glabrescens,20.084444,-98.185555
Quercus_glabrescens,18.614083,-97.144044
Quercus_glabrescens,20.151944,-98.551944
Quercus_glabrescens,18.613889,-97.143889
Quercus_glabrescens,20.143,-98.682
Quercus_glabrescens,20.153056,-99.651667
Quercus_glabrescens,20.168889,-98.722778
Quercus_glabrescens,18.653083,-97.002833
Quercus_glabrescens,20.194444,-98.7425
Quercus_glabrescens,16.83036,-98.67769
Quercus_glabrescens,16.8304,-98.6777
Quercus_glabrescens,20.2125,-98.741667
Quercus_glabrescens,17.905513,-96.926773
Quercus_glabrescens,18.255917,-97.099583
Quercus_glabrescens,17.18956,-96.64253
Quercus_glabrescens,17.609778,-97.042194
Quercus_glabrescens,17.650861,-97.037444
Quercus_glabrescens,17.611611,-97.039972
Quercus_glabrescens,19.636389,-96.943055
Quercus_glabrescens,20.19825,-98.715619
Quercus_glabrescens,20.198431,-98.714683
Quercus_glabrescens,19.736667,-96.827222
Quercus_glabrescens,20.150444,-98.694722
Quercus_glabrescens,19.356389,-100.271667
Quercus_glabrescens,20.395,-98.255
Quercus_glabrescens,18.036667,-97.566111
Quercus_glabrescens,17.566389,-96.79
Quercus_glabrescens,16.413611,-94.031667
Quercus_glabrescens,16.2425,-93.592222
Quercus_glabrescens,19.020278,-98.143889
Quercus_glabrescens,18.894444,-98.140833
Quercus_glabrescens,16.327778,-93.599167
Quercus_glabrescens,16.353611,-93.906389
Quercus_glabrescens,16.175,-93.501944
Quercus_glabrescens,17.744444,-99.871944
Quercus_glabrescens,21.206389,-98.978889
Quercus_glabrescens,17.640556,-99.869444
Quercus_glabrescens,17.721111,-99.568056
Quercus_glabrescens,17.682222,-99.700833
Quercus_glabrescens,17.758889,-100.021944
Quercus_glabrescens,17.17573363518873,-96.37503120234163
Quercus_glabrescens,18.297194,-101.171917
Quercus_glabrescens,18.263111,-101.157389
Quercus_glabrescens,20.755278,-98.707222
Quercus_glabrescens,20.761667,-98.688889
Quercus_glabrescens,18.992222,-98.161111
Quercus_glabrescens,20.737778,-98.7075
Quercus_glabrescens,18.63333,-97.45
Quercus_glabrescens,18.633333,-97.45
Quercus_glabrescens,19.433333,-97.15
Quercus_glabrescens,19.429167,-97.142778
Quercus_glabrescens,19.683333,-96.852778
Quercus_glabrescens,16.2,-95.95
Quercus_glabrescens,18.941111,-99.285833
Quercus_glabrescens,19.716308,-98.160469
Quercus_glabrescens,19.613333,-98.116667
Quercus_glabrescens,20.907222,-99.558055
Quercus_glabrescens,16.669444,-92.563056
Quercus_glabrescens,19.73333,-96.8
Quercus_glabrescens,19.733333,-96.8
Quercus_glabrescens,19.741389,-96.818611
Quercus_glabrescens,19.566667,-97.1
Quercus_glabrescens,19.666667,-97.1
Quercus_glabrescens,19.483611,-96.966944
Quercus_glabrescens,19.483333,-96.966667
Quercus_glabrescens,19.675,-98.241667
Quercus_glabrescens,18.935556,-98.984167
Quercus_glabrescens,21.1480373534166,-99.66543034253998
