Species,Latitude,Longitude
Quercus_glaucoides,17.978656,-97.343132
Quercus_glaucoides,18.928436,-98.3226
Quercus_glaucoides,16.97044,-96.794906
Quercus_glaucoides,17.046725,-97.620699
Quercus_glaucoides,18.918665,-98.29682
Quercus_glaucoides,20.981813,-101.247449
Quercus_glaucoides,17.164667,-96.739386
Quercus_glaucoides,18.872694,-98.173162
Quercus_glaucoides,17.308611,-96.484294
Quercus_glaucoides,17.082659,-96.73589
Quercus_glaucoides,17.14201,-96.7261
Quercus_glaucoides,19.483233,-99.257251
Quercus_glaucoides,19.288748,-99.205948
Quercus_glaucoides,17.083011,-96.736047
Quercus_glaucoides,18.705167,-98.750511
Quercus_glaucoides,18.959056,-98.348397
Quercus_glaucoides,17.620833,-98.660777
Quercus_glaucoides,16.552167,-96.206638
Quercus_glaucoides,18.063082,-100.17083
Quercus_glaucoides,16.297639,-96.637693
Quercus_glaucoides,20.108056,-101.352222
Quercus_glaucoides,16.022472,-96.870833
Quercus_glaucoides,17.06736,-98.60883
Quercus_glaucoides,18.882209,-99.138248
Quercus_glaucoides,17.614722,-97.551389
Quercus_glaucoides,18.470056,-99.241333
Quercus_glaucoides,17.423306,-96.594361
Quercus_glaucoides,17.434139,-96.565167
Quercus_glaucoides,17.257222,-96.254833
Quercus_glaucoides,17.248361,-96.285667
Quercus_glaucoides,17.338028,-96.184278
Quercus_glaucoides,18.560433,-99.6544
Quercus_glaucoides,18.468333,-99.271667
Quercus_glaucoides,18.468333,-99.233639
Quercus_glaucoides,18.470083,-99.275
Quercus_glaucoides,18.499167,-99.331083
Quercus_glaucoides,18.468444,-99.270111
Quercus_glaucoides,18.470056,-99.275083
Quercus_glaucoides,23.898333,-99.784722
Quercus_glaucoides,17.782416,-97.947361
Quercus_glaucoides,17.026111,-96.844333
Quercus_glaucoides,18.923861,-98.295
Quercus_glaucoides,18.519861,-99.359639
Quercus_glaucoides,20.553611,-99.742778
Quercus_glaucoides,16.745361,-96.315472
Quercus_glaucoides,16.631306,-96.368527
Quercus_glaucoides,17.051639,-96.894417
Quercus_glaucoides,16.639555,-96.413889
Quercus_glaucoides,17.117004,-96.692072
Quercus_glaucoides,16.512611,-96.109111
Quercus_glaucoides,16.492806,-96.090778
Quercus_glaucoides,16.9498,-96.3921
Quercus_glaucoides,16.657556,-95.878333
Quercus_glaucoides,17.7215,-97.895778
Quercus_glaucoides,17.7215,-97.895777
Quercus_glaucoides,16.60975,-95.921194
Quercus_glaucoides,17.732139,-97.223528
Quercus_glaucoides,17.727361,-97.221028
Quercus_glaucoides,17.737056,-96.831167
Quercus_glaucoides,18.269472,-97.091417
Quercus_glaucoides,17.083298,-96.73476
Quercus_glaucoides,17.741833,-97.103139
Quercus_glaucoides,17.747139,-97.103528
Quercus_glaucoides,17.831833,-97.163833
Quercus_glaucoides,17.82575,-97.148528
Quercus_glaucoides,18.195833,-97.505833
Quercus_glaucoides,19.9525,-100.836667
Quercus_glaucoides,18.95,-99.273611
Quercus_glaucoides,16.68,-96.56
Quercus_glaucoides,16.676444,-96.557139
Quercus_glaucoides,17.679639,-98.071444
Quercus_glaucoides,18.784444,-102.809444
Quercus_glaucoides,17.843611,-99.403611
Quercus_glaucoides,17.832778,-97.234444
Quercus_glaucoides,20.638578,-99.975839
Quercus_glaucoides,18.052778,-97.580278
Quercus_glaucoides,17.5625,-96.946389
Quercus_glaucoides,17.11667,-96.70639
Quercus_glaucoides,17.125945,-96.723139
Quercus_glaucoides,17.683917,-97.61475
Quercus_glaucoides,17.125944,-96.723139
Quercus_glaucoides,17.125833,-96.723055
Quercus_glaucoides,18.8825,-101.843611
Quercus_glaucoides,19.277275615004463,-104.10716343124052
Quercus_glaucoides,18.195,-97.723333
Quercus_glaucoides,16.25,-93.503333
Quercus_glaucoides,18.874281,-99.173072
Quercus_glaucoides,18.153972,-97.421083
Quercus_glaucoides,17.85,-97.1
Quercus_glaucoides,17.858333,-97.108333
Quercus_glaucoides,17.244944,-96.207167
Quercus_glaucoides,17.244722,-96.2075
