Species,Latitude,Longitude
Quercus_grahamii,18.988326,-98.018964
Quercus_grahamii,19.181691,-98.056512
Quercus_grahamii,19.281103,-98.250404
Quercus_grahamii,18.99,-98.19
Quercus_grahamii,18.78069,-97.96644
Quercus_grahamii,18.804611,-97.25211
Quercus_grahamii,18.505,-99.557222
Quercus_grahamii,17.629444,-99.764722
Quercus_grahamii,20.101667,-97.983333
Quercus_grahamii,17.626667,-99.756667
Quercus_grahamii,17.561111,-99.872222
Quercus_grahamii,19.896667,-97.626667
Quercus_grahamii,19.898333,-97.478333
Quercus_grahamii,17.6775,-99.777222
Quercus_grahamii,19.909722,-97.942778
Quercus_grahamii,19.91,-97.618333
Quercus_grahamii,17.728333,-99.852222
Quercus_grahamii,20.188333,-97.935
Quercus_grahamii,19.923333,-97.650278
Quercus_grahamii,17.386111,-99.727778
Quercus_grahamii,17.644444,-99.613889
Quercus_grahamii,18.934167,-98.118611
Quercus_grahamii,18.531944,-99.729167
Quercus_grahamii,17.349167,-97.995556
Quercus_grahamii,19.758611,-97.826111
Quercus_grahamii,17.633333,-99.708333
Quercus_grahamii,17.216389,-98.069722
Quercus_grahamii,16.939167,-95.143889
Quercus_grahamii,17.559444,-99.238889
Quercus_grahamii,15.536389,-92.648889
Quercus_grahamii,18.546389,-100.968333
Quercus_grahamii,17.316667,-98.05
Quercus_grahamii,17.741667,-97.925
Quercus_grahamii,17.416667,-97.216667
Quercus_grahamii,20.719167,-98.665556
Quercus_grahamii,20.641667,-98.588889
Quercus_grahamii,19.443333,-103.726667
Quercus_grahamii,17.566667,-99.870833
Quercus_grahamii,17.55,-97.416667
Quercus_grahamii,17.713889,-99.78
Quercus_grahamii,17.670833,-99.845833
Quercus_grahamii,17.65,-99.856111
Quercus_grahamii,17.656944,-99.845833
Quercus_grahamii,16.553333,-96.080833
Quercus_grahamii,17.625,-99.845833
Quercus_grahamii,18.53422330558238,-99.73756576110766
Quercus_grahamii,19.45,-103.233333
Quercus_grahamii,18.715278,-103.017222
Quercus_grahamii,17.591944,-99.948611
Quercus_grahamii,18.573333,-97.411389
Quercus_grahamii,17.258611,-97.652778
Quercus_grahamii,17.650278,-99.834722
Quercus_grahamii,17.623333,-99.777222
Quercus_grahamii,17.62565285084944,-99.77677962131034
Quercus_grahamii,17.369722,-98.336111
Quercus_grahamii,17.606389,-99.234444
Quercus_grahamii,17.4,-99.468056
Quercus_grahamii,17.646667,-99.818056
Quercus_grahamii,17.5525,-99.570278
Quercus_grahamii,16.183069,-97.096664
Quercus_grahamii,17.568061,-99.568611
Quercus_grahamii,16.575936,-96.894142
Quercus_grahamii,17.570578,-99.277981
Quercus_grahamii,17.557222,-99.276667
Quercus_grahamii,21.402486243085264,-99.57233107225069
Quercus_grahamii,17.285833,-98.487222
Quercus_grahamii,16.450278,-96.997222
Quercus_grahamii,16.575,-96.918889
Quercus_grahamii,17.5425,-99.2725
Quercus_grahamii,17.586111,-99.845833
Quercus_grahamii,17.7125,-99.781111
Quercus_grahamii,17.681667,-99.803333
Quercus_grahamii,19.463832243740406,-103.69927069982842
Quercus_grahamii,17.677222,-99.806111
Quercus_grahamii,17.659167,-99.701944
Quercus_grahamii,17.630556,-99.597778
Quercus_grahamii,17.673611,-99.81
Quercus_grahamii,18.780833,-102.892778
Quercus_grahamii,19.468611,-101.852222
Quercus_grahamii,17.642778,-99.630833
Quercus_grahamii,17.565,-99.615833
Quercus_grahamii,17.784300090607562,-101.08875381923153
Quercus_grahamii,17.7075,-99.7975
Quercus_grahamii,20.551111,-100.473333
Quercus_grahamii,17.5125,-99.684722
Quercus_grahamii,16.57,-96.93
Quercus_grahamii,17.541667,-99.958333
Quercus_grahamii,17.606667,-99.762778
Quercus_grahamii,16.58,-96.88
Quercus_grahamii,19.075,-97.041667
Quercus_grahamii,22.49868127339517,-99.46404562542142
Quercus_grahamii,19.657778,-98.872778
Quercus_grahamii,19.153044698711334,-100.14910257832884
Quercus_grahamii,17.091667,-96.258333
Quercus_grahamii,17.546944,-99.509722
Quercus_grahamii,19.49311679079373,-98.5353696802169
Quercus_grahamii,17.588056,-99.436944
Quercus_grahamii,17.188889,-97.079167
Quercus_grahamii,17.278611,-96.803056
Quercus_grahamii,18.18,-97.45
Quercus_grahamii,17.506111,-99.980556
Quercus_grahamii,17.453942,-100.183806
Quercus_grahamii,18.729167,-97.317222
