Species,Latitude,Longitude
Quercus_gravesii,29.269177,-103.302274
Quercus_gravesii,29.543424,-104.040648
Quercus_gravesii,29.277178,-103.310312
Quercus_gravesii,29.277171,-103.310198
Quercus_gravesii,29.297246,-103.28221
Quercus_gravesii,29.271426,-103.272739
Quercus_gravesii,29.277164,-103.310289
Quercus_gravesii,29.275899,-103.322195
Quercus_gravesii,29.275408,-103.318298
Quercus_gravesii,28.344775,-102.529048
Quercus_gravesii,29.273259,-103.335848
Quercus_gravesii,29.182215,-102.956597
Quercus_gravesii,29.263262,-103.296417
Quercus_gravesii,29.243523,-103.296971
Quercus_gravesii,29.273201,-103.335106
Quercus_gravesii,29.273241,-103.335431
Quercus_gravesii,29.256072,-103.306759
Quercus_gravesii,29.251097,-103.299532
Quercus_gravesii,27.598248,-102.061853
Quercus_gravesii,29.275403,-103.31764
Quercus_gravesii,29.27763,-103.320236
Quercus_gravesii,29.270541,-103.29888
Quercus_gravesii,29.355842,-103.200008
Quercus_gravesii,29.200825,-103.23521
Quercus_gravesii,29.253781,-103.29895
Quercus_gravesii,30.659656,-104.110911
Quercus_gravesii,29.265361,-103.306453
Quercus_gravesii,29.27086,-103.269092
Quercus_gravesii,29.266664,-103.298349
Quercus_gravesii,29.270033,-103.269813
Quercus_gravesii,29.270444,-103.299712
Quercus_gravesii,27.608315,-102.080835
Quercus_gravesii,29.127487,-103.242538
