Species,Latitude,Longitude
Quercus_grisea,21.858764,-101.00915
Quercus_grisea,34.164716,-110.800595
Quercus_grisea,20.827768,-99.790695
Quercus_grisea,34.16476,-110.799876
Quercus_grisea,35.178011,-106.497193
Quercus_grisea,34.609295,-112.448852
Quercus_grisea,21.906667,-101.858697
Quercus_grisea,21.833857,-101.014091
Quercus_grisea,21.996074,-101.068508
Quercus_grisea,35.377366,-106.555261
Quercus_grisea,33.27092,-110.803825
Quercus_grisea,22.081663,-101.096659
Quercus_grisea,21.935146,-100.562787
Quercus_grisea,33.060162,-109.08022
Quercus_grisea,30.599845,-103.938044
Quercus_grisea,34.393373,-110.562572
Quercus_grisea,34.231745,-110.0756
Quercus_grisea,21.917584,-101.842554
Quercus_grisea,25.538889,-100.527458
Quercus_grisea,25.538139,-100.526908
Quercus_grisea,28.456288,-108.444597
Quercus_grisea,35.204163,-106.487704
Quercus_grisea,31.901764,-104.842261
Quercus_grisea,29.277164,-103.310289
Quercus_grisea,29.276272,-103.312631
Quercus_grisea,23.783603,-103.807487
Quercus_grisea,30.599228,-103.939828
Quercus_grisea,28.595231,-106.054181
Quercus_grisea,31.900569,-109.228645
Quercus_grisea,30.589561,-103.948521
Quercus_grisea,22.102827,-102.972255
Quercus_grisea,32.18697,-104.394653
Quercus_grisea,31.94519,-104.872522
Quercus_grisea,29.277389,-103.304458
Quercus_grisea,32.371655,-106.56144
Quercus_grisea,32.381803,-106.560453
Quercus_grisea,32.305741,-106.591372
Quercus_grisea,34.337042,-111.095852
Quercus_grisea,31.897019,-104.828683
Quercus_grisea,31.733912,-110.57231
Quercus_grisea,31.8977,-104.828575
Quercus_grisea,29.85434,-110.40223
Quercus_grisea,29.88135,-110.3878
Quercus_grisea,31.739166,-110.884773
Quercus_grisea,20.212503,-100.666595
Quercus_grisea,29.291484,-103.40448
Quercus_grisea,30.598789,-103.935059
Quercus_grisea,25.241006,-101.471939
Quercus_grisea,32.652162,-108.343575
Quercus_grisea,32.897837,-108.244583
Quercus_grisea,34.515013,-112.3842
Quercus_grisea,32.333677,-106.593765
Quercus_grisea,32.409676,-110.713316
Quercus_grisea,21.856931,-101.833087
Quercus_grisea,32.427093,-110.740902
Quercus_grisea,32.361033,-110.720856
Quercus_grisea,34.179702,-110.014321
Quercus_grisea,35.59517,-104.61804
Quercus_grisea,22.001173,-101.434383
Quercus_grisea,30.565583,-102.164122
Quercus_grisea,29.78994,-108.78241
Quercus_grisea,29.80958,-108.74466
Quercus_grisea,29.79188,-108.804
Quercus_grisea,30.92052,-105.09775
Quercus_grisea,30.91996,-105.10012
Quercus_grisea,29.26818,-103.28443
Quercus_grisea,30.588211,-103.894625
Quercus_grisea,34.386954,-110.566442
Quercus_grisea,33.733614,-109.957546
Quercus_grisea,31.895655,-104.826553
Quercus_grisea,29.274412,-103.305627
Quercus_grisea,32.333207,-106.592454
Quercus_grisea,30.493907,-103.898143
Quercus_grisea,32.897753,-108.244899
Quercus_grisea,25.20109,-100.826063
Quercus_grisea,33.922223,-111.414372
Quercus_grisea,33.923872,-111.420578
Quercus_grisea,32.29798,-110.62175
Quercus_grisea,32.303362,-110.614708
Quercus_grisea,34.414818,-111.519487
Quercus_grisea,34.414508,-111.518645
Quercus_grisea,31.9223,-109.9667
Quercus_grisea,34.530722,-112.48763
Quercus_grisea,31.416358,-110.27558
Quercus_grisea,31.713245,-110.874955
Quercus_grisea,31.713342,-110.874947
Quercus_grisea,31.971996,-109.330793
Quercus_grisea,31.971112,-109.330373
Quercus_grisea,31.971168,-109.329929
Quercus_grisea,31.971149,-109.330673
Quercus_grisea,30.28313,-109.55989
Quercus_grisea,34.448318,-112.335411
Quercus_grisea,32.176856,-104.438334
Quercus_grisea,31.910258,-104.799756
Quercus_grisea,31.712477,-110.87402
Quercus_grisea,30.700936,-104.114767
Quercus_grisea,36.78256,-103.972064
Quercus_grisea,30.61814,-104.20631
Quercus_grisea,34.79577,-112.82315
Quercus_grisea,34.515278,-111.495056
Quercus_grisea,20.817753,-100.520314
Quercus_grisea,33.92093,-111.41391
Quercus_grisea,33.91228,-111.40598
Quercus_grisea,29.2706,-103.302483
Quercus_grisea,29.26732,-103.2854
Quercus_grisea,29.2671,-103.28513
Quercus_grisea,30.60519,-104.115
Quercus_grisea,30.60512,-104.11468
Quercus_grisea,30.60529,-104.11602
Quercus_grisea,30.15584,-103.58366
Quercus_grisea,24.08637,-103.73714
Quercus_grisea,22.82157,-103.03501
Quercus_grisea,28.96331,-106.78294
Quercus_grisea,20.4955,-99.84077
Quercus_grisea,31.441406,-110.317926
Quercus_grisea,22.90968,-103.37872
Quercus_grisea,28.01024,-106.90005
Quercus_grisea,24.62318,-104.34001
Quercus_grisea,30.606872,-104.202361
Quercus_grisea,31.759434,-109.337348
Quercus_grisea,31.688942,-109.44636
Quercus_grisea,30.396233,-103.491696
Quercus_grisea,34.268658,-110.073397
Quercus_grisea,34.0023,-111.4456
Quercus_grisea,31.997771,-104.833478
Quercus_grisea,20.826306,-100.487805
Quercus_grisea,21.315639,-101.355861
Quercus_grisea,33.270693,-108.147216
Quercus_grisea,20.750083,-99.972055
Quercus_grisea,20.756944,-99.968611
Quercus_grisea,20.819778,-99.928889
Quercus_grisea,30.007556,-107.858583
Quercus_grisea,29.94019,-108.57758
Quercus_grisea,33.526258,-111.307467
