Species,Latitude,Longitude
Quercus_hartwissiana,41.189698,41.736888
Quercus_hartwissiana,43.762844,39.741132
Quercus_hartwissiana,44.189,39.074
Quercus_hartwissiana,42.274067,41.647385
Quercus_hartwissiana,43.522352,40.001993
Quercus_hartwissiana,43.657222,42.035
Quercus_hartwissiana,43.998665,40.138528
Quercus_hartwissiana,43.725212,40.129795
Quercus_hartwissiana,43.673617,40.198622
Quercus_hartwissiana,43.034016,41.468582
Quercus_hartwissiana,44.603057,40.164986
Quercus_hartwissiana,43.998001,40.134945
Quercus_hartwissiana,44.461782,40.180435
Quercus_hartwissiana,44.495281,40.505047
Quercus_hartwissiana,43.01,41.0
Quercus_hartwissiana,43.639678,40.256138
Quercus_hartwissiana,44.09848,39.07189
Quercus_hartwissiana,44.140704,39.177933
Quercus_hartwissiana,43.54565,39.879522
Quercus_hartwissiana,44.170455,39.28197
Quercus_hartwissiana,43.686464,39.597172
Quercus_hartwissiana,41.00586,39.71809
Quercus_hartwissiana,41.0027,39.71676
Quercus_hartwissiana,40.88499,39.82221
Quercus_hartwissiana,40.885,39.822
Quercus_hartwissiana,41.006,39.718
