Species,Latitude,Longitude
Quercus_havardii,33.449113,-103.804947
Quercus_havardii,32.965237,-102.530266
Quercus_havardii,34.448373,-101.106651
Quercus_havardii,33.344514,-101.387779
Quercus_havardii,33.494689,-103.652426
Quercus_havardii,33.571768,-103.339417
Quercus_havardii,32.696707,-102.259436
Quercus_havardii,34.118228,-100.298746
Quercus_havardii,31.481112,-102.679869
Quercus_havardii,31.480836,-102.679856
Quercus_havardii,31.618765,-102.812618
Quercus_havardii,31.507022,-102.566635
Quercus_havardii,35.902389,-100.276942
Quercus_havardii,34.163188,-100.356069
Quercus_havardii,35.531937,-100.302645
Quercus_havardii,31.629733,-102.815775
Quercus_havardii,31.496384,-102.652597
Quercus_havardii,31.496937,-102.652585
Quercus_havardii,31.480821,-102.680122
Quercus_havardii,32.71163,-102.250578
Quercus_havardii,31.605072,-102.850645
Quercus_havardii,33.469172,-101.038903
Quercus_havardii,32.47543,-102.830103
Quercus_havardii,34.162922,-100.355422
Quercus_havardii,34.13465,-100.43396
Quercus_havardii,32.711996,-102.249335
Quercus_havardii,35.538823,-100.303592
Quercus_havardii,35.903488,-100.275075
Quercus_havardii,35.752307,-99.721133
Quercus_havardii,38.764409,-109.583588
Quercus_havardii,35.90247,-100.275017
Quercus_havardii,33.204227,-102.91768
Quercus_havardii,33.275692,-100.247966
Quercus_havardii,31.862426,-103.031208
Quercus_havardii,31.86232,-103.031545
Quercus_havardii,31.631638,-102.813823
Quercus_havardii,34.461731,-101.11362
Quercus_havardii,30.259856,-100.573867
Quercus_havardii,32.789172,-103.751938
Quercus_havardii,32.697398,-102.251394
Quercus_havardii,34.463383,-101.109864
Quercus_havardii,32.806508,-103.866578
Quercus_havardii,32.179326,-103.426692
Quercus_havardii,33.461937,-101.081283
Quercus_havardii,33.66545,-101.159094
Quercus_havardii,38.756358,-109.57447
Quercus_havardii,36.879645,-111.510303
Quercus_havardii,33.210111,-100.374431
Quercus_havardii,33.752144,-100.84505
Quercus_havardii,29.924876,-99.104796
