Species,Latitude,Longitude
Quercus_hemisphaerica,30.371505,-87.404778
Quercus_hemisphaerica,30.730828,-86.567603
Quercus_hemisphaerica,30.425955,-81.428903
Quercus_hemisphaerica,30.461575,-81.41948
Quercus_hemisphaerica,27.55547,-82.539872
Quercus_hemisphaerica,29.958024,-82.42602
Quercus_hemisphaerica,29.635975,-82.376381
Quercus_hemisphaerica,27.935197,-81.926687
Quercus_hemisphaerica,26.708575,-81.663795
Quercus_hemisphaerica,27.482744,-82.341619
Quercus_hemisphaerica,28.631408,-82.208041
Quercus_hemisphaerica,30.708183,-85.936735
Quercus_hemisphaerica,33.555108,-81.740565
Quercus_hemisphaerica,29.498787,-81.145639
Quercus_hemisphaerica,33.550541,-81.482564
Quercus_hemisphaerica,29.666998,-81.248577
Quercus_hemisphaerica,29.542117,-81.26369
Quercus_hemisphaerica,29.540712,-81.263371
Quercus_hemisphaerica,29.510826,-81.149668
Quercus_hemisphaerica,29.512093,-81.150009
Quercus_hemisphaerica,30.554028,-87.252005
Quercus_hemisphaerica,31.19068,-89.019832
Quercus_hemisphaerica,35.256942,-75.551728
Quercus_hemisphaerica,29.684115,-82.541394
Quercus_hemisphaerica,35.25558,-75.554539
Quercus_hemisphaerica,29.139928,-83.029717
Quercus_hemisphaerica,30.457887,-84.981025
Quercus_hemisphaerica,28.138413,-82.558744
Quercus_hemisphaerica,30.345408,-81.540409
Quercus_hemisphaerica,28.049113,-82.752071
Quercus_hemisphaerica,30.384493,-83.178764
Quercus_hemisphaerica,30.196987,-81.628075
Quercus_hemisphaerica,29.821994,-82.079583
Quercus_hemisphaerica,30.436964,-81.428406
Quercus_hemisphaerica,34.907165,-76.819774
Quercus_hemisphaerica,29.976692,-81.639594
Quercus_hemisphaerica,30.844866,-81.553469
Quercus_hemisphaerica,29.56873,-82.608789
Quercus_hemisphaerica,34.703042,-76.749792
Quercus_hemisphaerica,31.382225,-83.177477
Quercus_hemisphaerica,30.844989,-83.295766
Quercus_hemisphaerica,30.000025,-81.357283
Quercus_hemisphaerica,29.876147,-81.284286
Quercus_hemisphaerica,29.624833,-82.308162
Quercus_hemisphaerica,29.6255,-82.308027
Quercus_hemisphaerica,29.637697,-82.409644
Quercus_hemisphaerica,29.579088,-82.618965
Quercus_hemisphaerica,29.638753,-82.450311
Quercus_hemisphaerica,29.657808,-82.369583
Quercus_hemisphaerica,29.619906,-82.328339
Quercus_hemisphaerica,26.355554,-81.560172
Quercus_hemisphaerica,29.623097,-82.309853
Quercus_hemisphaerica,30.221428,-85.659984
Quercus_hemisphaerica,26.571071,-81.694405
Quercus_hemisphaerica,26.213317,-81.797347
Quercus_hemisphaerica,26.973911,-81.890031
Quercus_hemisphaerica,30.62273,-86.502171
Quercus_hemisphaerica,34.022703,-77.905866
Quercus_hemisphaerica,29.633264,-82.326028
Quercus_hemisphaerica,30.493805,-81.438667
Quercus_hemisphaerica,33.914872,-78.087128
Quercus_hemisphaerica,26.453,-81.55832
Quercus_hemisphaerica,33.919887,-78.129745
Quercus_hemisphaerica,33.917352,-78.110843
Quercus_hemisphaerica,33.920679,-78.015745
Quercus_hemisphaerica,25.874584,-81.03322
Quercus_hemisphaerica,29.751652,-81.993501
Quercus_hemisphaerica,29.424212,-81.759214
Quercus_hemisphaerica,29.985333,-81.937911
Quercus_hemisphaerica,30.417318,-87.816257
Quercus_hemisphaerica,29.774155,-82.474153
Quercus_hemisphaerica,29.70208,-81.991582
Quercus_hemisphaerica,30.064167,-82.003158
Quercus_hemisphaerica,29.661908,-81.983025
Quercus_hemisphaerica,29.63344,-82.369083
Quercus_hemisphaerica,31.989464,-81.285825
Quercus_hemisphaerica,34.047626,-77.910897
Quercus_hemisphaerica,34.042828,-77.919326
Quercus_hemisphaerica,28.30823,-81.400108
Quercus_hemisphaerica,35.987787,-75.668578
Quercus_hemisphaerica,30.579666,-84.94309
Quercus_hemisphaerica,26.612717,-81.406608
Quercus_hemisphaerica,27.358552,-82.530125
Quercus_hemisphaerica,26.548045,-81.815195
Quercus_hemisphaerica,28.56542,-81.611395
Quercus_hemisphaerica,26.924642,-80.17032
Quercus_hemisphaerica,30.561236,-88.629119
Quercus_hemisphaerica,34.731181,-78.809471
Quercus_hemisphaerica,30.665025,-87.865897
