Species,Latitude,Longitude
Quercus_hinckleyi,29.597732,-103.748078
Quercus_hinckleyi,29.416477,-103.674378
Quercus_hinckleyi,29.538824,-103.699788
Quercus_hinckleyi,29.547279,-103.84087
Quercus_hinckleyi,29.529501,-103.762673
Quercus_hinckleyi,29.590425,-103.635156
Quercus_hinckleyi,29.488337,-103.829458
Quercus_hinckleyi,29.443444,-103.696939
Quercus_hinckleyi,29.443123,-103.745531
Quercus_hinckleyi,29.598829,-103.924486
Quercus_hinckleyi,29.56346,-103.7694
Quercus_hinckleyi,29.520172,-103.781179
Quercus_hinckleyi,29.560675,-103.654807
Quercus_hinckleyi,29.582796,-103.717288
Quercus_hinckleyi,29.411759,-103.795699
Quercus_hinckleyi,29.576295,-103.61322
Quercus_hinckleyi,29.434652,-103.707063
Quercus_hinckleyi,29.537725,-103.631275
Quercus_hinckleyi,29.579892,-103.742177
Quercus_hinckleyi,29.515559,-103.627993
Quercus_hinckleyi,29.537525,-103.678402
Quercus_hinckleyi,29.559358,-103.634125
Quercus_hinckleyi,29.81527,-104.34165
Quercus_hinckleyi,29.81557,-104.34087
Quercus_hinckleyi,29.81076,-104.31201
Quercus_hinckleyi,29.8153,-104.34158
Quercus_hinckleyi,29.71667,-104.3
Quercus_hinckleyi,29.47175,-103.84498
Quercus_hinckleyi,29.4792,-103.7472
Quercus_hinckleyi,29.47917,-103.74722
Quercus_hinckleyi,29.479167,-103.747222
Quercus_hinckleyi,29.820394,-104.305903
Quercus_hinckleyi,29.45833,-103.85833
Quercus_hinckleyi,29.9167,-104.25
Quercus_hinckleyi,30.521389,-104.040556
Quercus_hinckleyi,29.479993,-103.846296
