Species,Latitude,Longitude
Quercus_humboldtii,8.795601,-78.463073
Quercus_humboldtii,6.396112,-75.580767
Quercus_humboldtii,5.76581,-73.426742
Quercus_humboldtii,6.014096,-75.444801
Quercus_humboldtii,4.664731,-74.118225
Quercus_humboldtii,5.796597,-73.457808
Quercus_humboldtii,5.647637,-73.510941
Quercus_humboldtii,4.670036,-74.050754
Quercus_humboldtii,4.701642,-74.075612
Quercus_humboldtii,5.796633,-73.458281
Quercus_humboldtii,6.342118,-75.631932
Quercus_humboldtii,2.461782,-76.59693
Quercus_humboldtii,2.34702,-75.79843
Quercus_humboldtii,5.86475,-73.120508
Quercus_humboldtii,5.876203,-73.135067
Quercus_humboldtii,2.467797,-76.657685
Quercus_humboldtii,2.473665,-76.664344
Quercus_humboldtii,2.463503,-76.570659
Quercus_humboldtii,5.88131,-73.03761
Quercus_humboldtii,5.886279,-73.03132
Quercus_humboldtii,5.875274,-73.138071
Quercus_humboldtii,4.67308,-74.054009
Quercus_humboldtii,4.873045,-74.081528
Quercus_humboldtii,4.718311,-74.096379
Quercus_humboldtii,4.617685,-74.31365
Quercus_humboldtii,4.608103,-74.059206
Quercus_humboldtii,7.285066,-72.963978
Quercus_humboldtii,7.284318,-72.963931
Quercus_humboldtii,7.285081,-72.963424
Quercus_humboldtii,7.285755,-72.9641
Quercus_humboldtii,4.89953,-74.036132
Quercus_humboldtii,4.730414,-74.053117
Quercus_humboldtii,6.129583,-75.420191
Quercus_humboldtii,4.706494,-74.076459
Quercus_humboldtii,6.189685,-75.455521
Quercus_humboldtii,4.706089,-74.023906
Quercus_humboldtii,4.62,-74.189445
Quercus_humboldtii,4.721967,-74.100777
Quercus_humboldtii,4.576947,-74.087638
Quercus_humboldtii,4.752167,-74.079293
Quercus_humboldtii,6.269759,-75.668873
Quercus_humboldtii,4.78101,-74.085516
Quercus_humboldtii,6.294331,-75.509839
Quercus_humboldtii,4.654757,-74.08122
Quercus_humboldtii,6.26291,-75.500687
Quercus_humboldtii,4.630456,-74.065943
Quercus_humboldtii,4.605152,-74.061412
Quercus_humboldtii,6.189786,-75.455353
Quercus_humboldtii,5.366783,-75.427531
Quercus_humboldtii,4.913876,-74.08582
Quercus_humboldtii,4.648918,-74.049146
Quercus_humboldtii,4.694405,-74.092668
Quercus_humboldtii,5.625887,-73.517121
Quercus_humboldtii,4.973176,-73.893314
Quercus_humboldtii,5.614583,-73.957083
Quercus_humboldtii,5.614444,-73.956944
Quercus_humboldtii,5.743547,-73.074152
Quercus_humboldtii,5.712341,-73.46271
Quercus_humboldtii,6.272058,-75.66921
Quercus_humboldtii,4.915472,-74.2835
Quercus_humboldtii,4.525972,-74.105167
Quercus_humboldtii,4.965329,-73.820263
Quercus_humboldtii,4.974318,-73.815523
Quercus_humboldtii,4.973217,-73.816416
Quercus_humboldtii,4.642554,-74.082259
Quercus_humboldtii,4.668291,-74.087672
Quercus_humboldtii,4.76922,-73.5503
Quercus_humboldtii,6.482176,-75.634582
Quercus_humboldtii,5.393889,-73.230972
Quercus_humboldtii,4.49305,-73.80916
Quercus_humboldtii,4.49325,-73.81209
Quercus_humboldtii,4.49224,-73.80974
Quercus_humboldtii,5.39389,-73.231
Quercus_humboldtii,6.045063,-75.345485
Quercus_humboldtii,6.285334,-75.499248
Quercus_humboldtii,4.670114,-74.100139
Quercus_humboldtii,4.701894,-74.074175
Quercus_humboldtii,5.546508,-73.677929
Quercus_humboldtii,5.545535,-73.678067
Quercus_humboldtii,6.106342,-75.548753
Quercus_humboldtii,4.527278,-74.106972
Quercus_humboldtii,4.527306,-74.106556
Quercus_humboldtii,6.116917,-75.550205
Quercus_humboldtii,5.78902,-73.550163
Quercus_humboldtii,6.763998,-72.744861
Quercus_humboldtii,5.055659,-75.495525
Quercus_humboldtii,4.826481,-74.00905
Quercus_humboldtii,4.671387,-74.050555
Quercus_humboldtii,5.05367,-74.54282
Quercus_humboldtii,4.599395,-73.68231
Quercus_humboldtii,4.604652,-73.674484
Quercus_humboldtii,4.600583,-73.677086
Quercus_humboldtii,4.604741,-73.674324
Quercus_humboldtii,4.604345,-73.67489
Quercus_humboldtii,6.322652,-75.211674
Quercus_humboldtii,6.360252,-75.232021
Quercus_humboldtii,4.781178,-74.3693
Quercus_humboldtii,4.78116,-74.369372
Quercus_humboldtii,4.69384,-74.094865
Quercus_humboldtii,4.941076,-74.229669
Quercus_humboldtii,4.941501,-74.22985
Quercus_humboldtii,4.941438,-74.229516
Quercus_humboldtii,4.949902,-74.230789
Quercus_humboldtii,4.941085,-74.635355
Quercus_humboldtii,4.941655,-74.229886
Quercus_humboldtii,4.94103,-74.094315
Quercus_humboldtii,4.941474,-74.229904
Quercus_humboldtii,4.950608,-74.22996
Quercus_humboldtii,4.723929,-74.106432
Quercus_humboldtii,5.607867,-73.810274
Quercus_humboldtii,5.608048,-73.810256
Quercus_humboldtii,5.608193,-73.810274
Quercus_humboldtii,5.607976,-73.81022
Quercus_humboldtii,5.608093,-73.810057
Quercus_humboldtii,5.607958,-73.810058
Quercus_humboldtii,5.608066,-73.810166
Quercus_humboldtii,5.607994,-73.810256
Quercus_humboldtii,3.959886,-74.422955
Quercus_humboldtii,3.913876,-74.440601
Quercus_humboldtii,5.620928,-73.518088
Quercus_humboldtii,5.618787,-73.517258
Quercus_humboldtii,4.996662,-74.255172
Quercus_humboldtii,5.646575,-73.508203
Quercus_humboldtii,6.566667,-72.0
Quercus_humboldtii,4.722222,-74.102
Quercus_humboldtii,4.6165,-74.609833
Quercus_humboldtii,4.322972,-74.492389
Quercus_humboldtii,4.933667,-73.909833
Quercus_humboldtii,5.43375,-73.67675
Quercus_humboldtii,4.909778,-73.864972
Quercus_humboldtii,4.758667,-74.364861
Quercus_humboldtii,4.757917,-74.360583
Quercus_humboldtii,4.351861,-74.463417
Quercus_humboldtii,4.863,-74.351722
Quercus_humboldtii,6.047444,-73.787583
Quercus_humboldtii,5.318361,-74.016944
Quercus_humboldtii,5.322694,-74.024389
Quercus_humboldtii,5.206917,-74.110861
Quercus_humboldtii,4.671408,-74.0505
Quercus_humboldtii,3.950389,-74.42225
Quercus_humboldtii,5.406278,-73.944417
Quercus_humboldtii,5.439556,-73.647972
Quercus_humboldtii,5.627667,-73.731556
Quercus_humboldtii,5.374417,-73.984139
Quercus_humboldtii,5.443944,-73.652611
Quercus_humboldtii,5.465972,-73.910944
Quercus_humboldtii,5.054194,-74.541778
Quercus_humboldtii,5.612528,-73.809889
Quercus_humboldtii,4.723163,-74.102814
Quercus_humboldtii,4.720653,-74.100263
Quercus_humboldtii,4.725382,-74.103453
Quercus_humboldtii,4.945181,-74.247108
Quercus_humboldtii,4.945392,-74.247217
Quercus_humboldtii,4.759799,-74.10779
Quercus_humboldtii,6.395825,-72.728478
Quercus_humboldtii,6.395694,-72.728806
Quercus_humboldtii,6.393917,-72.729694
Quercus_humboldtii,6.396139,-72.732111
Quercus_humboldtii,6.396056,-72.731806
Quercus_humboldtii,6.396472,-72.731972
Quercus_humboldtii,6.219528,-72.778389
Quercus_humboldtii,6.046583,-73.015917
Quercus_humboldtii,6.045861,-73.016083
Quercus_humboldtii,6.044806,-73.017389
Quercus_humboldtii,6.221833,-72.780056
Quercus_humboldtii,6.221944,-72.779389
Quercus_humboldtii,6.222917,-72.779917
Quercus_humboldtii,6.218833,-72.778667
Quercus_humboldtii,6.767611,-72.634722
Quercus_humboldtii,5.949806,-73.110111
Quercus_humboldtii,5.943,-73.112444
Quercus_humboldtii,5.950389,-73.109889
Quercus_humboldtii,5.814028,-73.263861
Quercus_humboldtii,5.817667,-73.264944
Quercus_humboldtii,5.818889,-73.267833
Quercus_humboldtii,5.819028,-73.268194
Quercus_humboldtii,5.819139,-73.268806
Quercus_humboldtii,5.829222,-73.271444
Quercus_humboldtii,5.829833,-73.27125
Quercus_humboldtii,5.830083,-73.271139
Quercus_humboldtii,6.25184,-75.56359
Quercus_humboldtii,5.339484,-75.477602
Quercus_humboldtii,5.330593,-75.406223
Quercus_humboldtii,5.850194,-73.3
Quercus_humboldtii,5.85,-73.30025
Quercus_humboldtii,4.664181,-74.093
Quercus_humboldtii,4.659689,-74.093089
Quercus_humboldtii,5.705665,-73.508318
Quercus_humboldtii,4.65645,-74.091819
Quercus_humboldtii,4.655781,-74.091981
Quercus_humboldtii,4.656631,-74.091911
Quercus_humboldtii,5.080429,-75.412903
Quercus_humboldtii,5.055993,-75.492873
Quercus_humboldtii,5.219597,-73.449955
Quercus_humboldtii,4.656631,-74.091917
Quercus_humboldtii,5.2493,-74.5266
Quercus_humboldtii,4.64,-74.09
Quercus_humboldtii,4.086247,-76.382782
Quercus_humboldtii,4.084229,-76.39735
Quercus_humboldtii,4.130926,-76.422501
Quercus_humboldtii,4.08799,-76.382263
Quercus_humboldtii,4.121359,-76.435459
Quercus_humboldtii,4.173275,-76.398263
Quercus_humboldtii,4.384472,-75.6025
Quercus_humboldtii,5.725397,-75.256028
Quercus_humboldtii,5.72625,-75.254028
Quercus_humboldtii,5.725,-75.255611
Quercus_humboldtii,5.770778,-75.239
Quercus_humboldtii,5.809861,-75.268333
Quercus_humboldtii,5.770306,-75.238917
Quercus_humboldtii,5.80975,-75.268306
Quercus_humboldtii,5.770444,-75.239222
Quercus_humboldtii,5.809722,-75.268194
Quercus_humboldtii,6.767972,-72.635167
Quercus_humboldtii,6.985,-72.839556
Quercus_humboldtii,6.985583,-72.837361
Quercus_humboldtii,6.984861,-72.837028
Quercus_humboldtii,6.984667,-72.839444
Quercus_humboldtii,6.984472,-72.838667
Quercus_humboldtii,6.992167,-72.828861
Quercus_humboldtii,6.985944,-72.837028
Quercus_humboldtii,4.446389,-74.152222
Quercus_humboldtii,4.536111,-74.138889
Quercus_humboldtii,7.669917,-72.983972
Quercus_humboldtii,5.856556,-73.118944
Quercus_humboldtii,4.6695,-74.100694
Quercus_humboldtii,3.71967,-76.084142
Quercus_humboldtii,3.931611,-76.180667
Quercus_humboldtii,6.539444,-76.234722
Quercus_humboldtii,6.5394,-76.2347
Quercus_humboldtii,6.63894,-76.1197
Quercus_humboldtii,4.867,-75.167
Quercus_humboldtii,7.967025,-73.031909
Quercus_humboldtii,6.461445,-75.618918
Quercus_humboldtii,6.633889,-76.229722
Quercus_humboldtii,6.63406,-76.22989
Quercus_humboldtii,4.640472,-75.721917
Quercus_humboldtii,4.640194,-75.721944
Quercus_humboldtii,4.640417,-75.722028
Quercus_humboldtii,4.7,-74.04
Quercus_humboldtii,7.363633,-72.916544
Quercus_humboldtii,1.651,-77.032
Quercus_humboldtii,1.557778,-77.085028
Quercus_humboldtii,6.621945,-75.645278
