Species,Latitude,Longitude
Quercus_hypoleucoides,32.3728,-110.702142
Quercus_hypoleucoides,32.372792,-110.702124
Quercus_hypoleucoides,32.372785,-110.702127
Quercus_hypoleucoides,32.011569,-109.355492
Quercus_hypoleucoides,31.91862,-109.964478
Quercus_hypoleucoides,32.368625,-110.717217
Quercus_hypoleucoides,32.898328,-108.24395
Quercus_hypoleucoides,32.1827,-110.877678
Quercus_hypoleucoides,31.439673,-110.285985
Quercus_hypoleucoides,32.368425,-110.717041
Quercus_hypoleucoides,31.39913,-110.275453
Quercus_hypoleucoides,32.37273,-110.692108
Quercus_hypoleucoides,29.094688,-108.24638
Quercus_hypoleucoides,31.722247,-110.879988
Quercus_hypoleucoides,31.446352,-110.309891
Quercus_hypoleucoides,31.414206,-110.276517
Quercus_hypoleucoides,31.898553,-109.226466
Quercus_hypoleucoides,31.350133,-110.280653
Quercus_hypoleucoides,31.865478,-110.930725
Quercus_hypoleucoides,31.873144,-109.18545
Quercus_hypoleucoides,32.399758,-110.681788
Quercus_hypoleucoides,31.854511,-109.329005
Quercus_hypoleucoides,31.84948,-109.325562
Quercus_hypoleucoides,32.368992,-110.717963
Quercus_hypoleucoides,31.850015,-109.325703
Quercus_hypoleucoides,31.873814,-109.233706
Quercus_hypoleucoides,31.890783,-109.168938
Quercus_hypoleucoides,31.458383,-109.943
Quercus_hypoleucoides,31.429533,-110.3061
Quercus_hypoleucoides,31.894354,-109.165941
Quercus_hypoleucoides,31.849096,-109.325294
Quercus_hypoleucoides,31.895844,-109.165567
Quercus_hypoleucoides,32.752455,-110.049897
Quercus_hypoleucoides,31.7125,-110.874563
Quercus_hypoleucoides,31.381145,-110.329812
Quercus_hypoleucoides,31.712953,-110.872513
Quercus_hypoleucoides,32.873956,-108.225154
Quercus_hypoleucoides,28.8021,-106.501123
Quercus_hypoleucoides,32.002903,-109.31701
Quercus_hypoleucoides,31.710863,-110.875472
Quercus_hypoleucoides,32.011864,-109.31565
Quercus_hypoleucoides,32.003167,-109.317603
Quercus_hypoleucoides,31.446317,-110.309892
Quercus_hypoleucoides,34.162358,-110.056053
Quercus_hypoleucoides,32.368758,-110.717378
Quercus_hypoleucoides,31.711937,-110.872162
Quercus_hypoleucoides,31.364437,-110.395809
Quercus_hypoleucoides,31.883717,-109.177375
Quercus_hypoleucoides,31.882387,-109.181255
Quercus_hypoleucoides,32.374794,-110.690515
Quercus_hypoleucoides,31.898822,-109.225395
Quercus_hypoleucoides,31.889467,-109.168555
Quercus_hypoleucoides,31.3869,-110.220837
Quercus_hypoleucoides,30.65423,-104.17057
Quercus_hypoleucoides,31.725853,-110.880883
Quercus_hypoleucoides,31.8589,-109.19013
Quercus_hypoleucoides,30.643254,-104.165864
Quercus_hypoleucoides,28.773195,-107.45901
Quercus_hypoleucoides,31.885853,-109.171747
Quercus_hypoleucoides,31.886108,-109.171931
Quercus_hypoleucoides,31.885722,-109.172278
Quercus_hypoleucoides,31.866858,-109.190278
Quercus_hypoleucoides,32.006622,-109.31235
Quercus_hypoleucoides,30.650217,-104.175541
Quercus_hypoleucoides,30.638669,-104.162776
Quercus_hypoleucoides,31.718292,-110.871012
Quercus_hypoleucoides,31.712447,-110.87384
Quercus_hypoleucoides,31.712944,-110.874679
Quercus_hypoleucoides,32.632645,-109.811096
Quercus_hypoleucoides,31.71003,-110.875388
Quercus_hypoleucoides,31.724237,-110.880425
Quercus_hypoleucoides,32.3749,-110.691307
Quercus_hypoleucoides,31.691674,-110.87398
Quercus_hypoleucoides,31.727842,-110.880645
Quercus_hypoleucoides,31.708508,-110.875962
Quercus_hypoleucoides,28.443217,-108.539291
Quercus_hypoleucoides,32.368069,-110.718186
Quercus_hypoleucoides,32.410823,-110.711535
Quercus_hypoleucoides,32.370542,-110.711088
Quercus_hypoleucoides,31.723295,-110.88065
Quercus_hypoleucoides,32.374725,-110.691292
Quercus_hypoleucoides,32.431397,-110.749725
Quercus_hypoleucoides,32.420969,-110.743928
Quercus_hypoleucoides,32.433375,-110.751472
Quercus_hypoleucoides,32.375624,-110.702458
Quercus_hypoleucoides,32.962355,-107.710083
Quercus_hypoleucoides,31.721863,-110.880205
Quercus_hypoleucoides,31.637985,-109.405186
Quercus_hypoleucoides,32.36866,-110.717133
Quercus_hypoleucoides,31.7097,-110.8755
Quercus_hypoleucoides,32.362264,-110.717797
Quercus_hypoleucoides,32.348236,-110.723
Quercus_hypoleucoides,31.708305,-110.87602
Quercus_hypoleucoides,31.398862,-110.276617
Quercus_hypoleucoides,32.379721,-110.69712
Quercus_hypoleucoides,31.706714,-110.866914
Quercus_hypoleucoides,31.883703,-109.206325
Quercus_hypoleucoides,32.427605,-110.758766
Quercus_hypoleucoides,31.884872,-109.243211
Quercus_hypoleucoides,31.926083,-109.254953
Quercus_hypoleucoides,32.428913,-110.791367
Quercus_hypoleucoides,32.406817,-110.716542
Quercus_hypoleucoides,32.431412,-110.790787
Quercus_hypoleucoides,32.369552,-110.698407
Quercus_hypoleucoides,32.369593,-110.698375
Quercus_hypoleucoides,32.372989,-110.701844
Quercus_hypoleucoides,32.373,-110.701981
Quercus_hypoleucoides,32.356012,-110.72622
Quercus_hypoleucoides,30.642763,-104.164178
Quercus_hypoleucoides,32.8979,-108.243545
Quercus_hypoleucoides,32.87877,-108.221947
Quercus_hypoleucoides,31.89821,-109.95669
Quercus_hypoleucoides,32.362263,-110.717728
Quercus_hypoleucoides,32.362225,-110.717863
Quercus_hypoleucoides,32.369042,-110.717308
Quercus_hypoleucoides,31.929812,-109.382285
Quercus_hypoleucoides,32.391628,-110.708023
Quercus_hypoleucoides,32.005597,-109.35592
Quercus_hypoleucoides,31.705413,-110.877167
Quercus_hypoleucoides,32.400654,-110.689895
Quercus_hypoleucoides,31.428611,-110.294167
Quercus_hypoleucoides,31.8725,-109.235556
Quercus_hypoleucoides,32.413085,-110.733914
Quercus_hypoleucoides,32.397762,-110.689231
Quercus_hypoleucoides,32.398647,-110.690497
Quercus_hypoleucoides,32.367556,-110.715903
Quercus_hypoleucoides,31.446934,-110.309026
Quercus_hypoleucoides,32.390921,-110.706073
Quercus_hypoleucoides,31.892195,-109.166087
Quercus_hypoleucoides,31.933889,-109.263405
Quercus_hypoleucoides,32.0074,-109.312217
Quercus_hypoleucoides,32.460794,-110.782075
Quercus_hypoleucoides,33.056371,-109.078308
Quercus_hypoleucoides,30.9747,-110.381305
Quercus_hypoleucoides,32.64843,-109.816844
Quercus_hypoleucoides,33.374283,-108.753332
Quercus_hypoleucoides,32.016345,-109.321356
Quercus_hypoleucoides,31.40007,-110.273812
Quercus_hypoleucoides,32.15175,-109.740738
Quercus_hypoleucoides,32.886844,-108.228651
Quercus_hypoleucoides,31.710343,-110.875194
Quercus_hypoleucoides,31.19278,-108.9411
Quercus_hypoleucoides,31.431822,-110.282058
Quercus_hypoleucoides,31.431825,-110.282013
Quercus_hypoleucoides,31.428158,-110.290962
Quercus_hypoleucoides,31.446312,-110.309463
Quercus_hypoleucoides,31.429462,-110.290367
Quercus_hypoleucoides,31.429658,-110.290222
Quercus_hypoleucoides,31.416263,-110.275695
Quercus_hypoleucoides,31.42232,-110.264013
Quercus_hypoleucoides,31.446617,-110.30893
Quercus_hypoleucoides,31.446583,-110.309013
Quercus_hypoleucoides,31.721925,-110.881804
Quercus_hypoleucoides,31.446413,-110.309433
Quercus_hypoleucoides,32.232328,-110.527803
Quercus_hypoleucoides,31.539422,-110.375887
Quercus_hypoleucoides,31.430072,-110.28225
Quercus_hypoleucoides,31.429778,-110.303628
Quercus_hypoleucoides,31.429987,-110.282403
Quercus_hypoleucoides,31.429755,-110.303567
Quercus_hypoleucoides,31.438303,-110.285233
Quercus_hypoleucoides,31.44227,-110.286987
Quercus_hypoleucoides,31.430242,-110.283395
Quercus_hypoleucoides,31.432388,-110.284438
Quercus_hypoleucoides,31.466378,-110.73842
Quercus_hypoleucoides,31.378347,-110.256613
Quercus_hypoleucoides,30.624973,-104.131312
Quercus_hypoleucoides,31.532488,-110.379813
Quercus_hypoleucoides,32.377047,-110.685867
Quercus_hypoleucoides,32.377053,-110.685775
Quercus_hypoleucoides,30.253877,-109.533933
Quercus_hypoleucoides,31.712403,-110.873857
Quercus_hypoleucoides,31.709631,-110.875569
Quercus_hypoleucoides,31.713415,-110.873143
Quercus_hypoleucoides,31.713233,-110.87493
Quercus_hypoleucoides,31.971017,-109.330773
Quercus_hypoleucoides,31.940465,-109.292128
Quercus_hypoleucoides,31.940596,-109.292917
Quercus_hypoleucoides,31.362495,-110.300523
Quercus_hypoleucoides,31.429597,-110.291716
Quercus_hypoleucoides,31.713255,-110.873744
Quercus_hypoleucoides,31.933693,-109.264056
Quercus_hypoleucoides,31.362745,-110.300865
Quercus_hypoleucoides,32.400273,-110.69017
Quercus_hypoleucoides,31.933269,-109.263435
Quercus_hypoleucoides,32.400681,-110.690015
Quercus_hypoleucoides,32.412177,-110.712798
Quercus_hypoleucoides,30.288377,-109.55984
Quercus_hypoleucoides,31.427702,-110.291045
Quercus_hypoleucoides,31.960655,-111.598542
Quercus_hypoleucoides,31.960542,-111.598542
Quercus_hypoleucoides,32.40798,-110.696547
Quercus_hypoleucoides,32.003609,-109.319443
Quercus_hypoleucoides,31.722149,-110.87979
Quercus_hypoleucoides,32.400273,-110.689766
Quercus_hypoleucoides,32.206679,-110.55472
Quercus_hypoleucoides,32.019802,-109.350419
Quercus_hypoleucoides,31.348781,-110.274035
Quercus_hypoleucoides,31.712886,-110.873606
Quercus_hypoleucoides,30.659656,-104.110911
Quercus_hypoleucoides,30.6196,-104.2038
Quercus_hypoleucoides,30.61961,-104.20375
Quercus_hypoleucoides,30.60525,-104.11533
Quercus_hypoleucoides,30.60547,-104.11576
Quercus_hypoleucoides,31.864874,-109.358188
Quercus_hypoleucoides,32.21317,-110.563556
Quercus_hypoleucoides,32.576105,-110.265061
Quercus_hypoleucoides,32.4273,-110.743
Quercus_hypoleucoides,31.790883,-110.805436
Quercus_hypoleucoides,31.403124,-110.256487
Quercus_hypoleucoides,31.362617,-110.300742
Quercus_hypoleucoides,30.625992,-104.195371
Quercus_hypoleucoides,30.625992,-104.19537
Quercus_hypoleucoides,27.339388,-106.620763
Quercus_hypoleucoides,31.399826,-110.273477
Quercus_hypoleucoides,31.424008,-110.294925
Quercus_hypoleucoides,31.463918,-110.356894
Quercus_hypoleucoides,31.430875,-110.287285
Quercus_hypoleucoides,31.453608,-110.399333
Quercus_hypoleucoides,32.37065,-110.711128
Quercus_hypoleucoides,31.712749,-110.873183
Quercus_hypoleucoides,29.08602,-107.19913
Quercus_hypoleucoides,32.011606,-109.354863
Quercus_hypoleucoides,28.36615,-109.027303
Quercus_hypoleucoides,31.429415,-110.303825
Quercus_hypoleucoides,30.256388,-108.54525
Quercus_hypoleucoides,30.389055,-108.604472
Quercus_hypoleucoides,28.523611,-107.789722
Quercus_hypoleucoides,27.553027,-107.034416
Quercus_hypoleucoides,33.52162,-109.30721
Quercus_hypoleucoides,31.58138,-110.89595
Quercus_hypoleucoides,30.626146,-104.051835
Quercus_hypoleucoides,31.447848,-110.306972
Quercus_hypoleucoides,29.568305,-107.631694
Quercus_hypoleucoides,31.446826,-110.306777
Quercus_hypoleucoides,30.327361,-110.350222
Quercus_hypoleucoides,30.390278,-110.398889
Quercus_hypoleucoides,30.3872,-110.4017
Quercus_hypoleucoides,30.387222,-110.401667
Quercus_hypoleucoides,31.731507,-110.880271
Quercus_hypoleucoides,29.843653,-108.976694
Quercus_hypoleucoides,33.562495,-109.122501
Quercus_hypoleucoides,29.926111,-109.488333
Quercus_hypoleucoides,32.9355,-107.824
Quercus_hypoleucoides,30.017778,-109.545833
Quercus_hypoleucoides,31.054444,-110.3825
Quercus_hypoleucoides,32.352415,-110.723731
Quercus_hypoleucoides,30.717139,-110.566667
Quercus_hypoleucoides,30.729722,-110.579167
Quercus_hypoleucoides,31.858,-109.324
Quercus_hypoleucoides,33.56475,-108.98193
Quercus_hypoleucoides,30.68094,-104.14664
Quercus_hypoleucoides,28.4,-107.03333
Quercus_hypoleucoides,28.52227,-106.2873
Quercus_hypoleucoides,31.288611,-108.796944
Quercus_hypoleucoides,31.168889,-108.903056
Quercus_hypoleucoides,32.048451,-109.941707
Quercus_hypoleucoides,31.51922,-109.0058
Quercus_hypoleucoides,32.9128,-107.773
Quercus_hypoleucoides,28.555342,-106.296699
Quercus_hypoleucoides,31.89,-109.22
Quercus_hypoleucoides,32.015027,-109.332682
Quercus_hypoleucoides,30.81,-110.481389
Quercus_hypoleucoides,31.686417,-110.878883
Quercus_hypoleucoides,31.6867,-110.878
Quercus_hypoleucoides,31.512033,-110.568433
Quercus_hypoleucoides,32.21222,-110.69333
Quercus_hypoleucoides,30.6359,-104.174
Quercus_hypoleucoides,31.7078,-110.8777
Quercus_hypoleucoides,28.377222,-107.063889
Quercus_hypoleucoides,28.375,-107.061667
Quercus_hypoleucoides,28.37722,-107.06389
Quercus_hypoleucoides,28.375,-107.06167
Quercus_hypoleucoides,30.958333,-109.941667
