Species,Latitude,Longitude
Quercus_ilicifolia,41.611467,-70.551679
Quercus_ilicifolia,41.615919,-70.548413
Quercus_ilicifolia,40.722992,-73.464531
Quercus_ilicifolia,42.499486,-72.747057
Quercus_ilicifolia,40.123503,-77.105444
Quercus_ilicifolia,42.599087,-72.568623
Quercus_ilicifolia,42.600213,-72.569468
Quercus_ilicifolia,42.453833,-71.1211
Quercus_ilicifolia,42.453808,-71.12113
Quercus_ilicifolia,42.190766,-72.662258
Quercus_ilicifolia,42.323082,-72.435351
Quercus_ilicifolia,39.879578,-74.533233
Quercus_ilicifolia,41.757083,-72.17705
Quercus_ilicifolia,42.178425,-72.537064
Quercus_ilicifolia,42.165478,-72.524673
Quercus_ilicifolia,41.74746,-72.165052
Quercus_ilicifolia,42.102278,-76.876371
Quercus_ilicifolia,42.211728,-71.114706
Quercus_ilicifolia,42.029213,-72.934399
Quercus_ilicifolia,40.667592,-77.909818
Quercus_ilicifolia,41.761451,-70.719734
Quercus_ilicifolia,41.750004,-70.023938
Quercus_ilicifolia,42.363867,-72.423557
Quercus_ilicifolia,42.382108,-72.421541
Quercus_ilicifolia,41.85637,-70.532302
Quercus_ilicifolia,42.174136,-72.6793
Quercus_ilicifolia,42.292261,-72.239937
Quercus_ilicifolia,42.690321,-72.353523
Quercus_ilicifolia,42.327594,-72.459013
Quercus_ilicifolia,42.640312,-72.222642
Quercus_ilicifolia,42.03034,-70.883535
Quercus_ilicifolia,42.56829,-72.535853
Quercus_ilicifolia,42.292825,-72.240034
Quercus_ilicifolia,42.435913,-71.106392
Quercus_ilicifolia,42.205922,-72.6615
Quercus_ilicifolia,42.292872,-72.239959
Quercus_ilicifolia,42.377388,-71.46537
Quercus_ilicifolia,42.21167,-71.11463
Quercus_ilicifolia,42.4357,-71.106181
Quercus_ilicifolia,42.3,-71.1
Quercus_ilicifolia,42.630388,-71.294328
Quercus_ilicifolia,42.435813,-71.106197
Quercus_ilicifolia,41.255408,-72.856383
Quercus_ilicifolia,42.478584,-72.591682
Quercus_ilicifolia,42.215326,-72.259455
Quercus_ilicifolia,42.215242,-72.259581
Quercus_ilicifolia,42.215559,-72.258996
Quercus_ilicifolia,42.435754,-71.106221
Quercus_ilicifolia,42.218999,-72.255487
Quercus_ilicifolia,41.618492,-72.823078
Quercus_ilicifolia,42.16452,-72.813142
Quercus_ilicifolia,42.246438,-72.256828
Quercus_ilicifolia,42.634313,-71.655237
Quercus_ilicifolia,40.861145,-72.643898
Quercus_ilicifolia,40.862597,-72.645928
Quercus_ilicifolia,40.86076,-72.6436
Quercus_ilicifolia,40.861538,-72.645218
Quercus_ilicifolia,40.862542,-72.64563
Quercus_ilicifolia,40.861034,-72.645271
Quercus_ilicifolia,40.862595,-72.64553
Quercus_ilicifolia,41.291172,-75.79798
