Species,Latitude,Longitude
Quercus_imbricaria,40.337344,-87.162858
Quercus_imbricaria,38.624631,-90.379876
Quercus_imbricaria,39.699528,-89.597327
Quercus_imbricaria,40.201759,-88.4029
Quercus_imbricaria,39.70788,-89.627366
Quercus_imbricaria,38.592503,-90.369909
Quercus_imbricaria,42.111278,-88.308425
Quercus_imbricaria,38.624711,-90.379952
Quercus_imbricaria,38.624804,-90.379816
Quercus_imbricaria,38.62479,-90.379965
Quercus_imbricaria,39.426867,-82.152582
Quercus_imbricaria,39.102517,-88.805431
Quercus_imbricaria,39.044343,-84.325632
Quercus_imbricaria,37.67152,-89.229006
Quercus_imbricaria,39.873119,-89.61675
Quercus_imbricaria,42.463677,-88.049132
Quercus_imbricaria,41.350155,-87.488762
Quercus_imbricaria,39.870183,-89.615482
Quercus_imbricaria,37.714762,-89.228212
Quercus_imbricaria,40.810592,-90.361708
Quercus_imbricaria,40.243004,-87.781448
Quercus_imbricaria,36.615128,-87.269487
Quercus_imbricaria,37.529155,-77.454278
Quercus_imbricaria,40.856279,-81.502899
Quercus_imbricaria,40.241435,-87.784252
Quercus_imbricaria,39.867689,-86.287008
Quercus_imbricaria,39.404545,-82.131097
Quercus_imbricaria,39.707423,-89.626589
Quercus_imbricaria,38.751352,-90.77217
Quercus_imbricaria,39.870976,-89.629372
Quercus_imbricaria,40.433661,-79.936294
Quercus_imbricaria,37.854908,-89.231675
Quercus_imbricaria,40.187936,-87.719103
Quercus_imbricaria,38.328895,-91.314042
Quercus_imbricaria,39.20125,-84.49091
Quercus_imbricaria,39.441662,-76.938848
Quercus_imbricaria,39.715035,-84.167876
Quercus_imbricaria,36.315689,-88.245577
Quercus_imbricaria,40.524477,-89.768772
Quercus_imbricaria,40.369641,-87.964667
Quercus_imbricaria,39.215086,-77.036456
Quercus_imbricaria,38.747647,-93.753974
Quercus_imbricaria,38.953902,-92.351818
Quercus_imbricaria,39.128453,-90.826217
Quercus_imbricaria,39.467743,-88.313748
Quercus_imbricaria,35.422925,-82.48697
Quercus_imbricaria,35.462815,-87.269084
Quercus_imbricaria,40.580153,-86.915759
Quercus_imbricaria,35.462783,-87.268915
Quercus_imbricaria,37.6631,-89.096947
Quercus_imbricaria,40.200322,-87.655614
Quercus_imbricaria,38.998349,-76.941864
Quercus_imbricaria,38.765236,-94.506397
Quercus_imbricaria,38.766131,-91.084118
Quercus_imbricaria,40.767055,-89.696822
Quercus_imbricaria,38.558412,-91.030286
Quercus_imbricaria,38.433775,-90.965632
Quercus_imbricaria,37.831038,-90.232208
Quercus_imbricaria,42.939161,-78.842444
Quercus_imbricaria,40.909543,-81.407074
Quercus_imbricaria,38.573941,-92.583773
Quercus_imbricaria,41.476716,-81.780292
Quercus_imbricaria,41.166343,-80.554073
Quercus_imbricaria,40.356,-75.223674
Quercus_imbricaria,39.819609,-86.175021
Quercus_imbricaria,35.590794,-82.614676
Quercus_imbricaria,41.212975,-81.532585
Quercus_imbricaria,40.072433,-75.227618
Quercus_imbricaria,41.023799,-81.406875
Quercus_imbricaria,39.134577,-93.95567
Quercus_imbricaria,37.129117,-93.241078
Quercus_imbricaria,38.887537,-92.041158
Quercus_imbricaria,38.960205,-92.342008
Quercus_imbricaria,38.766196,-91.084136
Quercus_imbricaria,41.398381,-73.974667
Quercus_imbricaria,40.401108,-87.055305
Quercus_imbricaria,37.669231,-84.975817
Quercus_imbricaria,41.220058,-73.571569
Quercus_imbricaria,38.917272,-92.224438
Quercus_imbricaria,40.76823,-89.6754
Quercus_imbricaria,39.295231,-77.120089
Quercus_imbricaria,39.23174,-94.539313
Quercus_imbricaria,40.99753,-81.47959
Quercus_imbricaria,38.90371,-92.177919
Quercus_imbricaria,33.733175,-88.629267
Quercus_imbricaria,36.363929,-86.362786
Quercus_imbricaria,38.012664,-84.504913
Quercus_imbricaria,41.213487,-81.530403
Quercus_imbricaria,35.870228,-86.283347
Quercus_imbricaria,41.129914,-81.567603
Quercus_imbricaria,42.078378,-87.684872
Quercus_imbricaria,39.194357,-94.677818
Quercus_imbricaria,39.372058,-76.908137
Quercus_imbricaria,40.455938,-85.494341
Quercus_imbricaria,39.704636,-83.932741
Quercus_imbricaria,40.701622,-89.621192
Quercus_imbricaria,39.811012,-91.533298
Quercus_imbricaria,38.550935,-93.336846
Quercus_imbricaria,37.532978,-88.836242
Quercus_imbricaria,42.029917,-93.644578
Quercus_imbricaria,40.94657,-80.211237
Quercus_imbricaria,41.229672,-81.554044
Quercus_imbricaria,38.998372,-83.423058
Quercus_imbricaria,39.195139,-90.80082
Quercus_imbricaria,38.6,-90.56
Quercus_imbricaria,39.380821,-94.70049
Quercus_imbricaria,40.473637,-90.67143
Quercus_imbricaria,40.193421,-82.870991
