Species,Latitude,Longitude
Quercus_incana,30.1188,-81.89708
Quercus_incana,27.860613,-81.445693
Quercus_incana,28.352886,-81.20765
Quercus_incana,27.580122,-81.523673
Quercus_incana,30.400586,-88.751861
Quercus_incana,30.400585,-88.751818
Quercus_incana,30.036024,-82.842509
Quercus_incana,30.452778,-88.653795
Quercus_incana,33.1955,-94.031067
Quercus_incana,33.14582,-79.896477
Quercus_incana,34.726761,-76.968458
Quercus_incana,29.522334,-82.630205
Quercus_incana,29.748165,-82.69603
Quercus_incana,30.02925,-95.273589
Quercus_incana,30.140489,-81.896417
Quercus_incana,34.725775,-76.958122
Quercus_incana,27.809255,-81.491142
Quercus_incana,35.199039,-79.350986
Quercus_incana,34.72417,-76.967613
Quercus_incana,31.914724,-95.880249
Quercus_incana,35.127303,-78.971216
Quercus_incana,29.571731,-82.607557
Quercus_incana,29.742006,-82.696544
Quercus_incana,34.988889,-79.541131
Quercus_incana,33.223159,-79.595135
Quercus_incana,29.743346,-82.69601
Quercus_incana,30.452789,-88.653183
Quercus_incana,29.566292,-82.609311
Quercus_incana,29.924794,-81.677819
Quercus_incana,33.918594,-78.446328
Quercus_incana,33.698398,-93.120313
Quercus_incana,34.705571,-76.913862
Quercus_incana,30.125442,-81.563125
Quercus_incana,35.070595,-79.26867
Quercus_incana,34.988599,-79.474865
Quercus_incana,29.045234,-82.253111
Quercus_incana,32.792903,-85.979237
Quercus_incana,29.653077,-82.278604
Quercus_incana,27.712687,-81.506406
Quercus_incana,33.918168,-78.117689
Quercus_incana,27.821588,-81.469812
Quercus_incana,30.322674,-86.098702
Quercus_incana,27.812953,-81.550063
Quercus_incana,29.570513,-82.196463
Quercus_incana,30.300623,-86.049302
Quercus_incana,33.834775,-81.196495
Quercus_incana,30.452575,-88.652825
Quercus_incana,35.115967,-79.547071
Quercus_incana,30.030019,-95.272294
Quercus_incana,30.277383,-85.105889
Quercus_incana,28.55391,-81.639487
Quercus_incana,32.952178,-79.841569
Quercus_incana,28.554142,-81.639595
Quercus_incana,29.743438,-82.695663
